,name,role,p_index
144,a-kal-la,['source'],100782
145,ur-{geš}gigir,['source'],100783
146,da-da-ga,['recipient'],100783
147,na-silim,['source'],100784
148,da-da-ga,['recipient'],100784
149,lugal-ušurₓ(|LAL₂.TUG₂|),"['source', 'source']",100792
150,gu-du-du,['recipient'],100792
151,uš-mu,['source'],100794
152,uš-mu,['source'],100795
153,gu-du-du,['recipient'],100795
154,gu-du-du,['recipient'],100797
155,šeš-kal-la,['intermediary'],100797
156,šeš-kal-la,['intermediary'],100798
157,[lugal]-ezem,['recipient'],100799
158,da-da-ga,['recipient'],100810
159,ur-e₁₁-e,['source'],100811
160,ur-ama-na,['source'],100819
161,ur-{d}iškur,['recipient'],100819
162,gu-du-du,['recipient'],100837
163,ad-da-sa₆-ga,['intermediary'],100967
164,ARAD₂-mu,['authorized'],100967
165,šu-ma-ma,['source'],100967
166,ur-nigar{gar},['recipient'],100974
167,ARAD₂-mu,['authorized'],100975
168,na-sa₆,['source'],100975
169,lugal,['new owner'],100976
170,na-sa₆,['source'],100976
171,šu-{d}idim,['recipient'],100976
172,šagina,['source'],100977
173,la-muš-ta,['intermediary'],100977
174,na-sa₆,"['new owner', 'recipient']",100977
175,ur#-nigar#{gar},['new owner'],100978
176,za-a-an-nu-um,['new owner'],100978
177,ku-na-ma#-tum,['new owner'],100978
178,a-a-kal-la,['authorized'],100978
179,ur-nigar{gar},['recipient'],100978
180,na-sa₆#,['source'],100978
181,na-lu₅,['source'],100980
182,na-sa₆,['recipient'],100980
183,ab-ba-sa₆-ga,"['new owner', 'recipient', 'recipient']",100982
184,lugal,['new owner'],100983
185,ab-ba-sa₆-ga,['recipient'],100983
186,šu-ab-ba,['intermediary'],100984
187,ARAD₂-mu,['authorized'],100984
188,zu-ba-ga,['source'],100984
189,ARAD₂-mu,['authorized'],100985
190,ur-ku₃-nun-na,['source'],100985
191,nu-ur₂-{d}iškur,['intermediary'],100985
192,{d}nanna-igi-du,['authorized'],100986
193,ur-sukkal,['intermediary'],100986
194,ARAD₂-mu,['authorized'],100986
195,tu-ra-am-{d}da-gan,['authorized'],100986
196,a]-ba-{d}en-lil₂-gin₇,['source'],100986
197,lu₂-{d}nin-šubur,['intermediary'],100986
198,lu₂-{d}en-lil₂,['intermediary'],100987
199,lugal-ma₂-gur₈-re,['authorized'],100990
200,{d}šul-gi-si₂-im-ti,['new owner'],100992
201,a₂-bi₂-li₂-a,['recipient'],100992
202,a₂-bi₂-li₂-a,['source'],100993
203,ab-ba-sa₆-ga,['source'],100994
204,a-hu-we-er,['recipient'],100994
205,ab-ba-sa₆-ga,['source'],100995
206,be-li₂-a-ri-ik,['recipient'],100996
207,na-sa₆,['source'],100997
208,a-hu-ni,['source'],100998
209,ur-nigar{gar},['recipient'],100998
210,en-dingir-mu,['source'],101000
211,ur-nigar{gar},['recipient'],101000
212,lugal-inim-gi-na,['intermediary'],101001
213,na-sa₆,"['source', 'source']",101001
214,{d}en-lil₂-la₂,['recipient'],101001
215,na-lu₅,['source'],101002
216,{d}šul-gi-iri-mu,['recipient'],101002
217,lugal,['new owner'],101003
218,ab-ba-sa₆-ga,['source'],101003
219,{d}nanna-zi-ša₃-gal₂,['recipient'],101003
220,ab-ba-sa₆-ga,['source'],101004
221,{d}šul-gi-a-a-mu,['recipient'],101004
222,ab-ba-sa₆-ga,['source'],101005
223,na-lu₅,['recipient'],101005
224,ab-ba-sa₆-ga,['source'],101006
225,in-ta-e₃-a,['recipient'],101006
226,ab-ba-sa₆-ga,['source'],101007
227,ab-ba-sa₆-ga,['source'],101008
228,in-ta-e₃-a,['recipient'],101008
229,ab-ba-sa₆-ga,['source'],101009
230,in-ta-e₃-a,['recipient'],101009
231,ab-ba-sa₆-ga,['source'],101010
232,in-ta-e₃-a,['recipient'],101010
233,{d}nanna-ma-ba,['source'],101011
234,ab-ba-sa₆-ga,['source'],101013
235,lu₂-sa₆-ga,['intermediary'],101013
236,al-lu,['source'],101014
237,a₂-bi₂-li₂-a,"['new owner', 'recipient']",101015
238,a₂!-na-na,['intermediary'],101016
239,a-ba-{d}en-lil₂-gin₇,['source'],101016
240,lu₂-{d}nin-šubur,['intermediary'],101016
241,zu₂-ga-li,['source'],101017
242,ur-ku₃-nun-na,['recipient'],101017
243,a-ba-{d}en-lil₂-gin₇,['source'],101019
244,ur-da-gi₄,['intermediary'],101019
245,{d}šul-gi-iri-mu,['recipient'],101021
246,šuš₃,['source'],101225
247,lugal-ku₃-zu,['recipient'],101225
248,na-ra-am-i₃-li₂,['source'],101296
249,lugal,['source'],101297
250,{d}šul-gi-si₂-im-ti,['new owner'],101297
251,be-li₂-du₁₀,['recipient'],101297
252,{d}šul-gi-si₂-im-ti,['new owner'],101298
253,a₂-bi₂-li₂-a,['recipient'],101298
254,nir-i₃-da-gal₂,['new owner'],101299
255,e₂-u₆-e,['recipient'],101299
256,ur-ku₃-nun-na,['source'],101300
257,lugal,['new owner'],101301
258,na-ra-am-i₃-li₂,['source'],101301
259,lugal-an-na-ab-tum₂,['recipient'],101301
260,{d}šul-gi-si₂-im-tum,['new owner'],101302
261,a₂-bi₂-la-tum,['recipient'],101302
262,{d}šul-gi-si₂-im-tum,['new owner'],101303
263,a₂-bi₂-la-tum,['recipient'],101303
264,{d}šul-gi-si₂-im-ti,['new owner'],101304
265,ur-{d}lugal-edin-ka,['recipient'],101304
266,a-hu-ni,['source'],101305
267,[na]-sa₆#,['recipient'],101305
268,{d}šul-gi-si₂-im-ti,['new owner'],101306
269,ur-{d}lugal-edin-ka,['recipient'],101306
270,lugal,['new owner'],101307
271,na-sa₆,['source'],101307
272,lu₂-dingir-ra,['recipient'],101307
273,zu₂-ga-li,['intermediary'],101307
274,na-lu₅,['source'],101308
275,na-sa₆,['recipient'],101308
276,{d}šul-gi-si₂-im-tum,['new owner'],101309
277,{d}šul-gi-i₃-li₂,['recipient'],101309
278,{d}šul-gi-si₂-im-ti,['new owner'],101310
279,{d}šul-gi-i₃-li₂,['recipient'],101310
280,{d}šul-gi-si₂-im-ti,['new owner'],101311
281,ur-{d}lugal-edin-ka,['recipient'],101311
282,lugal,['new owner'],101312
283,na-sa₆,['source'],101312
284,na-lu₅,['recipient'],101312
285,un-za-mu,['recipient'],101313
286,igi-ni-da-a,['recipient'],101313
287,ur-{d}utu,['recipient'],101313
288,ur-{d}iškur#,['recipient'],101313
289,lugal-za₃-ge-si,['recipient'],101313
290,ur-{d}nin-geš-zi-da,['recipient'],101313
291,ur-{d}ig-alim,['recipient'],101313
292,[{d}ba]-ba₆-da-nu-me-a,['recipient'],101313
293,lu₂-{d}geš-bar-e₃,['recipient'],101313
294,lu₂-dingir-[ra],['recipient'],101313
295,a₂-bi₂-li₂,['recipient'],101313
296,a-da-lal₃,['recipient'],101313
297,lugal,['new owner'],101314
298,a-hu-ni,['source'],101314
299,lu₂-dingir-ra,['source'],101314
300,ab-ba-sa₆-ga,['source'],101314
301,{d}en-lil₂-la₂,['recipient'],101314
302,a-hu-ni,['recipient'],101315
303,ab-ba-sa₆-[ga],['source'],101316
304,ur-ku₃-nun-na,['recipient'],101317
305,ab-ba-sa₆-ga,"['new owner', 'recipient']",101318
306,ab-ba-sa₆-ga,"['new owner', 'recipient', 'recipient']",101319
307,lugal-amar-ku₃,['source'],101320
308,u₂-[ta₂]-mi-šar-ra-am,['recipient'],101320
309,sa₃-si₂,['source'],101321
310,a-hu-ni-šu,['recipient'],101321
311,lugal,['new owner'],101322
312,in-ta-e₃-a,"['new owner', 'recipient']",101322
313,nu-ur₂-{d}suen,['intermediary'],101322
314,{d}šul-gi-a-a-mu,['recipient'],101324
315,ka₅-a-mu,"['source', 'source']",101325
316,ka₅-a-mu-ta,['recipient'],101325
317,lu₂-uš-gi-na,['intermediary'],101326
318,i₃-pa₃-da,['intermediary'],101326
319,in-ta-e₃-a,"['source', 'source']",101326
320,in-ta-e₃-a-ta,['recipient'],101326
321,{d}en-lil₂-la₂,"['new owner', 'recipient', 'recipient']",101327
322,ka₅-a-mu,['source'],101328
323,al-la-mu,['intermediary'],101328
324,in-ta-e₃-a,"['source', 'source']",101329
325,in-ta-e₃-a-ta,['recipient'],101329
326,in-ta-e₃-a,"['source', 'source']",101330
327,in-ta-e₃-a-ta,['recipient'],101330
328,in-ta-e₃-a,"['source', 'source']",101332
329,in-ta-e₃-a-ta,['recipient'],101332
330,lugal,['new owner'],101333
331,in-ta-e₃-a,['recipient'],101333
332,{d}nanna-ma-ba,['intermediary'],101333
333,na-we-er-dingir,['source'],101334
334,ta₂-hi-iš-a-tal,['recipient'],101334
335,{d}šul-gi-si₂-im-ti,['new owner'],101335
336,a₂-bi₂-li₂-a,['recipient'],101335
337,in-ta-e₃-a,['source'],101336
338,du-u₂-du,['recipient'],101336
339,{d}šul-gi-si₂-im-ti,['new owner'],101337
340,a₂-bi₂-li₂-a,['recipient'],101337
341,in-ta-e₃-a,['source'],101338
342,in-ta-e₃-a,"['new owner', 'recipient', 'recipient']",101339
343,nu-ur₂-{d}suen,['intermediary'],101339
344,a-ba-{d}en-lil₂-gin₇,['source'],101340
345,ur-ku₃-nun-na,['recipient'],101340
346,ur-ku₃-nun-na,['recipient'],101341
347,in-ta-e₃-a,['source'],101342
348,ur-ku₃-nun-na,['recipient'],101342
349,lugal,['new owner'],101343
350,in-ta-e₃-a,['recipient'],101343
351,{d}suen-ba-la-lu,['intermediary'],101343
352,la-diš-ip,['source'],101344
353,ur-ku₃-nun-na,['recipient'],101344
354,a-la,"['source', 'source']",101345
355,a-la-ta,['recipient'],101345
356,ur-{d}ig-alim,['source'],101346
357,ur-ku₃-nun-na,['recipient'],101346
358,ur-x,['authorized'],101348
359,nin-ga₂,"['intermediary', 'intermediary']",101348
360,a₂-bi₂-la-tum,['intermediary'],101348
361,tab-ba-da-ra-ah,['intermediary'],101348
362,ur-{d}dumu-zi-da,['intermediary'],101348
363,a-hi-ma,['source'],101348
364,nam-ha-ni,['source'],101349
365,ur-{d}dumu-zi-da,"['authorized', 'authorized', 'authorized']",101350
366,nin-ga₂,['intermediary'],101350
367,nin-ga₂,['intermediary'],101351
368,ma-šum,['authorized'],101351
369,be-li₂-du₁₀,['source'],101352
370,i-pi₅-iq-er₃-ra,['intermediary'],101354
371,a₂-bi₂-li₂-a,['intermediary'],101354
372,ma-šum,['authorized'],101354
373,lu₂-uru₁₁{ki},['intermediary'],101355
374,be-li₂-du₁₀,['source'],101356
375,a₂-bi₂-la-ti,['intermediary'],101357
376,ur-{d}dumu-zi-da,['authorized'],101357
377,be-li₂-du₁₀,['source'],101357
378,a₂-bi₂-li₂-a,['source'],101358
379,be-li₂-ba-ni,['intermediary'],101358
380,a₂-bi₂-li₂-a,['source'],101359
381,ma-šum,['intermediary'],101360
382,a₂-bi₂-li₂-a,['source'],101360
383,er₃-ra-ba-ni,['intermediary'],101361
384,a₂-bi₂-li₂-a,['source'],101361
385,ma-šum,['intermediary'],101362
386,a₂-bi₂-li₂-a,['source'],101362
387,nin-ga₂,['intermediary'],101363
388,a₂-bi₂-li₂-a,['source'],101363
389,nin-ga₂,['intermediary'],101364
390,a₂-bi₂-li₂-a,['source'],101364
391,a₂-bi₂-la-tum,['source'],101365
392,a₂-bi₂-la-tum,['source'],101366
393,i-pi₅-iq-er₃-ra,['intermediary'],101367
394,ur-{d}lugal-edin,['source'],101367
395,ur-lugal,['intermediary'],101368
396,ur-{d}lugal-edin-ka,['source'],101368
397,ur-{d}lugal-edin-ka,['source'],101369
398,ur-{d}lugal-edin-ka,['source'],101370
399,nin-ga₂,['intermediary'],101371
400,ur-{d}lugal-edin,['source'],101371
401,nin-ga₂,['intermediary'],101372
402,ur-{d}lugal-edin,['source'],101372
403,ur-{d}lugal-edin-ka,['source'],101373
404,er₃-ra-na-dan,['intermediary'],101374
405,na-lu₅,['source'],101374
406,ur-{d}lugal-edin-ka,['source'],101375
407,ur!-{d}lugal-edin!,['source'],101376
408,ur-{d}lugal-edin-ka,['source'],101377
409,{d}šul-gi-i₃-li₂,['source'],101378
410,ma-šum,['intermediary'],101379
411,{d}šul-gi-i₃-li₂,['source'],101379
412,{d}šul-gi-i₃-li₂,['source'],101380
413,{d}šul-gi-i₃-li₂,['source'],101381
414,nin-ga₂,['intermediary'],101382
415,{d}šul-gi-i₃-li₂,['source'],101382
416,a₂-bi₂-la-tum,['source'],101383
417,lu₂-uru₁₁{ki},['authorized'],101384
418,a₂-bi₂-la-ti,['authorized'],101385
419,be-li₂-ba-ni,['authorized'],101385
420,be-li₂-du₁₀,['source'],101385
421,lugal,['new owner'],101387
422,na-ra-am-i₃-li₂,['source'],101387
423,ta₂-hi-iš-a-tal,['source'],101388
424,da-da#-[ga],['new owner'],101389
425,dingir-su-[ra-bi₂],['new owner'],101389
426,e₂-a-i₃#-[li₂],['new owner'],101389
427,na-sa₆,['source'],101389
428,a-hi-e₂-a,['new owner'],101390
429,ta-la-a-a,['new owner'],101390
430,ur-{d}en-lil₂,['new owner'],101390
431,ur-{d}suen,['new owner'],101390
432,{d}nanše-GIR₂@g?-gal,['authorized'],101390
433,ARAD₂-mu,"['new owner', 'authorized']",101390
434,ur-{d}ba-[ba₆,['authorized'],101390
435,na-sa₆,['source'],101390
436,ARAD₂-mu,['authorized'],101391
437,{d}šul-gi-a-a-mu,['source'],101391
438,ab-ba-sa₆-ga,['source'],101392
439,lugal-inim-gi-na,['intermediary'],101394
440,ur-{d}dumu-zi-da,['intermediary'],101394
441,ad-da-sa₆-ga,['intermediary'],101394
442,hu-zi-ri,['intermediary'],101394
443,ARAD₂-mu,"['intermediary', 'authorized', 'authorized']",101394
444,{d}šul-gi-a-a-mu,['source'],101394
445,ur-mes,['source'],101396
446,{d}šul-gi-iri-mu,"['new owner', 'recipient']",101397
447,ARAD₂-mu,['authorized'],101397
448,in-ta-e₃-a,['source'],101397
449,nu-ur₂-{d}suen,['intermediary'],101397
450,ur-mes,['source'],101398
451,x],['source'],101399
452,lugal,['new owner'],101400
453,sa₂-si₂,['source'],101401
454,ur-šu,['intermediary'],101402
455,uri₅{ki}-ki-du₁₀,['intermediary'],101402
456,ARAD₂-mu,"['authorized', 'authorized']",101403
457,lugal-ma₂-gur₈-re,"['authorized', 'authorized', 'authorized', 'authorized', 'authorized', 'authorized', 'authorized']",101403
458,{d}šu-{d}suen-ma-ha-ar,['authorized'],101403
459,a-bi₂-si₂-im-ti,['intermediary'],101403
460,{d}suen-a-bu-šu,['authorized'],101403
