,lemma,id_text,id_line,id_word,label
1023057,itud[moon]N,epsd2/admin/u3adm/P202530,42,P202530.42.1,r 18
1023058,ezem-mah[]MN,epsd2/admin/u3adm/P202530,42,P202530.42.2,r 18
1023059,mu[name]N,epsd2/admin/u3adm/P202530,43,P202530.43.1,r 19
1023060,en[priest]N,epsd2/admin/u3adm/P202530,43,P202530.43.2,r 19
1023061,eridu{ki}[]GN,epsd2/admin/u3adm/P202530,43,P202530.43.3,r 19
1023062,huŋ[hire]V/t,epsd2/admin/u3adm/P202530,43,P202530.43.4,r 19
1023063,2(geš₂)[]NU,epsd2/admin/u3adm/P202530,45,P202530.45.1,l.e. 1
1023064,2(u)[]NU,epsd2/admin/u3adm/P202530,45,P202530.45.2,l.e. 1
1023065,3(diš)[]NU,epsd2/admin/u3adm/P202530,45,P202530.45.3,l.e. 1
1023247,break,epsd2/admin/u3adm/P113410,3,P113410.3,
1023248,x[NA]NA,epsd2/admin/u3adm/P113410,4,P113410.4.1,o 1'
1023249,2(diš)[]NU,epsd2/admin/u3adm/P113410,4,P113410.4.2,o 1'
1023250,maš[goat]N,epsd2/admin/u3adm/P113410,4,P113410.4.3,o 1'
1023251,ga[milk]N,epsd2/admin/u3adm/P113410,4,P113410.4.4,o 1'
1023252,6(diš)[]NU,epsd2/admin/u3adm/P113410,5,P113410.5.1,o 2'
1023253,ašgar[kid]N,epsd2/admin/u3adm/P113410,5,P113410.5.2,o 2'
1023254,ga[milk]N,epsd2/admin/u3adm/P113410,5,P113410.5.3,o 2'
1023255,utuda[offspring]N,epsd2/admin/u3adm/P113410,6,P113410.6.1,o 3'
1023256,ud[sun]N,epsd2/admin/u3adm/P113410,7,P113410.7.1,o 4'
1023257,3(u)[]NU,epsd2/admin/u3adm/P113410,7,P113410.7.2,o 4'
1023258,lal[small]V/i,epsd2/admin/u3adm/P113410,7,P113410.7.3,o 4'
1023259,1(diš)-kam[]NU,epsd2/admin/u3adm/P113410,7,P113410.7.4,o 4'
1023260,šag[heart]N,epsd2/admin/u3adm/P113410,9,P113410.9.1,r 1
1023261,nagabtum[stockyard?]N,epsd2/admin/u3adm/P113410,9,P113410.9.2,r 1
1023262,lu₂-dingir-ra[]PN,epsd2/admin/u3adm/P113410,10,P113410.10.1,r 2
1023263,dab[seize]V/t,epsd2/admin/u3adm/P113410,11,P113410.11.1,r 3
1023264,itud[moon]N,epsd2/admin/u3adm/P113410,12,P113410.12.1,r 4
1023265,šu-eš-ša[]MN,epsd2/admin/u3adm/P113410,12,P113410.12.2,r 4
1023266,mu[name]N,epsd2/admin/u3adm/P113410,13,P113410.13.1,r 5
1023267,x[NA]NA,epsd2/admin/u3adm/P113410,13,P113410.13.2,r 5
1023268,1(u)[]NU,epsd2/admin/u3adm/P113410,15,P113410.15.1,l.e. 1
1023269,3(diš)[]NU,epsd2/admin/u3adm/P113410,15,P113410.15.2,l.e. 1
1024191,1(diš)[]NU,epsd2/admin/u3adm/P201178,3,P201178.3.1,o 1
1024192,sila[lamb]N,epsd2/admin/u3adm/P201178,3,P201178.3.2,o 1
1024193,{d}suen-ad-lal₃[]PN,epsd2/admin/u3adm/P201178,3,P201178.3.3,o 1
1024194,1(diš)[]NU,epsd2/admin/u3adm/P201178,4,P201178.4.1,o 2
1024195,sila[lamb]N,epsd2/admin/u3adm/P201178,4,P201178.4.2,o 2
1024196,lu₂-{d}nanna[]PN,epsd2/admin/u3adm/P201178,4,P201178.4.3,o 2
1024197,damgar[merchant]N,epsd2/admin/u3adm/P201178,4,P201178.4.4,o 2
1024198,mu.DU[delivery]N,epsd2/admin/u3adm/P201178,5,P201178.5.1,o 3
1024199,lugal[king]N,epsd2/admin/u3adm/P201178,5,P201178.5.2,o 3
1024200,in-ta-e₃-a[]PN,epsd2/admin/u3adm/P201178,6,P201178.6.1,o 4
1024201,dab[seize]V/t,epsd2/admin/u3adm/P201178,7,P201178.7.1,o 5
1024202,ŋiri[foot]N,epsd2/admin/u3adm/P201178,9,P201178.9.1,r 1
1024203,{d}nanna-ma-ba[]PN,epsd2/admin/u3adm/P201178,9,P201178.9.2,r 1
1024204,dubsar[scribe]N,epsd2/admin/u3adm/P201178,9,P201178.9.3,r 1
1024205,ud[sun]N,epsd2/admin/u3adm/P201178,10,P201178.10.1,r 2
1024206,2(u)[]NU,epsd2/admin/u3adm/P201178,10,P201178.10.2,r 2
1024207,5(diš)-kam[]NU,epsd2/admin/u3adm/P201178,10,P201178.10.3,r 2
1024208,itud[moon]N,epsd2/admin/u3adm/P201178,11,P201178.11.1,r 3
1024209,ki-siki-{d}nin-a-zu[]MN,epsd2/admin/u3adm/P201178,11,P201178.11.2,r 3
1024210,mu[name]N,epsd2/admin/u3adm/P201178,12,P201178.12.1,r 4
1024211,{d}šu-{d}suen[]TN,epsd2/admin/u3adm/P201178,12,P201178.12.2,r 4
1024212,lugal[king]N,epsd2/admin/u3adm/P201178,12,P201178.12.3,r 4
1024213,uri₅{ki}-ma-ke₄[]GN,epsd2/admin/u3adm/P201178,12,P201178.12.4,r 4
1024214,mada[land]N,epsd2/admin/u3adm/P201178,12,P201178.12.5,r 4
1024215,za-ab-ša-li{ki}[]GN,epsd2/admin/u3adm/P201178,12,P201178.12.6,r 4
1024216,hulu[bad]V/i,epsd2/admin/u3adm/P201178,12,P201178.12.7,r 4
1024217,2(diš)[]NU,epsd2/admin/u3adm/P201178,14,P201178.14.1,l.e. 1
1024218,{d}šu-{d}suen[]TN,epsd2/admin/u3adm/P201178,17,P201178.17.1,seal 1 i 1
1024219,lugal[king]N,epsd2/admin/u3adm/P201178,18,P201178.18.1,seal 1 i 2
1024220,kalag[strong]V/i,epsd2/admin/u3adm/P201178,18,P201178.18.2,seal 1 i 2
1024221,lugal[king]N,epsd2/admin/u3adm/P201178,19,P201178.19.1,seal 1 i 3
1024222,uri₅{ki}-ma[]GN,epsd2/admin/u3adm/P201178,19,P201178.19.2,seal 1 i 3
1024223,lugal[king]N,epsd2/admin/u3adm/P201178,20,P201178.20.1,seal 1 i 4
1024224,an[sky]N,epsd2/admin/u3adm/P201178,20,P201178.20.2,seal 1 i 4
1024225,anubda[quarter]N,epsd2/admin/u3adm/P201178,20,P201178.20.3,seal 1 i 4
1024226,limmu[four]NU,epsd2/admin/u3adm/P201178,20,P201178.20.4,seal 1 i 4
1024227,{d}nanna-ma-ba[]PN,epsd2/admin/u3adm/P201178,22,P201178.22.1,seal 1 ii 1
1024228,dubsar[scribe]N,epsd2/admin/u3adm/P201178,23,P201178.23.1,seal 1 ii 2
1024229,dumu[child]N,epsd2/admin/u3adm/P201178,24,P201178.24.1,seal 1 ii 3
1024230,u₂-na-ab-še-en₆[]PN,epsd2/admin/u3adm/P201178,24,P201178.24.2,seal 1 ii 3
1024231,arad[slave]N,epsd2/admin/u3adm/P201178,25,P201178.25.1,seal 1 ii 4
1024285,8(diš)[]NU,epsd2/admin/u3adm/P128763,3,P128763.3.1,o 1
1024286,gud[ox]N,epsd2/admin/u3adm/P128763,3,P128763.3.2,o 1
1024287,niga[fattened]V/i,epsd2/admin/u3adm/P128763,3,P128763.3.3,o 1
1024288,2(diš)[]NU,epsd2/admin/u3adm/P128763,4,P128763.4.1,o 2
1024289,gud[ox]N,epsd2/admin/u3adm/P128763,4,P128763.4.2,o 2
1024290,ŋešdu[breeder]N,epsd2/admin/u3adm/P128763,4,P128763.4.3,o 2
1024291,niga[fattened]V/i,epsd2/admin/u3adm/P128763,4,P128763.4.4,o 2
1024292,2(diš)[]NU,epsd2/admin/u3adm/P128763,5,P128763.5.1,o 3
1024293,am[bull]N,epsd2/admin/u3adm/P128763,5,P128763.5.2,o 3
1024294,gud[ox]N,epsd2/admin/u3adm/P128763,5,P128763.5.3,o 3
1024295,1(geš₂)[]NU,epsd2/admin/u3adm/P128763,5,P128763.5.4,o 3
1024296,udu[sheep]N,epsd2/admin/u3adm/P128763,5,P128763.5.5,o 3
1024297,4(u)[]NU,epsd2/admin/u3adm/P128763,6,P128763.6.1,o 4
1024298,mašgal[goat]N,epsd2/admin/u3adm/P128763,6,P128763.6.2,o 4
1024299,1(diš)[]NU,epsd2/admin/u3adm/P128763,6,P128763.6.3,o 4
1024300,sila[lamb]N,epsd2/admin/u3adm/P128763,6,P128763.6.4,o 4
1024301,nir-i₃-da-gal₂[]PN,epsd2/admin/u3adm/P128763,7,P128763.7.1,o 5
1024302,1(diš)[]NU,epsd2/admin/u3adm/P128763,8,P128763.8.1,o 6
1024303,gud[ox]N,epsd2/admin/u3adm/P128763,8,P128763.8.2,o 6
1024304,1(u)[]NU,epsd2/admin/u3adm/P128763,8,P128763.8.3,o 6
1024305,lal[small]V/i,epsd2/admin/u3adm/P128763,8,P128763.8.4,o 6
1024306,1(diš)[]NU,epsd2/admin/u3adm/P128763,8,P128763.8.5,o 6
1024307,udu[sheep]N,epsd2/admin/u3adm/P128763,8,P128763.8.6,o 6
1024308,1(diš)[]NU,epsd2/admin/u3adm/P128763,8,P128763.8.7,o 6
1024309,sila[lamb]N,epsd2/admin/u3adm/P128763,8,P128763.8.8,o 6
1024310,na-ra-am-{d}iškur[]PN,epsd2/admin/u3adm/P128763,9,P128763.9.1,o 7
1024311,nubanda[overseer]N,epsd2/admin/u3adm/P128763,9,P128763.9.2,o 7
1024312,4(diš)[]NU,epsd2/admin/u3adm/P128763,10,P128763.10.1,o 8
1024313,sila[lamb]N,epsd2/admin/u3adm/P128763,10,P128763.10.2,o 8
1024314,2(diš)[]NU,epsd2/admin/u3adm/P128763,10,P128763.10.3,o 8
1024315,amar[young]N,epsd2/admin/u3adm/P128763,10,P128763.10.4,o 8
1024316,mašda[gazelle]N,epsd2/admin/u3adm/P128763,10,P128763.10.5,o 8
1024317,zabardab[official]N,epsd2/admin/u3adm/P128763,11,P128763.11.1,o 9
1024318,2(diš)[]NU,epsd2/admin/u3adm/P128763,12,P128763.12.1,o 10
1024319,gud[ox]N,epsd2/admin/u3adm/P128763,12,P128763.12.2,o 10
1024320,ŋešdu[breeder]N,epsd2/admin/u3adm/P128763,12,P128763.12.3,o 10
1024321,gunu[speckled]V/i,epsd2/admin/u3adm/P128763,12,P128763.12.4,o 10
1024322,na-ab-la-nu-um[]PN,epsd2/admin/u3adm/P128763,13,P128763.13.1,o 11
1024323,MAR.TU[westerner]N,epsd2/admin/u3adm/P128763,13,P128763.13.2,o 11
1024324,3(diš)[]NU,epsd2/admin/u3adm/P128763,14,P128763.14.1,o 12
1024325,gud[ox]N,epsd2/admin/u3adm/P128763,14,P128763.14.2,o 12
1024326,ŋešdu[breeder]N,epsd2/admin/u3adm/P128763,14,P128763.14.3,o 12
1024327,gunu[speckled]V/i,epsd2/admin/u3adm/P128763,14,P128763.14.4,o 12
1024328,1(diš)[]NU,epsd2/admin/u3adm/P128763,15,P128763.15.1,o 13
1024329,gud[ox]N,epsd2/admin/u3adm/P128763,15,P128763.15.2,o 13
1024330,gunu[speckled]V/i,epsd2/admin/u3adm/P128763,15,P128763.15.3,o 13
1024331,x[NA]NA,epsd2/admin/u3adm/P128763,16,P128763.16.1,o 14
1024332,x[NA]NA,epsd2/admin/u3adm/P128763,16,P128763.16.2,o 14
