,lemma,id_text,id_line,id_word,label
3050479,1(aš)[]NU,epsd2/admin/u3adm/P116890,30,P116890.30.1,r 11'
3050480,2(ban₂)[]NU,epsd2/admin/u3adm/P116890,30,P116890.30.2,r 11'
3050481,4(diš)[]NU,epsd2/admin/u3adm/P116890,30,P116890.30.3,r 11'
3050482,sila[unit]N,epsd2/admin/u3adm/P116890,30,P116890.30.4,r 11'
3050483,zidkum[flour]N,epsd2/admin/u3adm/P116890,30,P116890.30.5,r 11'
3050484,šag₄.DU[~flour]N,epsd2/admin/u3adm/P116890,30,P116890.30.6,r 11'
3050485,gur[unit]N,epsd2/admin/u3adm/P116890,30,P116890.30.7,r 11'
3050486,1(barig)[]NU,epsd2/admin/u3adm/P116890,31,P116890.31.1,r 12'
3050487,2(ban₂)[]NU,epsd2/admin/u3adm/P116890,31,P116890.31.2,r 12'
3050488,zidkum[flour]N,epsd2/admin/u3adm/P116890,31,P116890.31.3,r 12'
3050489,sag[rare]V/i,epsd2/admin/u3adm/P116890,31,P116890.31.4,r 12'
3050490,3(ban₂)[]NU,epsd2/admin/u3adm/P116890,32,P116890.32.1,r 13'
3050491,6(diš)[]NU,epsd2/admin/u3adm/P116890,32,P116890.32.2,r 13'
3050492,1/3(diš)[]NU,epsd2/admin/u3adm/P116890,32,P116890.32.3,r 13'
3050493,sila[unit]N,epsd2/admin/u3adm/P116890,32,P116890.32.4,r 13'
3050494,kaš[beer]N,epsd2/admin/u3adm/P116890,32,P116890.32.5,r 13'
3050495,du[go]V/i,epsd2/admin/u3adm/P116890,32,P116890.32.6,r 13'
3050496,ninda[bread]N,epsd2/admin/u3adm/P116890,33,P116890.33.1,r 14'
3050497,GIŠ.AŠ[~bread]AJ,epsd2/admin/u3adm/P116890,33,P116890.33.2,r 14'
3050498,šag[heart]N,epsd2/admin/u3adm/P116890,34,P116890.34.1,r 15'
3050499,akiti[festival]N,epsd2/admin/u3adm/P116890,34,P116890.34.2,r 15'
3050500,ziga[expenditure]N,epsd2/admin/u3adm/P116890,35,P116890.35.1,r 16'
3050501,gabari[copy]N,epsd2/admin/u3adm/P116890,35,P116890.35.2,r 16'
3050502,šag[heart]N,epsd2/admin/u3adm/P116890,36,P116890.36.1,r 17'
3050503,uri₅{ki}-ma[]GN,epsd2/admin/u3adm/P116890,36,P116890.36.2,r 17'
3050504,le[NA]NA,epsd2/admin/u3adm/P116890,36,P116890.36.3,r 17'
3050505,itud[moon]N,epsd2/admin/u3adm/P116890,37,P116890.37.1,r 18'
3050506,akiti[festival]N,epsd2/admin/u3adm/P116890,37,P116890.37.2,r 18'
3050507,mu[name]N,epsd2/admin/u3adm/P116890,38,P116890.38.1,r 19'
3050508,us[follow]V/t,epsd2/admin/u3adm/P116890,38,P116890.38.2,r 19'
3050509,e[house]N,epsd2/admin/u3adm/P116890,38,P116890.38.3,r 19'
3050510,puzur₄-iš-{d}da-gan[NA]NA,epsd2/admin/u3adm/P116890,38,P116890.38.4,r 19'
3050511,du[build]V/t,epsd2/admin/u3adm/P116890,38,P116890.38.5,r 19'
3050512,mu[name]N,epsd2/admin/u3adm/P116890,38,P116890.38.6,r 19'
3050513,us[follow]V/t,epsd2/admin/u3adm/P116890,38,P116890.38.7,r 19'
3050641,1(diš)[]NU,epsd2/admin/u3adm/P134715,3,P134715.3.1,o 1
3050642,udu[sheep]N,epsd2/admin/u3adm/P134715,3,P134715.3.2,o 1
3050643,eʾuzga[building]N,epsd2/admin/u3adm/P134715,3,P134715.3.3,o 1
3050644,ARAD₂-{d}nanna[]PN,epsd2/admin/u3adm/P134715,4,P134715.4.1,o 2
3050645,muhaldim[cook]N,epsd2/admin/u3adm/P134715,4,P134715.4.2,o 2
3050646,maškim[administrator]N,epsd2/admin/u3adm/P134715,4,P134715.4.3,o 2
3050647,1(diš)[]NU,epsd2/admin/u3adm/P134715,5,P134715.5.1,o 3
3050648,udu[sheep]N,epsd2/admin/u3adm/P134715,5,P134715.5.2,o 3
3050649,niga[fattened]V/i,epsd2/admin/u3adm/P134715,5,P134715.5.3,o 3
3050650,2(diš)[]NU,epsd2/admin/u3adm/P134715,5,P134715.5.4,o 3
3050651,udu[sheep]N,epsd2/admin/u3adm/P134715,5,P134715.5.5,o 3
3050652,barŋal[~sheep]N,epsd2/admin/u3adm/P134715,5,P134715.5.6,o 3
3050653,niga[fattened]V/i,epsd2/admin/u3adm/P134715,5,P134715.5.7,o 3
3050654,1(diš)[]NU,epsd2/admin/u3adm/P134715,6,P134715.6.1,o 4
3050655,gukkal[sheep]N,epsd2/admin/u3adm/P134715,6,P134715.6.2,o 4
3050656,niga[fattened]V/i,epsd2/admin/u3adm/P134715,6,P134715.6.3,o 4
3050657,3(diš)[]NU,epsd2/admin/u3adm/P134715,6,P134715.6.4,o 4
3050658,udu[sheep]N,epsd2/admin/u3adm/P134715,6,P134715.6.5,o 4
3050659,aslum[sheep]N,epsd2/admin/u3adm/P134715,6,P134715.6.6,o 4
3050660,niga[fattened]V/i,epsd2/admin/u3adm/P134715,6,P134715.6.7,o 4
3050661,1(diš)[]NU,epsd2/admin/u3adm/P134715,7,P134715.7.1,o 5
3050662,udu[sheep]N,epsd2/admin/u3adm/P134715,7,P134715.7.2,o 5
