,lemma,id_text,id_line,id_word,label
1374592,sila[lamb]N,epsd2/admin/u3adm/P126212,3,P126212.3.2,o 1
1374593,ud[sun]N,epsd2/admin/u3adm/P126212,4,P126212.4.1,o 2
1374594,2(u)[]NU,epsd2/admin/u3adm/P126212,4,P126212.4.2,o 2
1374595,1(diš)-kam[]NU,epsd2/admin/u3adm/P126212,4,P126212.4.3,o 2
1374596,ki[place]N,epsd2/admin/u3adm/P126212,5,P126212.5.1,o 3
1374597,ab-ba-sa₆-ga-ta[]PN,epsd2/admin/u3adm/P126212,5,P126212.5.2,o 3
1374598,in-ta-e₃-a[]PN,epsd2/admin/u3adm/P126212,6,P126212.6.1,o 4
1374599,dab[seize]V/t,epsd2/admin/u3adm/P126212,8,P126212.8.1,r 1
1374600,itud[moon]N,epsd2/admin/u3adm/P126212,9,P126212.9.1,r 2
1374601,ses-da-gu₇[]MN,epsd2/admin/u3adm/P126212,9,P126212.9.2,r 2
1374602,mu[name]N,epsd2/admin/u3adm/P126212,10,P126212.10.1,r 3
1374603,en[priest]N,epsd2/admin/u3adm/P126212,10,P126212.10.2,r 3
1374604,{d}nanna[]DN,epsd2/admin/u3adm/P126212,10,P126212.10.3,r 3
1374605,huŋ[hire]V/t,epsd2/admin/u3adm/P126212,10,P126212.10.4,r 3
1374606,5(diš)[]NU,epsd2/admin/u3adm/P126212,12,P126212.12.1,l.e. 1
1375106,1(diš)[]NU,epsd2/admin/u3adm/P211684,3,P211684.3.1,o 1
1375107,gud[ox]N,epsd2/admin/u3adm/P211684,3,P211684.3.2,o 1
1375108,a[water]N,epsd2/admin/u3adm/P211684,3,P211684.3.3,o 1
1375109,am[bull]N,epsd2/admin/u3adm/P211684,3,P211684.3.4,o 1
1375110,2(diš)[]NU,epsd2/admin/u3adm/P211684,4,P211684.4.1,o 2
1375111,udu[sheep]N,epsd2/admin/u3adm/P211684,4,P211684.4.2,o 2
1375112,niga[fattened]V/i,epsd2/admin/u3adm/P211684,4,P211684.4.3,o 2
1375113,2(diš)[]NU,epsd2/admin/u3adm/P211684,5,P211684.5.1,o 3
1375114,gukkal[sheep]N,epsd2/admin/u3adm/P211684,5,P211684.5.2,o 3
1375115,niga[fattened]V/i,epsd2/admin/u3adm/P211684,5,P211684.5.3,o 3
1375116,2(diš)[]NU,epsd2/admin/u3adm/P211684,6,P211684.6.1,o 4
1375117,u[ewe]N,epsd2/admin/u3adm/P211684,6,P211684.6.2,o 4
1375118,niga[fattened]V/i,epsd2/admin/u3adm/P211684,6,P211684.6.3,o 4
1375119,5(diš)[]NU,epsd2/admin/u3adm/P211684,7,P211684.7.1,o 5
1375120,udu[sheep]N,epsd2/admin/u3adm/P211684,7,P211684.7.2,o 5
1375121,1(diš)[]NU,epsd2/admin/u3adm/P211684,8,P211684.8.1,o 6
1375122,uzud[goat]N,epsd2/admin/u3adm/P211684,8,P211684.8.2,o 6
1375123,2(diš)[]NU,epsd2/admin/u3adm/P211684,10,P211684.10.1,r 1
1375124,gukkal[sheep]N,epsd2/admin/u3adm/P211684,10,P211684.10.2,r 1
1375125,1(diš)[]NU,epsd2/admin/u3adm/P211684,11,P211684.11.1,r 2
1375126,kir[lamb]N,epsd2/admin/u3adm/P211684,11,P211684.11.2,r 2
1375127,2(diš)[]NU,epsd2/admin/u3adm/P211684,12,P211684.12.1,r 3
1375128,sila[lamb]N,epsd2/admin/u3adm/P211684,12,P211684.12.2,r 3
1375129,ga[milk]N,epsd2/admin/u3adm/P211684,12,P211684.12.3,r 3
1375130,uš[die]V/i,epsd2/admin/u3adm/P211684,13,P211684.13.1,r 4
1375131,ud[sun]N,epsd2/admin/u3adm/P211684,13,P211684.13.2,r 4
1375132,1(u)[]NU,epsd2/admin/u3adm/P211684,13,P211684.13.3,r 4
