name;professions
[ur-{d}šul]-pa-e₃;{'dubsar[scribe]'}
[ur-šu];{'muhaldim[cook]'}
[ur]-me-me;{'nagada[herdsman]'}
[ur]-mes;{'ensik[ruler]'}
[ur]-nig₂;{'dubsar[scribe]'}
[ur]-sa₆#-ga;{'lu[person]'}
[ur]-sa₆-ga;{'šabra[administrator]'}
[ur]-tilla₅;{'FN'}
[ur]-{d}ba-ba₆;{'muhaldim[cook]'}
[ur]-{d}da-mu;{'ragaba[rider]'}
[ur]-{d}lamma;{'dubsar[scribe]'}
[ur]-{d}šul-gi-ra;{'šarrabdu[administrator]'}
[wa]-da-ru-um;{'FN'}
[x-{d}]ig-alim;{'kurušda[fattener]'}
[x]-KA;{'kurušda[fattener]'}
[x]-{d}šul-gi;{'šabra[administrator]'}
[{d}]amar#-{d}suen;{'lugal[king]'}
[{d}]en#-lil₂-la₂;{'dim[create]'}
[{d}]gu₂-la₂;{'šag[heart]'}
[{d}]nanna#-igi-du;{'šagia[cup-bearer]'}
[{d}]nanna-igi-du;{'šagia[cup-bearer]'}
[{d}]suen#-a-bu-šu;{'šagia[cup-bearer]'}
[{d}]suen-a-bu-šu;{'šagia[cup-bearer]'}
[{d}]utu-bar-ra;{'unud[cowherd]'}
[{d}]šu-{d}suen-la-ma-ha-ar;{'šagia[cup-bearer]'}
[{d}]šul#-gi-[ke₄;{'gub[stand]'}
[{d}]šul-gi-{d}lamma-mu;{'kuš[official]'}
[{d}en-lil₂]-la₂;{'dim[create]'}
[{d}en-lil₂]-la₂#;{'WN'}
[{d}en]-ki;{'du[spread]'}
[{d}en]-lil₂-la₂;{'dim[create]'}
[{d}nanna-kam];{'sukkal[secretary]'}
[{d}nanna-ma]-ba;{'dubsar[scribe]'}
[{d}suen]-a-bu-šu;{'šagia[cup-bearer]'}
[{d}utu-he₂-du₇];{'FN'}
[{d}šu-{d}]suen#-la-ma-ha-ar;{'šagia[cup-bearer]'}
[{d}šu-{d}suen-la]-ma-ha-ar;{'šagia[cup-bearer]'}
[{d}šul]-gi#-si₂-im-ti#;{'AN'}
[{d}šul]-gi-i₃-li₂;{'PN'}
[{d}šul]-gi-ra;{'e[house]'}
