,name,role,year,p_index
1,ab-ba-kal-la,['source'],,100041
2,lu₂-dingir-ra,['source'],ki-maš{ki} u₃ hu-ur₅-ti{ki} ba-hul,100189
3,ur-nigar{gar},['recipient'],ki-maš{ki} u₃ hu-ur₅-ti{ki} ba-hul,100189
4,nu-i₃-da,['new owner'],us₂-sa ki-maš{ki} ba-hul,100190
5,na-sa₆,['source'],us₂-sa ki-maš{ki} ba-hul,100190
6,lu₂-dingir-ra,['source'],[{d}]amar#-{d}suen lugal,100191
7,ur-nigar{gar},['recipient'],[{d}]amar#-{d}suen lugal,100191
8,lu₂-dingir-ra,['source'],{d}amar-{d}suen lugal,100211
9,ur-nigar{gar},['recipient'],{d}amar-{d}suen lugal,100211
10,šu-{d}nin-šubur,['representative'],en {d}nanna kar-zi-da ba-hun,100215
11,zu-ba-ga,['source'],en {d}nanna kar-zi-da ba-hun,100215
12,ad-da-kal-la,['intermediary'],en {d}nanna kar-zi-da ba-hun,100215
13,na-sa₆,['recipient'],us₂-sa ki-maš{ki} ba-hul,100217
14,ab-ba-sa₆-ga,['source'],en-unu₆-gal {d}inanna ba-hun,100218
15,na-sa₆,['recipient'],ha-ar-ši{ki} hu-ur₅-ti{ki} ki-maš{ki} u₃ ma-da-bi u₄ aš-a ba-hul,100219
16,ARAD₂-mu,['representative'],{d}amar-{d}suen lugal-e ur-bi₂-lum{ki} mu-hul,100220
17,{d}šul-gi-a-a-mu,['source'],{d}amar-{d}suen lugal-e ur-bi₂-lum{ki} mu-hul,100220
18,na-sa₆,['source'],en {d}nanna maš-e i₃-pa₃,100221
19,ur-{d}suen,['recipient'],en {d}nanna maš-e i₃-pa₃,100221
20,eš₃-nun-na{ki},['source'],ma₂-dara₃-abzu ba-ab-du₈,100222
21,in-ta-e₃-a,['recipient'],ma₂-dara₃-abzu ba-ab-du₈,100222
22,na-sa₆,['source'],us₂-sa ki-maš{ki} ba-hul,100223
23,dingir-ba-ni,['recipient'],us₂-sa ki-maš{ki} ba-hul,100224
24,na-sa₆,['source'],us₂-sa ki-maš{ki} ba-hul,100224
25,ur-ku₃-nun-na,['source'],{d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ ma₂-gur₈-mah {d}en-lil₂ {d}nin-lil₂-ra mu-ne-dim₂,100227
26,lu₂-ša-lim,['intermediary'],{d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ ma₂-gur₈-mah {d}en-lil₂ {d}nin-lil₂-ra mu-ne-dim₂,100227
27,šeš-da-da,['new owner'],en {d}nanna maš-e i₃-pa₃,100228
28,ur-du₆,['new owner'],en {d}nanna maš-e i₃-pa₃,100228
29,{d}nanna-igi-du,['representative'],ma₂-dara₃-abzu ba-ab-du₈,100229
30,in-ta-e₃-a,['source'],ma₂-dara₃-abzu ba-ab-du₈,100229
31,{d}nanna-ma-ba,['intermediary'],ma₂-dara₃-abzu ba-ab-du₈,100229
32,dingir-dan,['representative'],en eridu{ki} ba-hun,100230
33,lu₂-dingir-ra,['source'],en eridu{ki} ba-hun,100230
34,ARAD₂-mu,['representative'],en {d}nanna kar-zi-da ba-hun,100231
35,nu-ur₂-{d}suen,['intermediary'],en {d}nanna kar-zi-da ba-hun,100231
36,ab-ba-sa₆-ga,['recipient'],en-unu₆-gal {d}inanna ba-hun,100232
37,ab-ba-sa₆-ga,['source'],en-unu₆-gal {d}inanna ba-hun,100259
38,in-ta-e₃-a,['recipient'],en-unu₆-gal {d}inanna ba-hun,100259
39,er₃-ra-na-da,['representative'],ha-ar-ši{ki} ki-maš{ki} hu-ur₅-ti{ki} u₃ ma-da-bi u₄ aš-a ba-hul,100260
40,na-sa₆,['source'],ha-ar-ši{ki} ki-maš{ki} hu-ur₅-ti{ki} u₃ ma-da-bi u₄ aš-a ba-hul,100260
41,e₂-a-i₃-li₂,['new owner'],ha-ar-ši{ki} hu-ur₅-ti{ki} ki-maš{ki} u₃ ma-da-bi u₄ aš-a ba-hul,100261
42,na-sa₆,['source'],ha-ar-ši{ki} hu-ur₅-ti{ki} ki-maš{ki} u₃ ma-da-bi u₄ aš-a ba-hul,100261
43,ab-ba-sa₆-ga,['source'],en-unu₆-gal {d}inanna ba-hun,100262
44,u₂-ta₂-mi-šar-ra-am,['recipient'],en-unu₆-gal {d}inanna ba-hun,100262
45,kal-{d}šul-gi,['intermediary'],en-unu₆-gal {d}inanna ba-hun,100262
46,ab-ba-sa₆-ga,['source'],en-unu₆-gal {d}inanna ba-hun,100264
47,u₂-ta₂-mi-šar-ra-am,['recipient'],en-unu₆-gal {d}inanna ba-hun,100264
48,lu₂-dingir-ra,['source'],{d}amar-{d}suen lugal,100265
49,ur-nigar{gar},['recipient'],{d}amar-{d}suen lugal,100265
50,lu₂-dingir-ra,['recipient'],{d}amar-{d}suen lugal,100266
51,{d}šul-gi-a-a-mu,['source'],{d}gu-za {d}en-lil₂-la₂ ba-dim₂,100268
52,ur-nigar{gar},['recipient'],{d}gu-za {d}en-lil₂-la₂ ba-dim₂,100268
53,{d}šul-gi-a-a-mu,['source'],en-unu₆-gal {d}inanna ba-hun,100269
54,{d}šul-gi-iri-mu,['recipient'],en-unu₆-gal {d}inanna ba-hun,100269
55,ur-{d}lugal-edin-na,['recipient'],ki-maš{ki} ba-hul,100270
56,{d}šul-gi-si₂-im-tum,['new owner'],ša-aš-ru{ki} ba-hul,100271
57,a₂#-bi₂-la-tum,['recipient'],ša-aš-ru{ki} ba-hul,100271
58,ab-ba-sa₆-ga,['source'],en-unu₆-gal {d}inanna unu{ki} ba-hun,100272
