p_index,people_involved
104507,"[(('ur-šu', 'muhaldim[cook]'), ""['intermediary']"", 2), (('ARAD₂-mu', 'None'), ""['representative']"", 71), (('zu-ba-ga', 'PN'), ""['source']"", 0), (('i₃-li₂-be-li₂', 'sukkal[secretary]'), ""['intermediary']"", 0), (('nu-ur₂-{d}utu', 'ragaba[rider]'), ""['representative']"", 0)]"
106409,"[(('{d}šul-gi-i₃-li₂', 'None'), ""['source']"", 30), (('a-ba-{d}en-lil₂-gin₇', 'None'), ""['source']"", 20), (('ur-nig₂', 'None'), ""['intermediary']"", 14), (('sa₃-si₂', 'None'), ""['source', 'recipient', 'intermediary']"", 23), (('sa₃-si₂', 'None'), ""['source', 'recipient', 'intermediary']"", 24), (('du-du', 'None'), ""['source']"", 0)]"
104839,"[(('a-hu-we-er', 'PN'), ""['source']"", 0), (('ba-za-za', 'sukkal[secretary]'), ""['intermediary']"", 2), (('la-la-mu', 'sukkal[secretary]'), ""['intermediary']"", 0), (('ur-{d}lugal-banda₃{da}', 'None'), ""['intermediary']"", 6), (('ARAD₂-mu', 'None'), ""['representative']"", 80), (('šu-ku-bu-um', 'sukkal[secretary]'), ""['intermediary']"", 1)]"
126167,"[(('ur-mes', 'None'), ""['source']"", 134), (('a-ab-ba-a', 'None'), ""['source']"", 0), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 317), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 318), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 319), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 320), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 321), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 322), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 323), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 324), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 325), (('en-um-i₃-li₂', 'nagada[herdsman]'), ""['recipient']"", 1), (('i-bi₂', 'None'), ""['source']"", 3), (('ur-me-me', 'None'), ""['recipient']"", 3), (('ur-me-me', 'None'), ""['recipient']"", 4), (('šu-da-da', 'None'), ""['recipient']"", 8), (('šu-da-da', 'None'), ""['recipient']"", 9), (('ur-ku₃-nun-[na', 'None'), ""['recipient']"", 2), (('ur-{d}lamma', 'None'), ""['source']"", 11), (('en-um-i₃-li₂', 'None'), ""['recipient']"", 8), (('en-um-i₃-li₂', 'None'), ""['recipient']"", 9)]"
303391,"[(('šu-{d}nin-šubur', 'None'), ""['intermediary']"", 17), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 2476), (('sa₆-ga', 'None'), ""['intermediary']"", 3), (('šu-{d}ma-mi-tum', 'None'), ""['intermediary']"", 1), (('šu-kab', 'None'), ""['intermediary']"", 2), (('er₃-re-šum', 'None'), ""['intermediary']"", 8), (('nu-ur₂-{d}suen', 'None'), ""['recipient']"", 145), (('en-um-i₃-li₂', 'None'), ""['intermediary']"", 16)]"
320511,"[(('u₂-ta₂-mi-ša-ra-am', 'None'), ""['representative']"", 3), (('u₂-ta₂-mi-ša-ra-am', 'None'), ""['representative']"", 4), (('ur-{d}šul-pa-e₃', 'muhaldim[cook]'), ""['representative']"", 11), (('be-li₂-i₃-li₂', 'None'), ""['representative']"", 58), (('šu-i₃-li₂', 'sukkal[secretary]'), ""['new owner']"", 1), (('dingir-dan', 'sukkal[secretary]'), ""['representative']"", 42), (('dingir-dan', 'sukkal[secretary]'), ""['representative']"", 43), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 226), (('ARAD₂-mu', 'None'), ""['representative']"", 702), (('na-ra-am-e₂-a', 'None'), ""['new owner']"", 2), (('{d}en-lil₂-zi-ša₃-gal₂', 'None'), ""['representative']"", 77), (('{d}en-lil₂-zi-ša₃-gal₂', 'None'), ""['representative']"", 78), (('ur-{d}šul-pa-e₃', 'None'), ""['representative']"", 32), (('a-a-kal-la', 'None'), ""['representative']"", 137), (('wa-ta₂-ru-um', 'None'), ""['new owner']"", 16), (('hu-ba-nu-du-uk', 'None'), ""['new owner']"", 1), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 225), (('ur-{d}ba-ba₆', 'muhaldim[cook]'), ""['representative']"", 44), (('ur-{d}ba-ba₆', 'muhaldim[cook]'), ""['representative']"", 45), (('tu-ra-am-{d}da-gan', 'None'), ""['representative']"", 78), (('wa-ta₂-ru-um', 'FN'), ""['new owner']"", 19), (('u₂-ta₂-mi-šar-[ra]-am', 'None'), ""['representative']"", 1)]"
134689,"[(('suhuš-ki-in', 'dubsar[scribe]'), ""['intermediary']"", 0), (('ARAD₂-[mu', 'None'), ""['representative']"", 2), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 44), (('zu-ba-ga', 'PN'), ""['source']"", 17), (('a-bi₂-si₂-im-ti', 'None'), ""['intermediary']"", 15)]"
124964,"[(('ku-un-da-a', 'None'), ""['intermediary']"", 1), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 1410), (('er₃-re-šum', 'None'), ""['intermediary']"", 4), (('šu-da-da', 'None'), ""['intermediary']"", 7), (('šu-er₃-ra', 'None'), ""['recipient']"", 44), (('a-da-lal₃', 'None'), ""['intermediary']"", 16)]"
101348,"[(('a-hi-ma', 'None'), ""['source']"", 0), (('nin-ga₂', 'None'), ""['intermediary']"", 0), (('nin-ga₂', 'None'), ""['intermediary']"", 1), (('ur-x', 'None'), ""['representative']"", 0), (('a₂-bi₂-la-tum', 'None'), ""['intermediary']"", 2), (('ur-{d}dumu-zi-da', 'None'), ""['intermediary']"", 1)]"
115537,"[(('ur-mes', 'None'), ""['source']"", 85), (('lugal-KU', 'None'), ""['source']"", 0), (('ur-{d}nin-da', 'None'), ""['source']"", 0), (('dingir-ra-bi₂', 'None'), ""['source']"", 1), (('lu₂-dingir-ra', 'None'), ""['source']"", 270), (('ur-{d}ig-alim', 'None'), ""['source']"", 9), (('ur-{d}ba-ba₆', 'None'), ""['source']"", 80), (('ur-{d}ba-ba₆', 'unud[cowherd]'), ""['source']"", 0), (('a-tu', 'None'), ""['source']"", 1), (('a-tu', 'None'), ""['source']"", 2), (('{d}nanna-i₃-sa₆', 'None'), ""['source']"", 1), (('a-ab-ba', 'None'), ""['source']"", 0), (('šeš-kal-la', 'None'), ""['source']"", 9)]"
130031,"[(('{d}nanna-igi-du', 'šagia[cup-bearer]'), ""['representative']"", 9), (('ur-{d}šul-pa-e₃', 'muhaldim[cook]'), ""['representative']"", 5), (('na-ra-am-{d}iškur', 'sukkal[secretary]'), ""['intermediary']"", 3), (('ba-za-za', 'sukkal[secretary]'), ""['intermediary']"", 5), (('ARAD₂-mu', 'None'), ""['representative']"", 502), (('a-na-ti', 'sukkal[secretary]'), ""['representative']"", 5), (('lu₂-kar-zi-da', 'dubsar[scribe]'), ""['intermediary']"", 0), (('tu-ra-am-{d}da-gan', 'None'), ""['representative']"", 58), (('na-lu₅', 'PN'), ""['source']"", 31)]"
115610,"[(('ARAD₂-mu', 'None'), ""['representative']"", 227), (('ARAD₂-mu', 'None'), ""['representative']"", 228), (('ARAD₂-mu', 'None'), ""['representative']"", 229), (('ARAD₂-mu', 'None'), ""['representative']"", 230), (('[ARAD₂-mu]', 'None'), ""['representative']"", 0)]"
127764,"[(('ur-mes', 'None'), ""['source', 'recipient', 'intermediary']"", 142), (('ur-mes', 'None'), ""['source', 'recipient', 'intermediary']"", 143), (('ur-mes', 'None'), ""['source', 'recipient', 'intermediary']"", 144), (('ARAD₂', 'None'), ""['source']"", 5), (('lugal-ezem', 'None'), ""['intermediary']"", 14), (('hu-nu-nu-ur', 'None'), ""['intermediary']"", 5)]"
144172,"[(('ur-ku₃-nun-na', 'None'), ""['recipient']"", 435), (('{d}nanna-ku₃-zu', 'None'), ""['intermediary']"", 7), (('ur-{d}suen', 'lu[person]'), ""['intermediary']"", 1), (('ka₅-a-mu', 'None'), ""['intermediary']"", 29), (('in-ta-e₃-a', 'None'), ""['source']"", 968), (('{d}šul-gi-ra', 'None'), ""['new owner']"", 11)]"
128924,"[(('hu-zi-ri', 'sukkal[secretary]'), ""['intermediary']"", 7), (('ARAD₂-mu', 'None'), ""['representative']"", 478), (('zu-ba-ga', 'PN'), ""['source']"", 14), (('ad-da-kal-la', 'dubsar[scribe]'), ""['intermediary']"", 20), (('nu-ur₂-{d}suen', 'šagia[cup-bearer]'), ""['representative']"", 4)]"
113795,"[(('u₂-la-i-li₂-iš', 'None'), ""['representative']"", 0), (('dingir-dan', 'sukkal[secretary]'), ""['representative']"", 14), (('ARAD₂-mu', 'None'), ""['representative']"", 211), (('{d}en-lil₂-zi-ša₃-gal₂', 'None'), ""['representative']"", 19), (('en-dingir-mu', 'None'), ""['source']"", 90), (('ur-{d}ba-ba₆', 'muhaldim[cook]'), ""['representative']"", 15), (('šu-{d}šul-gi', 'sukkal[secretary]'), ""['intermediary']"", 5)]"
303669,"[(('{d}nanše-GIR₂@g-gal', 'None'), ""['representative']"", 158), (('šeš-da-da', 'FN'), ""['new owner']"", 74), (('na-sa₆', 'None'), ""['source']"", 490), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 225), (('e₂-a-i₃-li₂', 'None'), ""['new owner']"", 59)]"
102346,"[(('ha-ab-ru-še-er', 'None'), ""['new owner']"", 0), (('ku-u₃', 'None'), ""['new owner']"", 0), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 4), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 5), (('{d}nanna-GIR₂@g-gal', 'None'), ""['representative']"", 0)]"
131090,"[(('ur-mes', 'None'), ""['source']"", 151), (('ab-ba-sa₆-ga', 'None'), ""['recipient']"", 1899), (('ab-ba', 'None'), ""['source']"", 2), (('lugal-dumu-gi₇', 'None'), ""['source']"", 2), (('lu₂-{d}inanna', 'None'), ""['source']"", 11), (('a₂-bi₂-li₂-a', 'None'), ""['source']"", 98), (('i-bi₂', 'None'), ""['source']"", 4), (('ab-ba-a', 'None'), ""['source']"", 4), (('lu₂-me-lam₂', 'None'), ""['source']"", 5), (('ur-{d}lamma', 'None'), ""['source']"", 14), (('ur-{d}lamma', 'None'), ""['source']"", 15), (('en-um-i₃-li₂', 'None'), ""['source']"", 13)]"
105221,"[(('ur-{d}nanše', 'None'), ""['intermediary']"", 7), (('u₄-de₃-nig₂-sa₆-ga', 'None'), ""['recipient', 'intermediary']"", 2), (('u₄-de₃-nig₂-sa₆-ga', 'None'), ""['recipient', 'intermediary']"", 3), (('ka₅-a-mu', 'None'), ""['recipient']"", 9), (('ur-{d}suen', 'None'), ""['intermediary']"", 7), (('nu-ur₂-{d}iškur', 'None'), ""['intermediary']"", 9)]"
126454,"[(('la-la-mu', 'sukkal[secretary]'), ""['intermediary']"", 7), (('ur-{d}en-lil₂-la₂', 'dubsar[scribe]'), ""['intermediary']"", 7), (('ARAD₂-mu', 'None'), ""['representative']"", 433), (('{d}en-lil₂-zi-ša₃-gal₂', 'None'), ""['representative']"", 39), (('na-lu₅', 'None'), ""['source']"", 629)]"
114065,"[(('ur-mes', 'None'), ""['intermediary']"", 82), (('šu-{d}nin-šubur', 'None'), ""['intermediary']"", 3), (('šu-{d}nin-šubur', 'None'), ""['intermediary']"", 4), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 897), (('ur-{d}en-lil₂-la₂', 'None'), ""['intermediary']"", 11), (('er₃-re-šum', 'None'), ""['intermediary']"", 2), (('gu-da-a', 'None'), ""['intermediary']"", 0), (('šu-er₃-ra', 'None'), ""['recipient']"", 21), (('an-dingir-su', 'None'), ""['intermediary']"", 0)]"
101761,"[(('a-ba-{d}en-lil₂-gin₇', 'None'), ""['source']"", 3), (('lu₂-{d}nin-šubur', 'dubsar[scribe]'), ""['intermediary']"", 3), (('ARAD₂-mu', 'None'), ""['representative']"", 15), (('{d}suen-a-bu-šu', 'šagia[cup-bearer]'), ""['representative']"", 4), (('a-mur-dingir', 'ragaba[rider]'), ""['representative']"", 0), (('a-mur-dingir', 'ragaba[rider]'), ""['representative']"", 1)]"
117285,"[(('lu₂-{d}utu', 'None'), ""['source']"", 12), (('ur-nigar{gar}', 'None'), ""['source']"", 293), (('i-di₃-{d}suen', 'None'), ""['source']"", 3), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 1027), (('ur-{d}nanše', 'None'), ""['intermediary']"", 15), (('a-ab-ba-mu', 'None'), ""['intermediary']"", 0), (('lugal-he₂-gal₂', 'None'), ""['source']"", 0), (('na-sa₆', 'None'), ""['source']"", 154), (('na-sa₆', 'None'), ""['source']"", 155), (('ur-{d}ba-ba₆', 'None'), ""['source']"", 85), (('ur-{d}ba-ba₆', 'None'), ""['source']"", 86), (('ur-{d}ba-ba₆', 'None'), ""['source']"", 87), (('en-ur₂-ku₃-ge', 'None'), ""['source']"", 3), (('ur-{d}lamma', 'None'), ""['intermediary']"", 5)]"
423350,"[(('ur-{d}lamma', 'šagia[cup-bearer]'), ""['representative']"", 3), (('ad-da-kal-la', 'dubsar[scribe]'), ""['intermediary']"", 28), (('{d}nin-lil₂-ama-mu', 'sukkal[secretary]'), ""['representative']"", 3), (('du-u₂-du', 'PN'), ""['source']"", 4), (('a-hu-ni', 'šagia[cup-bearer]'), ""['representative']"", 26)]"
332347,"[(('lugal-a₂-zi-da', 'None'), ""['new owner']"", 8), (('ur-tilla₃', 'None'), ""['new owner']"", 1), (('ARAD₂#-mu#', 'None'), ""['representative']"", 3), (('na-sa₂', 'None'), ""['new owner']"", 0), (('na-sa₂', 'None'), ""['new owner']"", 1)]"
101403,"[(('nu-ur₂-{d}suen', 'dubsar[scribe]'), ""['intermediary']"", 5), (('ur-ku₃-nun-na', 'None'), ""['source']"", 14), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 1), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 2), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 3), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 4), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 5), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 6), (('lugal-ma₂-gur₈-re', 'None'), ""['representative']"", 7), (('ARAD₂-mu', 'None'), ""['representative']"", 12), (('ARAD₂-mu', 'None'), ""['representative']"", 13), (('{d}suen-a-bu-šu', 'šagia[cup-bearer]'), ""['representative']"", 0), (('a-bi₂-si₂-im-ti', 'None'), ""['intermediary']"", 0)]"
111899,"[(('{d}šu-{d}suen-dingir', 'šuʾi[barber]'), ""['representative']"", 1), (('ARAD₂-mu', 'None'), ""['representative']"", 191), (('ARAD₂-mu', 'None'), ""['representative']"", 192), (('{d}nanna-ma-ba', 'šatam[official]'), ""['intermediary']"", 4), (('{d}šul-gi-i₃-li₂', 'PN'), ""['source']"", 5)]"
101417,"[(('lu₂-{d}utu', 'None'), ""['recipient']"", 0), (('lu₂-{d}utu', 'None'), ""['recipient']"", 1), (('lu₂-{d}utu', 'None'), ""['recipient']"", 2), (('ur-šu-ga-lam-ma', 'None'), ""['source']"", 0), (('ur-šu-ga-lam-ma', 'None'), ""['source']"", 1)]"
124815,"[(('ur-{d}en-lil₂-la₂', 'None'), ""['new owner']"", 24), (('ad-da-kal-la', 'None'), ""['new owner']"", 8), (('ur-nigar{gar}', 'kaguruk[supervisor]'), ""['new owner']"", 11), (('nir-i₃-da-gal₂', 'None'), ""['new owner']"", 10), (('na-ra-am-i₃-li₂', 'None'), ""['new owner']"", 84), (('šeš-da-da', 'FN'), ""['new owner']"", 51), (('šeš-da-da', 'FN'), ""['new owner']"", 52), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 122), (('ur-{d}suen', 'None'), ""['new owner']"", 25), (('lu₂-sa₆-ga', 'šabra[administrator]'), ""['new owner']"", 0), (('na-sa₆', 'PN'), ""['source']"", 118), (('e₂-a-i₃-li₂', 'None'), ""['new owner']"", 43)]"
145529,"[(('ab-ba-sa₆-ga', 'None'), ""['source']"", 2294), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 2295), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 2296), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 2297), (('a-hu-we-er', 'None'), ""['source']"", 272), (('a-hu-we-er', 'None'), ""['source']"", 273), (('a-hu-we-er', 'None'), ""['source']"", 274), (('igi-{d}en-lil₂-še₃', 'None'), ""['source']"", 45), (('in-ta-e₃-a', 'None'), ""['source']"", 994), (('ur-šu-ga-lam-ma', 'None'), ""['source']"", 71), (('šu-ma-ma', 'None'), ""['source']"", 101), (('šu-ma-ma', 'None'), ""['source']"", 102)]"
330480,"[(('na#-sa₆', 'PN'), ""['source']"", 1), (('{d}nanše-GIR₂@g-gal', 'None'), ""['representative']"", 170), (('da-a-a-ni', 'None'), ""['representative']"", 23), (('nir-i₃-da-gal₂', 'None'), ""['new owner']"", 24), (('šeš-da-da', 'FN'), ""['new owner']"", 84)]"
108666,"[(('ARAD₂-mu', 'None'), ""['representative']"", 165), (('ARAD₂-mu', 'None'), ""['representative']"", 166), (('ARAD₂-mu', 'None'), ""['representative']"", 167), (('ARAD₂-mu', 'None'), ""['representative']"", 168), (('ARAD₂-mu', 'None'), ""['representative']"", 169), (('ARAD₂-mu', 'None'), ""['representative']"", 170), (('ARAD₂-mu', 'None'), ""['representative']"", 171), (('ARAD₂-mu', 'None'), ""['representative']"", 172), (('ARAD₂-mu', 'None'), ""['representative']"", 173), (('ARAD₂-mu', 'None'), ""['representative']"", 174), (('ARAD₂-mu', 'None'), ""['representative']"", 175)]"
218200,"[(('ni-tam-ma', 'None'), ""['intermediary']"", 5), (('in-da-a', 'None'), ""['source']"", 2), (('ur-nig₂', 'None'), ""['intermediary']"", 39), (('a-ha-an-ni-šu', 'None'), ""['source']"", 5), (('ur-{d}ba-ba₆', 'None'), ""['intermediary']"", 222)]"
303755,"[(('ur-{d}en-lil₂-la₂', 'None'), ""['intermediary']"", 51), (('a-ba-{d}en-lil₂-gin₇', 'None'), ""['intermediary']"", 67), (('{d}šul-gi-{d}nanše-ki-ag₂', 'šagia[cup-bearer]'), ""['representative']"", 2), (('ur-{d}en-lil₂-la₂', 'šarrabdu[administrator]'), ""['intermediary']"", 3), (('{d}šul-gi-i₃-li₂', 'PN'), ""['source']"", 11)]"
117537,"[(('ur-{d}iškur', 'None'), ""['source']"", 9), (('ad-da-kal-la', 'None'), ""['source']"", 3), (('lu₂-sa₆-ga', 'None'), ""['source']"", 32), (('sa₃-si₂', 'None'), ""['intermediary']"", 30), (('lu₂-ša-lim', 'None'), ""['source']"", 9), (('ab-ba-a', 'None'), ""['source']"", 1), (('šu-da-da', 'None'), ""['source']"", 5)]"
106188,"[(('šu-{d}nin-šubur', 'ragaba[rider]'), ""['representative']"", 1), (('ad-da-sa₆-ga', 'agaʾus[soldier]'), ""['intermediary']"", 2), (('ARAD₂-mu', 'None'), ""['representative']"", 110), (('zu-ba-ga', 'PN'), ""['source']"", 3), (('ad-da-kal-la', 'dubsar[scribe]'), ""['intermediary']"", 5), (('a-hu-ni', 'šagia[cup-bearer]'), ""['representative']"", 4)]"
144234,"[(('lu₂-ša-lim', 'None'), ""['intermediary']"", 26), (('dingir-dan', 'None'), ""['intermediary']"", 6), (('dingir-dan', 'None'), ""['intermediary']"", 7), (('al-la-mu', 'None'), ""['intermediary']"", 20), (('al-la-mu', 'None'), ""['intermediary']"", 21)]"
143925,"[(('ur-mes', 'None'), ""['source']"", 178), (('giri₃-ni-i₃-sa₆', 'None'), ""['source']"", 7), (('ur-{d}en-lil₂-la₂', 'None'), ""['source']"", 47), (('{d}en-lil₂-la₂', 'None'), ""['recipient']"", 165), (('gu-za-ni', 'None'), ""['source']"", 3), (('ur-[...]', 'None'), ""['intermediary']"", 11), (('na-we-er-dingir', 'None'), ""['source']"", 11)]"
126272,"[(('li-ik-du-ni', 'None'), ""['intermediary']"", 0), (('li-ik-du-ni', 'None'), ""['intermediary']"", 1), (('li-ik-du-ni', 'None'), ""['intermediary']"", 2), (('li-ik-du-ni', 'None'), ""['intermediary']"", 3), (('li-ik-du-ni', 'None'), ""['intermediary']"", 4), (('ur-{d}iškur', 'unud[cowherd]'), ""['recipient']"", 1), (('lu₂-{d}inanna', 'None'), ""['recipient']"", 7), (('šu-{d}nisaba', 'None'), ""['recipient']"", 4), (('ur-{d}šul-pa-e₃', 'None'), ""['intermediary']"", 16), (('ur-{d}šul-pa-e₃', 'None'), ""['intermediary']"", 17), (('ur-{d}šul-pa-e₃', 'None'), ""['intermediary']"", 18), (('ur-{d}šul-pa-e₃', 'None'), ""['intermediary']"", 19), (('ur-{d}ba-ba₆', 'unud[cowherd]'), ""['recipient']"", 1), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 4), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 5), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 6), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 7), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 8), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 9), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 10), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 11), (('lu₂-uru₁₁{ki}', 'None'), ""['intermediary']"", 12), (('ur-{d}en-ki', 'None'), ""['intermediary']"", 0), (('ur-{d}en-ki', 'None'), ""['intermediary']"", 1), (('kal-la', 'None'), ""['recipient']"", 3), (('lu₂-giri₁₇-zal', 'nagada[herdsman]'), ""['recipient']"", 0), (('lu₂-me-lam₂', 'None'), ""['recipient']"", 4), (('šu-{d}da-gan', 'None'), ""['recipient']"", 2), (('lu₅-zi', 'None'), ""['recipient']"", 1), (('šeš-kal-la', 'None'), ""['recipient']"", 21)]"
125963,"[(('dingir-ra-bi₂', 'None'), ""['source']"", 3), (('ur-{d}ba-ba₆', 'None'), ""['source']"", 144), (('ur-{d}nun-gal', 'None'), ""['source']"", 1), (('šu-e₂-a', 'kuš[official]'), ""['intermediary']"", 4), (('a-tu', 'None'), ""['source']"", 3)]"
390783,"[(('ur-mes', 'None'), ""['intermediary']"", 206), (('ur-mes', 'None'), ""['intermediary']"", 207), (('za-ab-ra-am', 'None'), ""['source']"", 1), (('lugal-ezem', 'None'), ""['source']"", 42), (('a-ba-{d}en-lil₂-gin₇', 'None'), ""['source']"", 70), (('ur-{d}ba-ba₆', 'None'), ""['intermediary']"", 234), (('ur-{d}ba-ba₆', 'None'), ""['intermediary']"", 235), (('sa₃-si₂', 'None'), ""['source']"", 76), (('sa₃-si₂', 'None'), ""['source']"", 77), (('lu₂-{d}nanna', 'None'), ""['representative']"", 27), (('dingir-dan', 'None'), ""['source']"", 9), (('{d}nanna-ma-ba', 'None'), ""['source']"", 74)]"
131577,"[(('lu₂-{d}utu', 'None'), ""['source']"", 27), (('ab-ba-sa₆-ga', 'None'), ""['intermediary']"", 1909), (('{d}en-lil₂-la₂', 'None'), ""['recipient']"", 134), (('na-sa₆', 'None'), ""['source']"", 385), (('ur-{d}suen', 'ensik[ruler]'), ""['new owner']"", 1), (('a₂-na-na', 'None'), ""['source']"", 15), (('šeš-zi-mu', 'None'), ""['source']"", 7)]"
116194,"[(('zu-ba-ga', 'None'), ""['recipient']"", 31), (('igi-{d}en-lil₂-še₃', 'None'), ""['recipient']"", 20), (('igi-{d}en-lil₂-še₃', 'None'), ""['recipient']"", 21), (('na-lu₅', 'None'), ""['recipient']"", 408), (('na-ba-sa₆', 'None'), ""['recipient']"", 0), (('a-ha-ni-šu', 'None'), ""['recipient']"", 9)]"
145844,"[(('ur-ku₃-nun-na', 'None'), ""['source']"", 457), (('ARAD₂-mu', 'None'), ""['representative']"", 629), (('{d}nanna-ma-ba', 'None'), ""['intermediary']"", 57), (('šeš-kal-la', 'None'), ""['source']"", 30), (('hu-na-zi', 'nubanda[overseer]'), ""['intermediary']"", 1)]"
104946,"[(('nu-ur₂-i₃-li₂', 'None'), ""['source']"", 3), (('ur-{d}ba-ba₆', 'sipad[shepherd]'), ""['intermediary']"", 0), (('šu-{d}ma-mi-tum', 'None'), ""['recipient']"", 0), (('ur-nig₂', 'None'), ""['source', 'recipient']"", 9), (('ur-nig₂', 'None'), ""['source', 'recipient']"", 10), (('sa₃-si₂', 'None'), ""['intermediary']"", 17), (('sa₃-si₂', 'None'), ""['intermediary']"", 18), (('šu-ma-ma', 'None'), ""['source']"", 22), (('al-la-mu', 'None'), ""['recipient']"", 4), (('be-li₂-ba-ni', 'None'), ""['source']"", 3)]"
129464,"[(('ur-nigar{gar}', 'None'), ""['source']"", 498), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 360), (('nam-zi-tar-ra', 'None'), ""['source']"", 5), (('{d}en-lil₂-la₂', 'None'), ""['recipient']"", 125), (('in-ta-e₃-a', 'None'), ""['source']"", 807), (('ur-{d}ba-ba₆', 'dumu[child]'), ""['intermediary']"", 10), (('lu₂-nin-ga₂', 'None'), ""['source']"", 1), (('al-la-mu', 'None'), ""['source']"", 12), (('a-da-lal₃', 'None'), ""['intermediary']"", 18)]"
131590,"[(('u₂-la-i₃-li₂-iš', 'None'), ""['representative']"", 6), (('ur-{d}ba-ba₆', 'dubsar[scribe]'), ""['intermediary']"", 7), (('ARAD₂-mu', 'None'), ""['representative']"", 517), (('{d}nanna-kam', 'sukkal[secretary]'), ""['intermediary']"", 23), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 164), (('a-a-kal-la', 'muhaldim[cook]'), ""['representative']"", 8)]"
142961,"[(('ARAD₂-mu', 'None'), ""['representative']"", 593), (('ha-ni', 'sukkal[secretary]'), ""['intermediary']"", 9), (('{d}en-lil₂-zi-ša₃-gal₂', 'None'), ""['representative']"", 67), (('en-dingir-mu', 'None'), ""['source']"", 206), (('šu-{d}šul-gi', 'sukkal[secretary]'), ""['intermediary']"", 14)]"
412630,"[(('lugal-ša₃-la₂', 'None'), ""['recipient']"", 11), (('lu₂-sa₆-ga', 'sukkal[secretary]'), ""['intermediary']"", 1), (('{d}en-lil₂-la₂', 'None'), ""['source']"", 183), (('ARAD₂-mu', 'None'), ""['representative']"", 736), (('a-hu-ni', 'sukkal[secretary]'), ""['representative']"", 3)]"
108667,"[(('dingir-sukkal', 'lu[person]'), ""['intermediary']"", 0), (('dingir-sukkal', 'lu[person]'), ""['intermediary']"", 1), (('{d}šul-gi-i₃-li₂', 'None'), ""['recipient']"", 38), (('{d}šul-gi-i₃-li₂', 'None'), ""['recipient']"", 39), (('a-ba-{d}en-lil₂-gin₇', 'None'), ""['recipient']"", 25), (('lu₂#-{d}ba-ba₆', 'None'), ""['recipient']"", 0), (('[ur]-ku₃-nun-na', 'None'), ""['recipient']"", 0), (('nu-ur₂-{d}iškur', 'None'), ""['recipient']"", 15), (('nu-ur₂-{d}iškur', 'None'), ""['recipient']"", 16)]"
131097,"[(('eš₁₈-dar-il-šu', 'None'), ""['new owner']"", 2), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 1903), (('nir-i₃-da-gal₂', 'None'), ""['new owner']"", 16), (('{d}šul-gi-i₃-li₂', 'None'), ""['new owner']"", 89), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 170), (('ARAD₂-mu', 'None'), ""['representative']"", 514), (('na-ra-am-e₂-a', 'None'), ""['new owner']"", 1), (('ku₃-{d}nin-gal', 'None'), ""['new owner']"", 2)]"
