p_index,people_involved
142099,"[(('ur-tir-ku₃-ga', 'None'), ""['source']"", 0), (('ur-tir-ku₃-ga', 'None'), ""['source']"", 1), (('er₃-ra-ba-ni', 'None'), ""['recipient']"", 13), (('er₃-ra-ba-ni', 'None'), ""['recipient']"", 14), (('er₃-ra-ba-ni', 'None'), ""['recipient']"", 15)]"
106439,"[(('id-da-a', 'None'), ""['new owner']"", 2), (('šeš-da-da', 'FN'), ""['new owner']"", 4), (('ur-tilla₃', 'None'), ""['new owner']"", 0), (('ur-mu', 'None'), ""['new owner']"", 1), (('na-sa₆', 'PN'), ""['source']"", 36)]"
125585,"[(('ur-{d}en-lil₂-la₂', 'None'), ""['new owner']"", 28), (('ARAD₂-mu', 'None'), ""['representative']"", 370), (('iq-bi₂-dingir', 'None'), ""['new owner']"", 0), (('er₃-ra-ur-sag', 'None'), ""['new owner']"", 1), (('a-mur-e₂-a', 'None'), ""['new owner']"", 4), (('da-da-a', 'None'), ""['new owner']"", 1), (('hu-un-ha-ab-ur', 'None'), ""['new owner']"", 1)]"
126617,"[(('a-da-tum', 'None'), ""['new owner']"", 1), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 158), (('a-a-kal-la', 'None'), ""['representative']"", 99), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 153), (('nu-ur₂-{d}iškur', 'ragaba[rider]'), ""['representative']"", 2)]"
117649,"[(('in-ta-e₃-a', 'None'), ""['source']"", 404), (('in-ta-e₃-a', 'None'), ""['source']"", 405), (('ur-eš₃-lil₂-la₂', 'None'), ""['recipient']"", 5), (('ur-eš₃-lil₂-la₂', 'None'), ""['recipient']"", 6), (('ur-eš₃-lil₂-la₂', 'None'), ""['recipient']"", 7)]"
129513,"[(('lu₂-{d}utu', 'None'), ""['source']"", 24), (('lu₂-{d}utu', 'None'), ""['source']"", 25), (('er₃-ra-na-da', 'None'), ""['intermediary']"", 18), (('ur-ku₃-nun-na', 'None'), ""['recipient']"", 365), (('in-ta-e₃-[a]', 'None'), ""['recipient']"", 8), (('ur-{d}suen', 'lu[person]'), ""['intermediary']"", 0), (('ba-ba-ti', 'None'), ""['intermediary']"", 13), (('ur-{d}šul-pa-e₃', 'lu[person]'), ""['intermediary']"", 0), (('lu₂-{d}nin-gir₂-su', 'None'), ""['intermediary']"", 6)]"
332359,"[(('lu₂-du₁₀-ga', 'None'), ""['new owner']"", 6), (('{d}nanše-GIR₂@g-gal', 'None'), ""['representative']"", 169), (('{d}šul-gi-kalam-ma-me-te-bi', 'None'), ""['representative']"", 7), (('lu₂-{d}nin-šubur', 'None'), ""['new owner']"", 20), (('lu₂-{d}nanna', 'šabra[administrator]'), ""['new owner']"", 15), (('nir-i₃-da-gal₂', 'None'), ""['new owner']"", 23), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 238), (('ur-{d}suen', 'None'), ""['new owner']"", 39), (('za-ri₂-iq', 'None'), ""['new owner']"", 11), (('na-sa₆', 'PN'), ""['source']"", 181), (('lugal-ma₂-gur₈-re', 'sukkal[secretary]'), ""['new owner']"", 11)]"
116157,"[(('ur-{d}ha-ia₃', 'sukkal[secretary]'), ""['intermediary']"", 0), (('ad-da-sa₆-ga', 'agaʾus[soldier]'), ""['intermediary']"", 3), (('[ARAD₂]-mu', 'None'), ""['representative']"", 4), (('{d}šul-gi-iri-mu', 'None'), ""['intermediary']"", 305), (('šu-{d}šul-gi', 'sukkal[secretary]'), ""['intermediary']"", 6)]"
129515,"[(('ur-nigar{gar}', 'None'), ""['intermediary']"", 499), (('ur-{d}en-lil₂-la₂', 'None'), ""['source']"", 37), (('ur-{d}en-lil₂-la₂', 'None'), ""['source']"", 38), (('i₃-e₃', 'None'), ""['source']"", 1), (('ur-{d}ba-ba₆', 'None'), ""['intermediary']"", 167), (('ur-{d}ba-ba₆', 'dumu[child]'), ""['intermediary']"", 11), (('{d}šara₂-kam', 'None'), ""['source']"", 27), (('ur-{d}šul-pa-e₃', 'None'), ""['intermediary']"", 22), (('šu-ku-bu-um', 'None'), ""['source']"", 3), (('a-tu', 'None'), ""['source']"", 5), (('na-lu₅', 'None'), ""['source']"", 693), (('ur-{d}li₉-si₄', 'None'), ""['intermediary']"", 3), (('a-hu-du₁₀', 'None'), ""['source']"", 1), (('a-hu-du₁₀', 'None'), ""['source']"", 2)]"
117184,"[(('ur-ku₃-nun-na', 'None'), ""['recipient']"", 200), (('ur-{d}da-mu', 'None'), ""['source']"", 3), (('a-hu-wa-qar', 'None'), ""['source']"", 3), (('a-bu-du₁₀', 'None'), ""['source']"", 1), (('šu-da-da', 'None'), ""['source']"", 2), (('a-da-lal₃', 'None'), ""['source']"", 11), (('i-din-er₃-ra', 'None'), ""['source']"", 3), (('ba-a-a', 'None'), ""['source']"", 1)]"
