,Name,id_word,role,profession,CDLI No
0,{d}šul-gi-a-a-mu-ta[]PN,P405489.12.2,source,,P405489
1,{d}šul-gi-iri-mu[]PN,P405489.13.1,recipient,,P405489
2,{d}utu-ba-ni[]PN,P332036.11.1,,,P332036
3,dingir-ki-ma-at[]PN,P332036.19.3,,,P332036
4,di-ku₅-i₃-li₂[]PN,P332036.19.6,,,P332036
5,la-gi-ip[]PN,P332036.23.3,,,P332036
6,a₂-bi₂-lum[]PN,P332036.24.3,,,P332036
7,dam-ku-um[]PN,P332036.25.3,,,P332036
8,šu-ma-ma[]PN,P332036.26.3,,nubanda[overseer]N,P332036
9,a-hu-we-er[]PN,P332036.47.1,recipient,,P332036
10,du-u₂-du[]PN,P332036.53.1,recipient,,P332036
11,na-lu₅[]PN,P332036.58.1,recipient,,P332036
12,ur-{d}ku₃-nun-na[]PN,P332036.64.1,recipient,,P332036
13,be-li₂-a-zu[]PN,P332036.68.1,recipient,,P332036
14,in-ta-e₃-a[]PN,P332036.70.1,,,P332036
15,ur-{d}tilla₃[]PN,P320496.16.2,new owner,saŋŋa[official]N,P320496
16,maš-tur[]PN,P320496.17.1,,šagia[cup-bearer]N,P320496
17,na-ap-la-nu-um[]PN,P320496.23.4,,,P320496
18,ur-{d}nin-gal[]PN,P320496.24.2,new owner,,P320496
19,en-ša₃-ku₃-ge[]PN,P320496.29.2,new owner,en[priest]N,P320496
20,ARAD₂-mu[]PN,P320496.30.1,representative,,P320496
21,bu-u₂-du[]PN,P320496.34.2,new owner,,P320496
22,maš-tur[]PN,P320496.35.1,,šagia[cup-bearer]N,P320496
23,ur-{d}tilla₃[]PN,P320496.40.2,new owner,saŋŋa[official]N,P320496
24,maš-tur[]PN,P320496.41.1,,šagia[cup-bearer]N,P320496
25,a-a-kal-la[]PN,P124307.7.1,recipient,,P124307
26,zu-ba-ga-ta[]PN,P124307.9.2,source,,P124307
27,ARAD₂-{d}nanna[]PN,P124307.20.1,,,P124307
28,a-a-kal-la[]PN,P124307.21.2,,,P124307
29,ab-ba-sa₆-ga-ta[]PN,P128809.7.2,source,,P128809
30,na-lu₅[]PN,P128809.9.1,recipient,,P128809
31,{d}amar-{d}suen[]PN,P128809.13.2,,lugal[king]N,P128809
32,ab-ba-sa₆-ga-ta[]PN,P128769.5.2,source,,P128769
33,{d}šul-gi-a-a-mu[]PN,P128769.6.1,recipient,,P128769
34,{d}amar-{d}suen[]PN,P128769.11.2,,lugal[king]N,P128769
35,{d}lugal-gu₄-si-su[]PN,P125988.18.4,,,P125988
36,{d}en-ki[]PN,P125988.19.4,,,P125988
37,{d}nin-ti₂-ug₅-ga[]PN,P125988.20.4,,,P125988
38,ku-un-ši-ma-tum[]PN,P125988.23.1,,,P125988
39,zu-ba-ga-ta[]PN,P125988.29.2,source,,P125988
40,ad-da-kal-la[]PN,P125988.30.2,intermediary,dubsar[scribe]N,P125988
41,ad-da-kal-la[]PN,P125988.36.1,,dubsar[scribe]N,P125988
42,ab-ba-sa₆-ga-ta[]PN,P105908.5.2,source,,P105908
43,a-hu-ni[]PN,P105908.6.1,recipient,,P105908
44,{d}en-lil₂-la₂[]PN,P381729.5.3,,,P381729
45,{d}nanše-GIR₂@g-gal[]PN,P381729.11.1,representative,,P381729
46,na-lu₅[]PN,P381729.13.3,,,P381729
47,na-lu₅-ta[]PN,P234930.21.2,source,,P234930
48,{d}en-lil₂-la₂[]PN,P234930.25.3,,,P234930
49,dingir-{d}šara₂[]PN,P144583.6.2,intermediary,,P144583
50,a-a-dingir-ta[]PN,P144583.7.2,source,,P144583
51,ur-mes[]PN,P144583.9.1,recipient,,P144583
52,ur-mes[]PN,P144583.14.1,,,P144583
53,la-na[]PN,P144583.15.2,,kurušda[fattener]N,P144583
54,na-ra-am-i₃-li₂-ta[]PN,P106214.10.2,source,,P106214
55,{d}utu-GIR₂@g-gal[]PN,P106214.11.1,recipient,,P106214
56,ba-na-ha[]PN,P107420.4.2,intermediary,,P107420
57,a-bi₂-e₂[]PN,P107420.5.4,intermediary,,P107420
58,a-hu-ni[]PN,P107420.7.2,,kuš[official]N,P107420
59,i-ri-ib[]PN,P107420.8.4,intermediary,,P107420
60,e-la-ak-nu-id[]PN,P107420.13.4,intermediary,,P107420
61,ba-na-ha[]PN,P107420.18.2,intermediary,,P107420
62,a-hu-ni[]PN,P107420.21.2,,kuš[official]N,P107420
63,e-la-ak-nu-id[]PN,P107420.23.5,intermediary,ugula[overseer]N,P107420
64,ba-na-ha[]PN,P107420.28.2,intermediary,,P107420
65,a-bi₂-e₂[]PN,P107420.29.5,intermediary,,P107420
66,a-hu-ni[]PN,P107420.31.2,,kuš[official]N,P107420
67,ab-ba-sa₆-ga-ta[]PN,P107420.37.2,source,,P107420
68,nu-ur₂-{d}suen[]PN,P107420.38.1,recipient,,P107420
69,ab-ba-sa₆-ga-ta[]PN,P103881.6.2,source,,P103881
70,in-ta-e₃-a[]PN,P103881.7.1,recipient,,P103881
71,ta[]PN,P117087.7.4,,,P117087
72,ur-{d}suen-ta[]PN,P117087.13.2,source,,P117087
73,ur-{d}amar-{d}suen[]PN,P212153.4.3,,,P212153
74,ur-{d}ištaran[]PN,P212153.7.1,,,P212153
75,ab-ba-sa₆-ga[]PN,P212153.13.2,new owner,,P212153
76,nu-ur₂-{d}suen[]PN,P212153.14.2,intermediary,dubsar[scribe]N,P212153
77,zu-ba-ga-ta[]PN,P126352.6.2,source,,P126352
78,{d}šul-gi-iri-mu[]PN,P126352.8.1,recipient,,P126352
79,ur-{d}šu-{d}suen-ta[]PN,P126670.4.2,source,,P126670
80,ur-mes[]PN,P126670.13.1,,,P126670
81,la-na[]PN,P126670.14.2,,kurušda[fattener]N,P126670
82,zu-ba-ga-ta[]PN,P320967.6.2,source,,P320967
83,{d}šul-gi-iri-mu[]PN,P320967.8.1,recipient,,P320967
84,ta₂-hi-iš-a-tal[]PN,P106868.4.1,,,P106868
85,ri-ba-ga-da[]PN,P106868.5.1,representative,,P106868
86,in-ta-e₃-a-ta[]PN,P106868.9.2,source,,P106868
87,nu-ur₂-{d}suen[]PN,P106868.10.2,intermediary,dubsar[scribe]N,P106868
88,ab-ba-sa₆-ga-ta[]PN,P115470.6.2,source,,P115470
89,šu-ma-ma[]PN,P115470.7.1,recipient,,P115470
90,sa₃-si₂[]PN,P103657.6.2,intermediary,,P103657
91,al-la-mu[]PN,P103657.7.2,,,P103657
92,ur-ku₃-nun-na-ta[]PN,P103657.9.2,source,,P103657
93,{d}amar-{d}suen[]PN,P103657.12.2,,,P103657
94,na-lu₅-ta[]PN,P107578.5.2,source,,P107578
95,ur-nigar{gar}[]PN,P107578.6.1,recipient,,P107578
96,ab-ba-sa₆-ga-ta[]PN,P212223.6.2,source,,P212223
97,in-ta-e₃-a[]PN,P212223.8.1,recipient,,P212223
98,a-hu-we-er-ta[]PN,P109699.9.2,source,,P109699
99,{d}šul-gi-iri-mu[]PN,P109699.10.1,recipient,,P109699
100,za-zi[]PN,P211936.9.1,recipient,,P211936
101,{d}en-ki[]PN,P211936.13.3,,,P211936
102,ur-{d}šul-pa-e₃[]PN,P106357.21.1,,dubsar[scribe]N,P106357
103,ur-{d}ha-ia₃[]PN,P106357.23.2,,arad[slave]N,P106357
104,lu₂-{d}nanna[]PN,P123803.4.1,,šabra[administrator]N,P123803
105,i₃-li₂-mah-ri₂[]PN,P123803.6.3,,,P123803
106,dingir-a-hi[]PN,P123803.9.3,,lu[person]N,P123803
107,na-sa₆[]PN,P123803.12.1,new owner,,P123803
108,{d}amar-{d}suen[]PN,P123803.14.2,,lugal[king]N,P123803
109,hu-un-{d}šul-gi[]PN,P142171.4.3,,nubanda[overseer]N,P142171
110,{d}šul-gi-a-a-mu[]PN,P142171.5.3,,,P142171
111,ur-{d}šul-gi-ra[]PN,P142171.6.3,,,P142171
112,lum-ma[]PN,P406788.3.3,,šabra[administrator]N,P406788
113,ur-mes[]PN,P406788.4.3,,ensik[ruler]N,P406788
114,ša₃-ga-na-kum[]PN,P406788.7.1,,,P406788
115,i₃-li₂-dan[]PN,P406788.8.3,,,P406788
116,ama-zi-mu[]PN,P406788.9.3,,,P406788
117,ha-ab-ru-ša[]PN,P406788.10.3,,,P406788
118,a-hu-a[]PN,P406788.11.3,,,P406788
119,nir-i₃-da-gal₂[]PN,P406788.15.1,,,P406788
120,i-ku-nu-um[]PN,P406788.18.1,,,P406788
121,ab-ba-sa₆-ga[]PN,P406788.21.1,new owner,,P406788
122,ab-ba-sa₆-ga-ta[]PN,P128778.6.2,source,,P128778
123,en-dingir-mu[]PN,P128778.8.1,recipient,,P128778
124,ab-ba-sa₆-ga-ta[]PN,P103049.11.2,source,,P103049
125,en-dingir-mu[]PN,P103049.12.1,recipient,,P103049
126,{d}šul-gi-a-a-mu[]PN,P144375.9.1,recipient,,P144375
127,na-ra-am-i₃-li₂[]PN,P134765.7.2,,,P134765
128,{d}šul-gi-iri-mu[]PN,P126420.7.1,representative,,P126420
129,lu₂-dingir-ra-ta[]PN,P126420.10.2,source,,P126420
130,lugal-ma₂-gur₈-re[]PN,P135231.4.1,,,P135231
131,tu-ra-am-{d}da-gan[]PN,P135231.5.1,representative,,P135231
132,be-li₂-i₃-li₂[]PN,P135231.8.1,representative,,P135231
133,ab-ba-sa₆-ga-ta[]PN,P135231.11.2,source,,P135231
134,{d}nu-ur₂-{d}suen[]PN,P135231.12.2,intermediary,dubsar[scribe]N,P135231
135,ur-ku₃-nun-na[]PN,P101772.9.2,,,P101772
136,a₂-bi₂-la-ša-še₃[]PN,P128623.4.3,,,P128623
137,a-bi₂-si₂-im-ti[]PN,P128623.5.1,recipient,,P128623
138,ARAD₂-mu[]PN,P128623.7.1,representative,,P128623
139,ur-{d}nanna-ta[]PN,P128623.10.2,source,,P128623
140,ur-tum-ma-al[]PN,P128623.12.2,intermediary,,P128623
141,na-ra-am-i₃-li₂-ta[]PN,P123546.6.2,source,,P123546
142,nin-ha-ma-ti[]PN,P123546.7.1,,,P123546
143,nin-kal-la[]PN,P123546.9.2,,,P123546
144,hu-li-bar[]PN,P106369.4.1,,ensik[ruler]N,P106369
145,ARAD₂-mu[]PN,P106369.6.1,representative,,P106369
146,lu₂-ur₄-ša₃-ga-ta[]PN,P106369.9.2,source,,P106369
147,hu-la-al[]PN,P106369.11.2,intermediary,dubsar[scribe]N,P106369
148,sagi-bi[]PN,P104590.5.2,,,P104590
149,a-ta₂-kal₂-šum-e[]PN,P104590.6.1,,,P104590
150,{d}en-lil₂-la₂[]PN,P104590.16.2,,,P104590
151,a-da-lal₃[]PN,P104590.22.1,,,P104590
152,ab-ba-sa₆-ga-ta[]PN,P210370.5.2,source,,P210370
153,u₂-ta₂-mi-šar-ra-am[]PN,P210370.6.1,recipient,,P210370
154,šu-i₃-li₂[]PN,P332078.3.2,,,P332078
155,nu-ur₂-i₃-li₂[]PN,P332078.4.3,,,P332078
156,i-mi-id-dingir[]PN,P332078.5.2,,,P332078
157,edin-ša₃-ga-na[]PN,P332078.7.3,,,P332078
158,du₁₀-i₃-li₂[]PN,P332078.8.3,,,P332078
159,a₂-li₂-id[]PN,P332078.12.3,,,P332078
160,ur-pu₂-mun-na[]PN,P332078.13.3,,,P332078
161,lugal-ezem[]PN,P332078.14.3,,,P332078
162,a-bu-um-dingir[]PN,P332078.15.3,,,P332078
163,ur-{d}ba-ba₆-ta[]PN,P332078.24.2,source,,P332078
164,ab-ba-sa₆-ga[]PN,P332078.25.1,recipient,,P332078
165,zu-ba-ga-ta[]PN,P129770.6.2,source,,P129770
166,{d}šul-gi-iri-mu[]PN,P129770.8.1,recipient,,P129770
167,lu₂-uru₁₁{ki}[]PN,P301977.4.1,,,P301977
168,{d}šul-gi-si₂-im-tum[]PN,P301977.6.2,new owner,,P301977
169,na-ra-am-i₃-li₂-ta[]PN,P135226.6.2,source,,P135226
170,ur-{d}lamma[]PN,P135226.8.1,,ensik[ruler]N,P135226
171,{d}amar-{d}suen[]PN,P135226.10.2,,lugal[king]N,P135226
172,ab-ba-sa₆-ga-ta[]PN,P101831.8.2,source,,P101831
173,na-lu₅[]PN,P101831.10.1,recipient,,P101831
174,ab-ba-sa₆-ga-ta[]PN,P407290.5.2,source,,P407290
175,me-eš₁₈-dar[]PN,P107985.6.2,,,P107985
176,šu-ma-ma-ta[]PN,P320862.6.2,source,,P320862
177,{d}šul-gi-iri-mu[]PN,P320862.8.1,recipient,,P320862
178,a-hu-we-er[]PN,P125008.15.1,recipient,,P125008
179,{d}nin-ti₂-ug₅-ga[]PN,P125590.4.4,,,P125590
180,u₂-la-i₃-li₂-iš[]PN,P125590.6.1,representative,,P125590
181,a-ba-{d}en-lil₂-gin₇-ta[]PN,P125590.12.2,source,,P125590
182,ur-{d}en-lil₂-la₂[]PN,P125590.14.2,intermediary,dubsar[scribe]N,P125590
183,{d}nanna-ma-ba[]PN,P125590.15.2,,,P125590
184,{d}i-bi₂-{d}suen[]PN,P125590.17.2,,lugal[king]N,P125590
185,{d}amar-{d}suen[]PN,P124330.12.2,,lugal[king]N,P124330
186,{d}en-ki[]PN,P124673.6.1,,,P124673
187,{d}suen-a-bu-šu[]PN,P124673.10.2,intermediary,šagia[cup-bearer]N,P124673
188,ur-tilla₃[]PN,P320531.4.1,,,P320531
189,ad-da-kal-la[]PN,P320531.6.1,,,P320531
190,pa₃-da-mu[]PN,P320531.11.1,,sukkal[secretary]N,P320531
191,na-sa₆[]PN,P320531.14.1,new owner,,P320531
192,{d}en-lil₂-la₂[]PN,P103800.12.2,,,P103800
193,na-lu₅-ta[]PN,P107611.8.2,source,,P107611
194,ur-nigar{gar}[]PN,P107611.9.1,recipient,,P107611
195,ab-ba-sa₆-ga-ta[]PN,P122198.13.2,source,,P122198
196,in-ta-e₃-a[]PN,P122198.14.1,recipient,,P122198
197,{d}en-lil₂-la₂[]PN,P122198.16.4,,,P122198
198,be-li₂-a-ri₂-ik-še₃[]PN,P109768.5.4,,,P109768
199,mi-gir-{d}nin-lil₂-tum[]PN,P109768.8.1,,,P109768
200,na-ni-pa₂-tal[]PN,P109768.10.2,,,P109768
201,ba-za-za[]PN,P109768.11.2,intermediary,kuš[official]N,P109768
202,ARAD₂-mu[]PN,P109768.12.1,representative,,P109768
203,zu-ba-ga-ta[]PN,P109768.14.2,source,,P109768
204,ad-da-kal-la[]PN,P109768.15.2,intermediary,dubsar[scribe]N,P109768
205,ab-ba-sa₆-ga-ta[]PN,P126644.5.2,source,,P126644
206,a-hu-we-er[]PN,P126644.6.1,recipient,,P126644
207,a-hu-ni-ta[]PN,P105815.9.2,source,,P105815
208,ur-nigar{gar}[]PN,P105815.10.1,recipient,,P105815
209,a-hu-we-er-ta[]PN,P320676.9.2,source,,P320676
210,{d}šul-gi-iri-mu[]PN,P320676.10.1,recipient,,P320676
211,kal-{d}šul-gi-ta[]PN,P143942.4.2,source,,P143942
212,ur-{d}ba-ba₆[]PN,P143942.5.1,recipient,,P143942
213,zi-im-zi-la-ah[]PN,P143942.8.2,intermediary,sipad[shepherd]N,P143942
214,{d}en-lil₂-la₂[]PN,P143942.10.3,,,P143942
215,na-lu₅-ta[]PN,P112267.7.2,source,,P112267
216,{d}šul-gi-iri-mu[]PN,P112267.9.1,recipient,,P112267
217,{d}nanše-GIR₂@g-gal[]PN,P211961.8.1,representative,,P211961
218,hu-bu-ti-a[]PN,P211961.14.1,,,P211961
219,la-la-mu[]PN,P211961.15.2,intermediary,sukkal[secretary]N,P211961
220,ARAD₂-mu[]PN,P211961.16.1,representative,,P211961
221,{d}šul-gi-a-a-mu-ta[]PN,P211961.18.2,source,,P211961
222,ab-ba-sa₆-ga-ta[]PN,P102312.5.2,source,,P102312
223,{d}šul-gi-a-a-mu[]PN,P102312.6.1,recipient,,P102312
224,{d}en-lil₂-la₂[]PN,P102312.11.3,,,P102312
225,na-ap-la-num₂[]PN,P131597.8.1,,,P131597
226,ni-AN-bu-li[]PN,P131597.10.1,,,P131597
227,a-bi₂-iš-ki-in[]PN,P131597.12.1,,,P131597
228,ni-AN-bi₂-i₃-lum[]PN,P131597.14.2,,,P131597
229,na-ab-ša-nu-um[]PN,P131597.15.3,,lu[person]N,P131597
230,ia₃-a-mu-tum[]PN,P131597.15.6,,,P131597
231,{d}šul-gi-a-bi₂[]PN,P131597.17.1,,,P131597
232,hu-un-{d}šul-gi[]PN,P131597.18.3,,,P131597
233,a-mur-dingir[]PN,P131597.22.1,,lu[person]N,P131597
234,li-ba-nu-uk-ša-ba-aš[]PN,P131597.22.4,,ensik[ruler]N,P131597
235,ki-ma-ni[]PN,P131597.23.3,,,P131597
236,si-i₃-li₂[]PN,P131597.25.3,,,P131597
237,ku-zu-zu[]PN,P131597.27.1,,lu[person]N,P131597
238,ad-da-bu-ni[]PN,P131597.29.1,,lu[person]N,P131597
239,še-eb-ba[]PN,P131597.29.4,,,P131597
240,ra-ši[]PN,P131597.31.4,,,P131597
241,bu-ul-ba-ad[]PN,P131597.35.1,,,P131597
242,hu-un-ki-ib-ri[]PN,P131597.41.1,,,P131597
243,hu-un-ze₂-ri[]PN,P131597.43.1,,,P131597
244,bi₂-id-du₂[]PN,P131597.47.1,,,P131597
245,ba-ša-an-ti-ba-at[]PN,P131597.51.1,,,P131597
246,mu-lu-uš[]PN,P131597.53.1,,,P131597
247,aq-ba-ni[]PN,P131597.55.1,,lu[person]N,P131597
248,ur-e₂-an-na[]PN,P131597.57.1,,,P131597
249,lu₂-{d}šul-gi[]PN,P131597.61.1,,,P131597
250,lugal-inim-gi-na[]PN,P131597.65.2,intermediary,,P131597
251,ARAD₂-mu[]PN,P131597.66.1,representative,,P131597
252,{d}nanše-GIR₂@g-gal[]PN,P131597.70.1,representative,,P131597
253,wa-da-ru-um[]PN,P131597.74.1,representative,,P131597
254,ab-ba-sa₆-ga-ta[]PN,P131597.78.2,source,,P131597
255,{d}en-lil₂-la₂[]PN,P131597.80.4,,,P131597
256,lu₂-dingir-ra[]PN,P103274.6.1,recipient,,P103274
257,na-lu₅-ta[]PN,P142427.5.2,source,,P142427
258,ur-nigar{gar}-ke₄[]PN,P142427.6.1,recipient,,P142427
259,ur-nigar{gar}[]PN,P142427.16.1,,,P142427
260,ti-ru[]PN,P142427.17.2,,muhaldim[cook]N,P142427
261,{d}šul-gi-a-a-mu[]PN,P116866.10.1,recipient,,P116866
262,na-lu₅-ta[]PN,P107864.9.2,source,,P107864
263,{d}šul-gi-iri-mu[]PN,P107864.10.1,recipient,,P107864
264,ur-ku₃-nun-na-ta[]PN,P248867.15.2,source,,P248867
265,nu-ur₂-{d}iškur[]PN,P248867.16.1,recipient,,P248867
266,ur-mes-ta[]PN,P144496.5.2,source,,P144496
267,šu-er₃-ra[]PN,P144496.6.1,recipient,,P144496
268,{d}en-ki[]PN,P144496.10.3,,,P144496
269,giri₃-lugal-iti-da[]PN,P117203.14.1,,,P117203
270,{d}en-lil₂-la₂-i₃-sa₆[]PN,P117203.20.4,,,P117203
271,si-du₃[]PN,P117203.21.5,,,P117203
272,qu₂-ra-ad-i₃-li₂[]PN,P117203.22.4,,,P117203
273,bi-ze₂-ze₂[]PN,P117203.23.4,,,P117203
274,lugal-ša₃-la₂[]PN,P117203.25.1,recipient,,P117203
275,{d}en-lil₂-la₂[]PN,P117203.27.2,,,P117203
276,zu-ri-im[]PN,P100321.12.1,,lu[person]N,P100321
277,lu₂-dingir-ra-ta[]PN,P109542.9.2,source,,P109542
278,ur-nigar{gar}[]PN,P109542.10.1,recipient,,P109542
279,ab-ba-sa₆-ga-ta[]PN,P210367.5.2,source,,P210367
280,u₂-ta₂-mi-šar-ra-am[]PN,P210367.7.1,recipient,,P210367
281,wa-wa-ti[]PN,P107843.6.1,,nubanda[overseer]N,P107843
282,lugal-ma₂-gur₈-re[]PN,P107843.12.3,,,P107843
283,šu-ru-uš-ki-in[]PN,P107843.14.3,,,P107843
284,i-din-{d}en-lil₂[]PN,P107843.15.3,,,P107843
285,ur-{d}iškur[]PN,P107843.16.3,,,P107843
286,lu₂-bala-sa₆-ga[]PN,P107843.17.3,,,P107843
287,ab-ba-sa₆-ga[]PN,P107843.20.1,new owner,,P107843
288,ab-ba-sa₆-ga-ta[]PN,P124971.8.2,source,,P124971
289,sa₃-si₂[]PN,P124971.10.1,recipient,,P124971
290,na-lu₅-ta[]PN,P106373.6.2,source,,P106373
291,ur-mes[]PN,P106373.13.1,,,P106373
292,la-na[]PN,P106373.14.2,,kurušda[fattener]N,P106373
293,ur-ba-a[]PN,P212042.7.1,,,P212042
294,za-ri₂-iq[]PN,P212042.9.4,,,P212042
295,hu-ba-a[]PN,P212042.12.1,,,P212042
296,lu₂-{d}nanna[]PN,P212042.13.6,,,P212042
297,ur-tilla₃[]PN,P212042.14.6,,,P212042
298,du₁₁-ga-zi-da[]PN,P212042.15.6,,,P212042
299,šar-ru-um-i₃-li₂[]PN,P212042.16.3,,,P212042
300,{d}šul-gi-ha-si₂-is[]PN,P212042.17.4,,,P212042
301,ur-{d}en-lil₂-la₂[]PN,P212042.18.7,,,P212042
302,a₂-bi₂-la-ša[]PN,P212042.19.4,,,P212042
303,šu-eš₁₈-dar[]PN,P212042.24.9,,nubanda[overseer]N,P212042
304,{d}utu-ba-ni[]PN,P212042.32.3,,,P212042
305,lu₂-inim-gi-na[]PN,P212042.33.3,,,P212042
306,{d}šul-gi-a-a-mu-ta[]PN,P127538.5.2,source,,P127538
307,{d}šul-gi-iri-mu[]PN,P127538.7.1,recipient,,P127538
308,ku-da-num₂[]PN,P103505.4.1,,sukkal[secretary]N,P103505
309,ab-ba-sa₆-ga-ta[]PN,P143113.7.2,source,,P143113
310,in-ta-e₃-a[]PN,P143113.9.1,recipient,,P143113
311,lu₂-dingir-ra-ta[]PN,P123394.16.2,source,,P123394
312,ur-nigar{gar}[]PN,P123394.17.1,recipient,,P123394
313,ab-ba-sa₆-ga-ta[]PN,P145808.7.2,source,,P145808
314,{d}šul-gi-a-a-mu[]PN,P145808.9.1,recipient,,P145808
315,{d}amar-{d}suen[]PN,P145808.13.2,,lugal[king]N,P145808
316,ur-{d}ig-alim-ta[]PN,P104528.5.2,source,,P104528
317,nu-ur₂-{d}iškur[]PN,P104528.6.1,recipient,,P104528
318,geme₂-{d}nin-a-zu[]PN,P104528.13.1,,,P104528
319,lugal-KA[]PN,P104528.14.2,,,P104528
320,nu-ur₂-{d}iškur[]PN,P104528.15.1,,šagia[cup-bearer]N,P104528
321,{d}nanše-GIR₂@g-gal[]PN,P330390.26.1,representative,,P330390
322,ab-ba-sa₆-ga-ta[]PN,P133870.6.2,source,,P133870
323,{d}šul-gi-a-a-mu[]PN,P133870.8.1,recipient,,P133870
324,en-mah-gal-an-na[]PN,P133870.10.3,,en[priest]N,P133870
325,{d}en-lil₂-la₂[]PN,P143752.9.2,,,P143752
326,ur-{d}nanna[]PN,P111903.4.1,,sukkal[secretary]N,P111903
327,ARAD₂-{d}nanna[]PN,P111903.4.4,,,P111903
328,lu₂-{d}nanna[]PN,P111903.7.1,,šuʾi[barber]N,P111903
329,šeš-kal-la-ke₄[]PN,P111903.8.2,,,P111903
330,{d}nin-lil₂-ama-mu[]PN,P111903.10.1,,sukkal[secretary]N,P111903
331,{d}šu-{d}suen-mi-gir-eš₁₈-dar[]PN,P111903.12.1,,,P111903
332,šu-{d}šul-gi[]PN,P111903.14.1,representative,,P111903
333,{d}šu-{d}suen-na-ra-am-{d}en-lil₂[]PN,P111903.18.1,representative,,P111903
334,lu₂-dingir-ra-ta[]PN,P111903.20.2,source,,P111903
335,du-u₂-du-ta[]PN,P128929.13.2,source,,P128929
336,ur-sa₆-ga[]PN,P128929.15.2,intermediary,dubsar[scribe]N,P128929
337,en-um-i₃-li₂[]PN,P134793.4.3,,saŋŋa[official]N,P134793
338,ur-{d}hendur-sag[]PN,P134793.6.2,,,P134793
339,{d}nin-lil₂-e-ba-zi-ge[]PN,P134793.13.3,,,P134793
340,wa-ta₂-ru-um[]PN,P125554.10.1,,kurušda[fattener]N,P125554
341,ab-ba-sa₆-ga[]PN,P125554.13.1,new owner,,P125554
342,da-da-a[]PN,P125458.5.2,new owner,,P125458
343,ab-ba-sa₆-ga-ta[]PN,P125458.7.2,source,,P125458
344,ur-{d}šul-pa-e₃[]PN,P321034.24.1,,dubsar[scribe]N,P321034
345,ur-{d}ha-ia₃[]PN,P321034.26.2,,arad[slave]N,P321034
346,ab-ba-sa₆-ga-ta[]PN,P407075.5.2,source,,P407075
347,tu-ra-am-{d}da-gan[]PN,P407075.6.1,recipient,,P407075
348,a-hu-we-er-ta[]PN,P109672.6.2,source,,P109672
349,{d}šul-gi-iri-mu[]PN,P109672.8.1,recipient,,P109672
350,tur-ra-am-i₃-li₂[]PN,P129588.9.1,recipient,,P129588
351,šu-na-mu-gi₄[]PN,P303425.8.2,,,P303425
352,en-nun-ne-{d}amar-{d}suen-ra-ki-ag₂[]PN,P303425.10.2,,en[priest]N,P303425
353,šu-i₃-li₂[]PN,P201104.5.2,intermediary,sipad[shepherd]N,P201104
354,i₃-lal₃-lum[]PN,P201104.6.2,,,P201104
355,a₂-bi₂-si₂-im-ti[]PN,P201104.10.1,,,P201104
356,lugal-amar-ku₃-ta[]PN,P201104.15.2,source,,P201104
357,ur-šu-ga-lam-ma-ta[]PN,P129433.5.2,source,,P129433
358,{d}šul-gi-a-a-mu-ta[]PN,P130327.8.2,source,,P130327
359,{d}šul-gi-iri-mu[]PN,P130327.9.1,recipient,,P130327
360,an-nu-ni-tum-še₃[]PN,P136281.5.3,,,P136281
361,{d}šara₂-kam-ta[]PN,P136281.6.2,source,,P136281
362,an-nu-ni-tum[]PN,P136281.7.3,recipient,,P136281
363,ab-ba-sa₆-ga[]PN,P136281.9.2,intermediary,,P136281
364,{d}amar-{d}suen[]PN,P136281.11.2,,lugal[king]N,P136281
365,{d}en-lil₂-la₂[]PN,P136281.11.5,,,P136281
366,hu-bi₂-dam[]PN,P105998.10.2,intermediary,,P105998
367,ab-ba-sa₆-ga-ta[]PN,P105998.12.2,source,,P105998
368,nu-ur₂-{d}suen[]PN,P105998.13.1,recipient,,P105998
369,nu-ur₂-{d}suen[]PN,P127488.5.2,intermediary,šagia[cup-bearer]N,P127488
370,ba-ba-an-še-en[]PN,P127488.6.1,representative,,P127488
371,{d}šul-gi-a-a-mu-ta[]PN,P127488.9.2,source,,P127488
372,ab-ba-sa₆-ga-ta[]PN,P218193.6.2,source,,P218193
373,na-lu₅[]PN,P218193.8.1,recipient,,P218193
374,{d}en-lil₂-la₂[]PN,P114330.6.1,,,P114330
375,{d}šara₂-kam[]PN,P114330.13.1,,dubsar[scribe]N,P114330
376,inim-{d}šara₂[]PN,P114330.16.2,,saŋ.DUN₃[recorder]N,P114330
377,en-dingir-mu[]PN,P109747.6.2,,,P109747
378,{d}šul-gi-iri-mu[]PN,P109747.8.1,recipient,,P109747
379,ur-ku₃-nun-na[]PN,P104267.17.1,,dubsar[scribe]N,P104267
380,lu₂-{d}nin-gir₂-su[]PN,P104267.19.2,,kurušda[fattener]N,P104267
381,u₃-ma-ni[]PN,P106202.11.2,intermediary,,P106202
382,ur-{d}lamma[]PN,P106202.12.1,,dubsar[scribe]N,P106202
383,{d}i-bi₂-{d}suen[]PN,P106202.14.2,,lugal[king]N,P106202
384,ab-ba-sa₆-ga-ta[]PN,P104017.5.2,source,,P104017
385,in-ta-e₃-a[]PN,P104017.6.1,recipient,,P104017
386,in-ta-e₃-a-ta[]PN,P126104.10.2,source,,P126104
387,ur-mes[]PN,P126104.12.2,,,P126104
388,ur-mes[]PN,P126104.16.1,,,P126104
389,la-na[]PN,P126104.17.2,,kurušda[fattener]N,P126104
390,ba-aš-ti[]PN,P125660.9.1,,,P125660
