,name,role,profession,p_index
122,a-gu-ta,source,NA,105337
123,a-ab-ba-ta,source,NA,105419
124,lu₂-{d}er₃-ra,reciever,NA,105419
125,lu₂#?-nam-tar-re-ta,source,NA,105594
126,ur-x-x,reciever,NA,105594
127,lugal-im-ru-a-ta,source,NA,105757
128,ur-{d}nin-geš-zi-da,reciever,NA,105757
129,{d}šara₂-kam-ta,source,NA,106130
130,za-ni-a,reciever,NA,106130
131,na-ra-am-i₃-li₂-ta,source,NA,106214
132,{d}utu-GIR₂@g-gal,reciever,NA,106214
133,lu₂#?-{d}inanna-ta,source,NA,106301
134,er₃-ra-ba-ni,reciever,NA,106301
135,a-hu-ni-ta,source,NA,106328
136,ur-nigar{gar},reciever,NA,106328
137,tu-ra-am-i₃-li₂-ta,source,NA,106400
138,NE-NE,reciever,NA,106400
139,ša₃-ku₃-ge-ta,source,NA,106451
140,i₃-kal-la,reciever,NA,106451
141,šeš-kal-la-ta,source,NA,106521
142,ur-{d}šara₂,reciever,NA,106521
143,ur-{d}šara₂-ta,source,NA,106556
144,a-kal-la,reciever,NA,106556
145,da-da-ga-ta,source,NA,106602
146,la-ni-mu,reciever,NA,106602
147,ur-{d}šara₂-ta,source,NA,106606
148,i₃-kal-la,reciever,NA,106606
149,da-da-ta,source,NA,106613
150,la-ni-mu,reciever,NA,106613
151,da-da-ta,source,NA,106614
152,la-ni-mu,reciever,NA,106614
153,u₃-ma-ni-ta,source,NA,106765
154,da-da-ga,reciever,NA,106765
155,lugal-inim-gi-na-ta,source,NA,106838
156,ur-{d}šara₂,reciever,NA,106838
157,ba-zi-ta,source,NA,107113
158,lugal-pa-e₃,reciever,NA,107113
159,ur-{d}li₉-si₄-ta,source,NA,107435
160,lugal-{geš}kiri₆,reciever,NA,107435
161,ARAD₂-ta,source,NA,107437
162,lugal-ezem,reciever,NA,107437
163,ARAD₂-ta,source,NA,107440
164,ur-nigar{gar},reciever,NA,107440
165,ARAD₂-ta,source,NA,107447
166,lu₂-giri₁₇-zal,reciever,NA,107447
167,ARAD₂-ta,source,NA,107448
168,šeš-kal-la,reciever,NA,107448
169,ARAD₂-ta,source,NA,107476
170,ur-mes,reciever,NA,107476
171,ARAD₂-ta,source,NA,107517
172,lu₂-i₃-zu,reciever,NA,107517
173,lu₂-dingir-ra-ta,source,NA,107609
174,ur-nigar{gar},reciever,NA,107609
175,lu₂-dingir-ra-ta,source,NA,107700
176,ur-nigar{gar},reciever,NA,107700
177,lu₂-dingir-ra-ta,source,NA,107712
178,ur-nigar{gar},reciever,NA,107712
179,{d}šul-gi-a-a-mu-ta,source,NA,107765
180,ur-nigar{gar},reciever,NA,107765
181,ur-x-x?-ta,source,NA,107898
182,šeš-[...]-NI#,reciever,NA,107898
183,ad-da-ta,source,NA,108166
184,igi-gun₃,reciever,NA,108166
185,šeš-kal-la,reciever,NA,108238
186,ur-{d}lamma-ta,source,NA,108238
187,inim-{d}šara₂-ta,source,NA,108381
188,lugal-u₂-šim-e-ke₄,reciever,NA,108381
189,na-ba-sa₆-ta,source,NA,108814
190,ur-šu-ga-lam-ma,reciever,NA,108814
191,ur-{d}nin-tu-ta,source,NA,109183
192,i₃-kal-la,reciever,NA,109183
193,a-hu-ni-ta,source,NA,109563
194,ur-nigar{gar},reciever,NA,109563
195,a-hu-ni-ta,source,NA,109568
196,ur-nigar{gar},reciever,NA,109568
197,ur-tur-ta,source,NA,109894
198,ur-e₂-an-na,reciever,NA,109894
199,ba-zi-ta,source,NA,110019
200,ma-ni,reciever,NA,110019
201,ba-zi-ta,source,NA,110268
202,ur-{d}nanše,reciever,NA,110268
203,lu₂-kal-la-ta,source,NA,110460
204,ur-{d}šul-pa-e₃,reciever,NA,110460
205,na-ra-am-i₃-li₂-ta,source,NA,110468
206,{d}nin-lil₂-ama-mu,reciever,NA,110468
207,lu₂-kal-la-ta,source,NA,110571
208,ur-nig₂,reciever,NA,110571
209,ur-{d}en-lil₂-la₂-ta,source,NA,110644
210,gu₃-de₂-a,reciever,NA,110644
211,ur-nigar{gar}-ta,source,NA,110664
212,ur-nig₂,reciever,NA,110664
213,lu₂-kal-la-ta,source,NA,110714
214,lu₂-uš-gi-na,reciever,NA,110714
215,ur-nigar{gar}-ta,source,NA,110731
216,ur-mes,reciever,NA,110731
217,gu₃-de₂-a-ta,source,NA,110751
218,ur-e₂-ninnu,reciever,NA,110751
219,ur-{d}nin-geš-zi-da-ta,source,NA,110821
220,lugal-im-ru-a,reciever,NA,110821
221,lugal-me-lam₂-ta,source,NA,110918
222,a-gu-a,reciever,NA,110918
223,ur-šu-ga-lam-ma-ta,source,NA,111287
224,na-ba-sa₆,reciever,NA,111287
225,lu₂-me-lam₂-ta,source,NA,111555
226,al-la-mu,reciever,NA,111555
227,ur-{d}nin-gir₂-su-ta,source,NA,111677
228,ur-{d}nin-gir₂-su,reciever,NA,111677
229,lu₂-dingir-ra-ta,source,NA,111975
230,ur-nigar{gar},reciever,NA,111975
231,lugal-ezem-ta,source,NA,111993
232,u₃-ma-ni,reciever,NA,111993
233,a-lu₅-lu₅-ta,source,NA,112032
234,ku₃-ga-ni,reciever,NA,112032
235,ur-sa₆-ga-ta,source,NA,112043
236,la-a-mu,reciever,NA,112043
237,ARAD₂-ta,source,NA,112075
238,da-a-gi₄,reciever,NA,112075
239,lu₂-{d}nin-šubur,reciever,NA,112078
240,ku₃-ga-ni-ta,source,NA,112078
241,na-lu₅-ta,source,NA,112095
242,šu-ku-bu-um,reciever,NA,112095
243,na-we-er-dingir-ta,source,NA,112098
244,ba#-ba-ti,reciever,NA,112098
245,tu-ra-am-i₃-li₂-ta,source,NA,112189
246,a-la-tum,reciever,NA,112189
247,a-hu-ni-ta,source,NA,112233
248,ur-nigar{gar},reciever,NA,112233
249,zu₂-ga-li-ta,source,NA,112254
250,ur-nigar{gar},reciever,NA,112254
251,ur-{d}šul-pa-e₃-ta,source,NA,112495
252,lu₂-{d}inanna,reciever,NA,112495
253,ad-da-ta,source,NA,112553
254,lugal-inim-gi-na,reciever,NA,112553
255,ur-{d}dumu-zi-da-ta,source,NA,112623
256,ur-{d}šul-pa-e₃,reciever,NA,112623
257,{d}utu-GIR₂@g-gal,reciever,NA,112659
258,ur-{d}šul-pa-e₃-ta,source,NA,112659
259,lugal-nig₂-lagar-e-ta,source,NA,112821
260,da-a-ga,reciever,NA,112821
261,i₃-kal-la-ta,source,NA,112896
262,{d}utu-GIR₂@g-gal,reciever,NA,112896
263,lu₂-kal-la-ta,source,NA,112900
264,nin₉-hi-li₂-a,reciever,NA,112900
265,lugal-im-ru-a-ta,source,NA,112980
