name,number of transactions
a-giri₁₇-zal,1
ta₂-hi-iš-še-en,1
i₃-li₂-gešimmar,1
ba-a-mu,1
i₃-u₃-ša,1
ka₅-a-mu#,1
ga-rig₂,1
e-zu-un-{d}da-gan,1
a-ab-ba-mu,1
[ku]-ba#-tum,1
ha-ši-ip-a-tal,1
ur-ge₆-par₄-ra,1
lu₂-{d}asar-lu₂-hi,1
{d}šul-gi-[kalam-ma]-me-te-bi#,1
a-ba-pu-um,1
ik-bu-zum,1
a-hu-um-dingir,1
igi-maš?-šu,1
lu₂-[ša-lim],1
lugal#?-[...],1
šir?-ra,1
lu₂-zabala₃,1
ma-an-za-tum,1
{d}gur₈-gur₈,1
en-u₂-a,1
[{d}nanna-kam],1
lu₂-iri-ki,1
nu]-ur₂-{d}suen,1
šeš-i₃-li₂-iš-ti,1
ma-x,1
šeš-da-[da],1
[ur-{d}šul-pa-e₃,1
ad-du,1
i-gi-ru-mah,1
ta₂-ki-ru#-um,1
{d}suen-ma-lik,1
šeš#-[da]-da,1
[ur]-{d}ba-ba₆,1
ki-da-ni,1
{d}šul-[gi-iri-mu,1
ri₂?-ba-a,1
iš-pu-ga-ru,1
ur-{d}EN-[x],1
ki-ma-ni,1
u₂-li-li₂-iš,1
{d}šul-gi-a-a-mu-<ta>,1
ma-an-nu-um-i₃-li₂,1
ma-nu-ma-nu-um,1
ur-{d}gibil₆,1
en-mah-gal]-an-na,1
lugal-za₃-e₃,1
mi-gir-{d}nin-lil₂-tum,1
nu-hi-lum,1
lugal-e₂-[mah-e],1
da-da-<ga>,1
lugal-pa-<e₃>,1
zi-x,1
li-ba-nu#-ug-ša-ba-aš,1
bu-la-lum,1
e₂-a-kal,1
lu₂-unu{ki},1
ma-num₂#-ki-{d}šul#-gi#,1
lu₂#-[{d}nin-gir₂-su,1
ad-[da]-gu#-[la],1
a-ha-an-ni-šu,1
[e-te-il]-pu₃-{d}da-gan,1
uri₅{ki}-<ki>-du₁₀,1
šu#-i₃-li₂,1
ri#-iz-dingir,1
lu₂-{d}nin-[gir₂-su],1
ur-e₂-nun-na,1
ia₃-ši-li-im,1
u₄-nu₂-a-ka-ni,1
hu-un-ti-ba,1
[ur]-sa₆-ga,1
{d}suen-a-bu#-[šu],1
ša₃#-ta-ku₃-zu#,1
i-di₃-[dingir,1
{d}šu-{d}suen-ma-ha-ar,1
{d}šu-{d}suen-mi-gir-{d}en-lil₂,1
{d}nanna#-ma-ba#,1
en-nun]-ne₂#-{d}amar#-[{d}suen]-ki-ag₂,1
hu-[la-al],1
lu₂-{geš}gigir?,1
{d}šul-gi-li-ti-iš,1
um-ku-lu-lu,1
nin-ik-sur₂,1
ba-a-na-tum,1
za₃?-bi-la₂,1
i-pi₅-iq-na-nu-um,1
en-ša₃-ku₃#-[ge],1
ur-{d}tum-ma-al,1
šu-{d#}[nin-šubur,1
ur-x-[...],1
u₁₈-ba-a,1
a-hu-a-ti,1
{d}er₃-ra-zu,1
lu₂#-sa₆#-ga#,1
{d}šul]-gi-i₃-li₂,1
hu-un-ga-ad,1
ur-{d}x-[x],1
gi-nu-na,1
šu]-ma-ma,1
a-gu-gu#,1
ar-bi₂-gi₄,1
ad#-da-kal#-[la],1
ša#-at#-{d#}šu#-{d#}suen#,1
lugal#-inim-gi-na,1
en-mah-gal-[an-na],1
eš₁₈-dar-tu-kul₂-ti,1
a-hu-um-ma!,1
a₂-zi-da-ka,1
a-ba-u₃,1
ur-me-lam₂-an-na,1
a-mur#-dingir#,1
še-eb-ba,1
ha#-ab-ru,1
ha-an-za-ab-tum-ma-še₃,1
am?-ti,1
li-pa₂-nu-uk-ša-pa₂-aš,1
ur-{d}nin-pa,1
[igi]-kar₂#,1
ma-ni-il,1
[lu₂-{d}nanna,1
ab-ba-sa₆-ga],1
ša-gu-ul-tum,1
na-[ba]-sa₆,1
i-zi-in-er₃-ra,1
šar#-ru-um-i₃-li₂,1
{d}nin-lil₂-e-ma-na!(KI)-ag₂,1
na-[x-...],1
nu]-ur₂-{d}iškur,1
i-me-er₃,1
ba-a-la-a,1
šu!-ab-ba,1
ar#-ši-ah#,1
ha-ha-ša,1
gu₂-li-i₃-sa₆,1
šu-{d}nin-šubur#,1
a-ad-da-mu,1
ši-ri-ši-[ih?],1
šeš-[da-da,1
li-ba-[nu]-uk-ša-ba-aš,1
lu₂-e₂-a,1
i-su₂]-a-ri₂#-ik,1
be#-li₂#-dan,1
e-ze₂-mi-na,1
ur#-[nigar]{gar#},1
ri-zi-dingir,1
lu₂-[u₁₈-um,1
u₂-tu-ma₂#-ge₆,1
wa-da-ru-um,1
šu-{d}da-gan,1
{d}šul-gi-i₃#-[li₂,1
{d}nanna-i₃-zi-in,1
dingir-šu-ki-in,1
lu₂-{d}eb-gal,1
na-ab-ša-nu-um,1
in-ta-[e₃]-a,1
me-eš₁₈-dar,1
šeš-šeš-mu,1
sipa-si:in,1
a-bi₂-si₂-<im>-ti,1
in-[ta]-e₃-a,1
e₂-a-du-du,1
še-il#-ha-ha,1
na-ak-da-ma-ri,1
na-ga,1
ka₅#-a-mu,1
giri₃-ni-i₃-[sa₆],1
du-ri-ib-bi₂-ik-ma,1
he₂-na-lah₅,1
ab-ba-sa₆-<ga>,1
ur-{d}saman₃,1
uri₅#{ki}-ki-du₁₀,1
u₃-zi-nu-ri,1
ku₃-sa₆-mu,1
[it]-ra-ak-i₃-li₂,1
lugal#-ezem,1
ga-ab-lu-lu,1
ur-tur,1
gu₃-de₂-[a],1
zu-ri-im,1
NE-mu-ša-ni-mu,1
nu-ur₂-[{d}suen],1
[ur]-me-me,1
šu-ni-ki-ib,1
a-da-gal,1
nu-ur₂-[{d}iškur],1
ri-ib!-hu-ti,1
ta?-ra?-am?-dingir,1
lugal-sa₆-ga,1
li-[ba-nu-uk]-ša-ba-aš,1
lugal-e₂-mah-e,1
giri₃-da-a,1
i₃-li₂-aš-ra-ni,1
a-mu#-a,1
ni-da-gu₂,1
lugal-u₄,1
na-ap-la-num₂#,1
giri₃#-ni,1
ab-ba-sa₆-[a],1
hu-bi₂-dam?,1
{d}šu-{d}suen-wu-zu-um-i-šar-re,1
u₄-ne-nig₂-[sa₆-ga],1
mu-šu?-hur-da,1
lum-[ma,1
a-wa-an,1
[a?]-kal#-la,1
tur-ba-IGI,1
[a-mur]-dingir,1
hu-ba-nu,1
{d}da-gan-du-ni,1
[ka-...],1
na-[sa₆,1
nam-mah-{d}ba-ba₆,1
ba-tu-uk-ra-ad,1
ama-na-a,1
na-ap-li₂-is?,1
tu-ra-nu-um,1
ur-{d}šar-ru-gen?,1
lugal#-ša₃-la₂,1
{d#}nin-isin₂{si}-na,1
ab-ba-[sa₆-ga],1
a-a-kal#-la#,1
a-ri₂-lum,1
lu₂#-[x,1
{d}šul-gi-iri#-mu,1
[šu]-eš₁₈#-dar,1
[{d}en-lil₂]-la₂,1
lu₂-gir₂-nun{ki},1
nu-ur₂-ra,1
za-an-ti-ru-um,1
bu-ša-am?,1
ur-nigar#{gar},1
li-bur,1
ar-pa₂-tal?,1
na-bi₂-um,1
ka₅-a-<mu>,1
ba-ni#,1
{d}šul-gi-li-ba-ni,1
ru-uš-dam,1
[šu]-ma-ma,1
a-ab-mi-ra-din,1
sa₂-ah-ha,1
un-za-mu,1
nu#-ur₂-{d#}suen#,1
it-ma-nu-um,1
[giri₃]-lugal-iti-da,1
za-ri-me-me,1
šeš-[...],1
en-nam-{d}šul-gi,1
a-lal₃-la-lum,1
ur-du₆-ku₃,1
e-lam-ma-gum₂,1
ur-{d}[x],1
lugal-a₂-[zi]-da#,1
a₂-[ni]-a₂,1
a#-hu#-ni#-ta#,1
a₂#-ni-a₂,1
a-a-kal-la#,1
šu-{d}en-lil₂#,1
ni-AN-bu-li,1
šul-ga₂-a-ad#,1
{d}da-[...],1
nimgir-di-de₃,1
da-a-ga,1
mi-ki-a,1
ur-{d}šu-mah,1
ARAD₂-re-[eb,1
u₂-la,1
nin-ku₃-zu#,1
tu-ra-am-{d}da-gan,1
ŠIM?,1
a₂#-ge₆-il₂-[la,1
ša₃-ad-da,1
{d}nanna-[ma-ba],1
inim-{d}šara₂,1
wa#-ta₂#-ru-um,1
[a]-bu-um-dingir,1
a-na-nu-um-dingir,1
{d}nanna#-kam,1
i-mi#-[id]-dingir,1
na-ap#-[la-nu]-um,1
ur-{d}ba-[ba₆,1
a-hu-we#-er#-[ta,1
lu₂]-ša-lim,1
i-me-er,1
šul-gi-ra#,1
igi-[kar₂,1
ARAD₂-hul₃?-la,1
{d}šara₂-kam-e,1
dara₃-abzu#,1
ur#-{d}iškur,1
{d}en-[lil₂]-la₂#,1
kal-la-mu#?,1
na-[...],1
nu#-ur₂#-[{d}suen],1
za!-ri₂-iq,1
{d}nanna-[ma-ba,1
[eš₃]-ta-ab-e₃,1
{d}utu-he₂!-du₇,1
en-nam-{d}suen,1
e₂-uš-bar,1
lugal-ku₃]-zu,1
a-hu-wa!(IGI)-qar#,1
ur-{d}nin-urta,1
a]-bi₂-si₂-im-ti,1
ar-ši-[ah],1
bu₃-šu-du,1
en-{d}nanše-ki#-ag₂,1
za-an-num₂,1
a-ad-da-a,1
[...]-i₃-li₂,1
du₁₁-ga-[zi]-da,1
bu₃-lu₅,1
dingir]-ba#-ni,1
[šu]-eš₁₈-dar,1
dingir-ku-zi-ri₂,1
la-ma-zum,1
nam-ti-ab,1
lugal-{d}nanna,1
a#-mur#-dingir#,1
bur-{d}mer,1
ur-[x],1
hu-un-nu-du-uk#,1
{d}[x]-ki-ag₂,1
a-[x,1
ba-[x,1
{d}suen-al-še₃?,1
za-ri?-iq,1
ku-ba-bi₂-a,1
igi-{d}x-x,1
i-šar-kur-ba#-šum#,1
an-e₂-il,1
[{d}en-lil₂]-la₂#,1
za-ab-ra-am,1
za-lu-a,1
gu-du-du,1
ša-ab-ša-nu,1
tu-ra-am-i₃#-li₂,1
EN,1
ni#?-ba?-{d}lamma,1
lu₂-ma-nu-um,1
an-da-TAG#?,1
lu₂-uru₁₁,1
lugal-gub-ba-ni,1
[šu-{d}šul]-gi,1
[na]-ap-la-nu-um,1
[...]-du₁₀#,1
be-li₂-šar,1
na-[lu₅,1
{d}nanna-zi-ša₃#-[gal₂],1
ga-ra-du,1
AN#,1
wa]-ta₂-ru-um,1
si-la,1
{d}]en#-ki,1
bu-ri₂-tum,1
ha-ar-ši-tum,1
ur₂-ra-dingir,1
ab]-ba-sa₆-[ga-ta],1
nin?-{d}nin-gubalag,1
en-um-{d}iškur,1
er₃-ra-ur-sag-ga₂?,1
a]-hu-we-er-ta!,1
EN#,1
ur₄#-ša₃,1
pa₃]-da,1
ki-gam-dingir,1
{d}šu-{d}suen-i-pa₂-la-[ah-{d}en-lil₂],1
[šar-ru]-um-i₃-li₂,1
[{d}šu-{d}suen-la]-ma-ha-ar,1
u₃-ga-a,1
dingir-šu,1
lugal-im-ri-a,1
[i-me-er,1
er₃-ra-dan,1
hal-la-a,1
he₂-du-ut-{d}amar-{d}suen,1
ur-x-[x]-x,1
ta₂-di₃-ki-za,1
ru?-hu,1
šu-ma-ma#,1
[mar]-hu-ni#,1
a₂!(DA)-ge₆-il₂-la,1
ir-du-a,1
nu-ur₂-su₂,1
in-ši-we-er,1
in#-za-mu,1
igi-{d}en-lil₂-še₃#,1
e₂-gu₄-ka,1
{d}en-nimgir-si,1
{d}]en#-lil₂-la₂,1
en-nun-e-{d}amar-[{d}]suen#-ra-ki-ag₂,1
a-lum-me-il-lum,1
ŠIM#,1
ma-ma-keš₂,1
a-na-um-ma,1
ga₂-a-ke₄-eš₂,1
{d}utu-me-lam₂,1
{d}en-lil₂-zi,1
giri₃-{d}nanše,1
[...]-ga,1
ur-[nigar]{gar},1
ši-šar-ra-at,1
[ARAD₂?]-{d#}nanna,1
šu#?-[{d}nin?]-šubur,1
e₂-tum,1
ku-u₃,1
a-tu!(SAR),1
uri₅{ki}-ki-[du₁₀],1
eš₁₈?-dar?-al-šu,1
lugal-an-dul₃,1
pu-du-um-ki-ri-iš,1
u₃-ri-ib,1
[ma]-at-i₃-li₂,1
{d}suen-a-bu-ni,1
{d}nin-lil₂-le-ma-an-ag₂,1
lugal-ur₃-ra-ni-ke₄,1
kas₃?-pu-ša,1
{d}šu-{d}suen-mi-gir-[eš₁₈]-dar,1
a-ba-{d}en-lil₂#-gin₇,1
lu₂#-giri₁₇-zal!,1
u₃-za-ar,1
a-i₃-li₂-su,1
{d}iškur-dan,1
šu-e₂#-a#,1
ma-num₂{ki}-{d}šul-gi,1
ah-ba-bu,1
igi#-kar₂#,1
ze₂-e-ze₂,1
ša₃-gul-lum,1
ra?-bu-tum,1
ba-ba-an-še-[en,1
a-la-la-a,1
i₃-u₃-[ša]-na#-ag₂,1
gir-ri,1
lugal]-ku₃-ga-ni,1
ur?-nigar{gar},1
u₄-nu₂-a-ka,1
ur-ku₃-ga,1
dingir-sa₆-ga,1
[{d}]gu₂-la₂,1
igi-lugal-še₃,1
dingir#-kal,1
an-ti-a,1
[bur]-ma-ma,1
wa-la-la,1
[dingir?]-dan,1
ša-at-e₂-a,1
ur-zu,1
i-ku-un-pi₂-{d}utu,1
[a-hu]-ni,1
ša-da-zi,1
dingir-DI-ma-at,1
[du₁₁-ga]-zi-da,1
a-mur-dingir-lum,1
ur#-{d#}ba#-ba₆#,1
ab]-ba-sa₆#-[ga-ta],1
ma-šum#,1
lu₂#?-giri₁₇-zal,1
a]-ab-ba-ni,1
nu-ur₂-ra-a,1
inim-ma-ni-zi,1
ip#-hur,1
[x]-{d}šul-gi,1
[a₂-bi₂-la-tum,1
u₂-na-ba-tal,1
šu#-er₃-ra,1
al-la-gi-na,1
amar-{d}šul-gi-ra,1
ma-num₂#-[ki-{d}]šul-gi,1
a-bi₂-UD-IŠ?,1
na-ap-la]-num₂,1
dingir-kal,1
zu-hu-ut,1
lu₂-{d}šul-gi,1
nu-ur₂#-[{d}suen,1
ur#-[{d}en-lil₂-la₂],1
uš-gi-na,1
ku₃-{d}nin-ur₄-ra,1
[i]-mi-id-eš₁₈-dar,1
ba-num₂,1
a-tu-ra,1
a-a-[kal-la],1
{d}suen-ma-la-ak-šu,1
šu-kal,1
ta₂-ki-ru-um#,1
nu-ur₂#-[{d}]suen#,1
ur-{d}]nin-kur-ra,1
en-ubur-zi-[an-na,1
i-ši-we-er,1
hu-un-ki-ib-ri,1
sa₃-si₂-še₃,1
lugal-ki-ag₂,1
šu#-la-num₂,1
ba-an-zi-ge,1
{d}šul-gi-ad-lal₃,1
ur-{d}ba-ba₆?,1
[a]-kal-la,1
la-a-la-a,1
ba-ar-ba-na-zu,1
a-bu-du₁₀!,1
lu₂-[{d}nin-gir₂]-su,1
ur-ku₃]-nun-na,1
la-gi-pu-[um],1
[{d}nanna-ma]-ba,1
{d}utu-a₂-dah,1
e₂-ki-bi,1
nig₂-kal-la,1
{d}be-la-at-šu?-gu-nir,1
a-li₂-ah,1
in-ta-e₃,1
en-ur₂-ku₃-ge,1
lu₂-dingir-ra-[ta,1
ši-nu-nu-tum,1
ri-[x],1
kal-la-mu#,1
ur-{d#}nin#-gubalag,1
{d}šul-gi-{d}utu-<mu>,1
sag-du₃,1
{d}nanna-ma!-ba!,1
[ur]-{d}šul-gi-ra,1
še-da-ku-ku,1
hal-i₃-lum,1
la-si₂-ma-nu-um,1
lugal-nig₂-si-sa₂-e,1
na#-lu₅,1
en#-mah-gal-an-na,1
[{d}]suen-a-bu-šu,1
ad-da-[bu-ni]-hu-tah,1
ur-šum,1
i-su-ri₂-iq,1
za-li₂-a,1
ur-{d}bil₂-sag,1
hu-ba-nimgir-si-NI,1
ta₂-din-eš₁₈-dar,1
u₂-tul₂-ma-ma,1
kin-gi₄,1
{d}nin-e₂-gal-e-si,1
inim-zi,1
e-ba-tal,1
lu₂-{d}ma-lik,1
i-zi-a-ri₂-[ik],1
lugal-si-gar,1
i-ki-zu,1
lu₂-da-[x,1
ki-ri₂-bu-ul-me,1
i-la-bu-i-ga-tu,1
ab#-ba-sa₆-ga-ta#,1
bu₃-ka-ka,1
{d}suen-a-bu-šu#,1
ur-{d}tilla?,1
{d}suen-ga-da,1
ma-an-gi,1
hu-su-uz-za-ar-ra-ri,1
pa₂-da-ni,1
ur-{d}ba-[ba₆],1
e₃#-lu-num₂,1
lu₂-{d}en-lil₂,1
ur#-{d#}šul-[pa]-e₃#,1
na-[...,1
lugal-ti-da,1
dabₓ(U₈)-ba,1
dingir]-dan#,1
{d#}en#-lil₂-la₂,1
an-ne₂-ba-ab-du₇,1
ur-ku₃-nun-na-ka#,1
ku-ba-ba-e,1
nu-ur₂]-{d}suen,1
[a]-bu#-du₁₀,1
ezem-{d}[...],1
šu-{d}iš-ha-[ra],1
[maš-tur],1
AN#?,1
tu-ga,1
lu₂-dingir-[ra],1
ur-nigar{gar#?},1
[ur-šu],1
ur-sa₆#,1
[lu₂]-sa₆-ga,1
lugal,1
a-ti,1
ni-a-um,1
gu-zu-zu,1
maš-gal,1
[a]-hu-a,1
[a-hu]-ni#,1
i-din?-er₃-ra,1
ur-ku₃-nun#-na,1
ta₂-ra-am-{d}šul-gi,1
za-ah,1
iš-me-{d}ištaran,1
lugal-{d}utu,1
[ARAD₂-{d}]nanna,1
ta?-gu₄?,1
ku-un-si-ma-tum,1
ad-ga-nu-um,1
dingir-ba-[ni],1
ur-{d}er₃-ra,1
ur-ku₃-nun]-na,1
lu₂-ma₂-gan,1
ša-ba-nu-uk-ša-ba-aš,1
e₂-a-dingir,1
ha-ba-lu₅-<ge₂>,1
za-na-nu-um,1
ur-e₁₁-dam,1
lugal-a₂-[zi-da],1
i-šar-a-ni-iš-su₂,1
ku-li,1
me-{d}nanna?,1
a-ri-ib-hu-ub-bi,1
mu-ur₂-ti-ga-ba,1
nu-da-tum,1
sipa-hi-li,1
lu₂-gu-e₂,1
lugal-ušur₄?,1
lu₂-u₁₈!-um,1
we-du-um,1
še-ilₓ(KAR₂)?-ha,1
hu-bi₂-dam,1
la-muš,1
ki-na-ša-sal,1
šu-ir-ha-an,1
ur-{d}nin-tu,1
i-ta₂-ra-ak-i₃-li₂,1
lu₂#-{d}en-lil₂-la₂,1
[a-ba]-{d}en-lil₂-gin₇,1
šu#?-[...],1
giri₃-gub,1
lu₂-{d}nin#-šubur,1
me-ša#-[nu-nu?],1
la-na],1
[...]-ka,1
[maš]-tur,1
gu₂-lu-ub₂,1
me-gu-um,1
ur-{d}ba-ba₆-[ta,1
lu₂-{d}x,1
en-{d}nanše-[ki]-ag₂#,1
geme₂-sa₆-ga,1
na]-sa₆#,1
{d}]šul-gi-a-a-mu,1
[šu-da-da],1
lu₂-gu-la#?,1
he?-da-ti,1
na-wa-ar-še-en,1
la-ni?,1
wa#-at#-ra-at,1
{d}nanna-lugal,1
{d}šul#-gi-a-a-mu#,1
{d}nin-e₂-gal-igi-du,1
lu₂-ma₂-gan-na,1
en-e-ne,1
x-KA,1
er₃-ra-na-dan,1
zu#-bu-uš,1
inim-dingir-še₃,1
ha-aš-[ma]-nu-um,1
hu-la-li₂,1
ša₃]-ku₃-ge,1
nu-ur₂-{d}suen#?,1
{d}]nanna-ma-ba,1
ur-{d}ašnan,1
{d}šul-gi-an-dul₃,1
i-zu-a,1
ab#-ba-sa₆#-ga#,1
da-šu-ug,1
šar-ru-i₃-li₂,1
gun₄!-na,1
en-u₂-u₂,1
{d}šara₂-a₂-zi-da,1
ab-ba-sa₆-[ga,1
{d}nin-pa,1
be-li₂-a,1
ur-{d}ku₃-nun-na,1
i-šum-ba-ni,1
ga-na-za,1
ba-a-ba-lum,1
nin₉?-kal-la,1
{d}en-lil₂-[la₂,1
PI-tum-bi,1
{d}šu-{d}suen-i₃#-pa₂#-la-ah#-{d}en-lil₂#,1
hu-zi-ri#,1
ša-at-da-ti,1
[ur]-sa₆#-ga,1
ur-{d}asar-lu₂-hi,1
{d}nin#,1
la-ba,1
lu₂-{d}šara₂-ka,1
ur-{d}en-lil₂-[la₂?],1
lugal-pa-e₃#,1
lugal-ka-še₃,1
lugal]-a₂-zi-da,1
ša#-at#-[{d}šu-{d}]suen#,1
gu-ba-ru-um,1
nig₂-se₃-ga,1
wu-u₂,1
a-ti-da,1
u₃-ne,1
ur#-{d}nin-pa,1
i-di₃-šu!-[lum],1
hu!-al-la,1
[{d}]šu-{d}suen-la-ma-ha-ar,1
{d#}en-lil₂-la₂,1
a-tu-ma-ma,1
a₂-bu-ru-ru-ma,1
lugal-dur₂-du₁₀,1
u₄-zu?-ma?,1
ur-{d}]lugal#-banda₃{da},1
KU-x,1
kal-šu-gu,1
lugal-ibila,1
ta₂-hi#-iš-a-tal,1
ur-{d}nanše?,1
da-da-mu,1
a-ga-num₂,1
lu₂#-x,1
en-ki,1
[lugal]-ezem#,1
lugal-siskur,1
šu-eš₁₈-dar?,1
{d}iškur-da-mi-iq,1
ba-ak-i₃-li₂-a,1
hi-li-abzu,1
lugal-banda₃?-x,1
{d}nanna-[ki]-ag₂,1
mu₆-ha-a,1
NE-ša-ah-dingir,1
eš₁₈-dar-il-šu,1
[an-nu]-ni-tum,1
u₂-la-i-li₂,1
ur-{d}nin-da,1
i-la-ak-ra-am,1
ab-ba-sa₆]-ga-[ta],1
ta₂-ki#-ru#-[um],1
am-ma-ti,1
in-ta-e₃-a-ka,1
wa-ta-ru-um,1
a₂-ha-pa₂-tal,1
lu₂#-du₁₀-ga,1
i-bi₂-{d}nu-muš-da,1
ur-dub,1
giri₃#-ni-i₃-sa₆,1
mu-da-nu-um,1
ar-ši-ah!,1
nu-ur₂?-{d}suen,1
du₁₁!-ga-zi-da,1
ga-a-ga-ma,1
[{d}suen]-a-bu-šu,1
nu-ur₂-{d}[suen],1
ta₂-ki-ru#-[um,1
i₃-li₂-aš₂-ra-ni,1
na-ap-la-num₂?,1
e-ma-ma,1
{d}nanna#-ma-ba,1
{d}šu-{d}suen-i₃-[pa₂]-la!-[ah]-{d}en-lil₂,1
er₃-pa₂-dan,1
la#-na#,1
lu₂-{d}[nanna],1
ša-at-bi,1
hi-li#-iš,1
i-ku-mi#-[šar,1
nin-ka,1
tu₃-a-ra-am-{d}da-gan,1
a-gu-du,1
gi-ir-ša-ti,1
ur]-mes#,1
li-pi₂-i₃-sa,1
ab-ba-ni-ir,1
šar-rum-i₃-li₂,1
{d}šu-{d}suen-si-sa₂,1
lu₂-bala-sa₆#-ga,1
a-da-a-ka,1
ma-at-gi₄-gi₄,1
hu-un-ha-ab-bur,1
kur-ti#-lum#?,1
lu₂-banda₃{da},1
i-du-a,1
ur-[šu],1
lugal-ama-na,1
i₃-li₂-a-ti,1
{d}en-lil₂-al-šu,1
[na]-ab-la-nu-um,1
lugal-dumu-gi₇,1
an-ne!,1
lu₂-dingir-[ra,1
a₂-bi₂-la-ti,1
amar-ku₃,1
a-a-x-x,1
e₂-gissu,1
lu₂-giri₁₇#-zal,1
ur#-šu#-ga#-lam#-ma#,1
na]-lu₅,1
šeš-sa₆-ga#?,1
ša₃-ga-na-kum,1
hu-bu-ti-a,1
ma-ma-a,1
{d}nun-x,1
kur-bi-la#-ak,1
gu-du-me-ri-iš,1
a]-kal#-[la],1
ur-li,1
wa-ta₂-[ru-um,1
za-ri-iq,1
e₃-[x,1
na-bi₂-{d}suen#,1
ur]-tilla₃#,1
ur-šu-ga-lam#-[ma],1
bi₂-bi₂-a#,1
[dam]-ki-na,1
lu₂-u₁₈-um],1
nin-he₂-du₇,1
ki-{d}suen#,1
ka-li,1
{d}utu-mu-da,1
a-bi₂-ki-in,1
{d}amar-{d#}suen#,1
zu#-ba-ga,1
ba-za-mu,1
li-ba-na-aš-gu-bi,1
an-na-hi-li-bi,1
ma-aš₂,1
{d}šu-{d}suen-la-ma-har,1
i₃-li₂-iš-ba-ba,1
a-hi-ma,1
lu₂?-[...],1
ur-še₃,1
[šeš]-zi-mu,1
dara₃-abzu,1
[a-hu-a],1
igi#-kar₂,1
hu-un-gi₄-la-ah,1
bu-zu-zu,1
i-bi₂-[{d}suen,1
ti-ze₂-ma-ma,1
e₂-a-ni-ša,1
u₄-sa₆-ga-mu,1
bil₂-li,1
ARAD₂#?-{d}nanna,1
ne-gi-bu-um,1
{d}nin-lil₂-tum-nu-ri,1
ab-ba#-sa₆#-ga,1
šu-a-ba,1
i-šar-ki-in,1
gul-ku-nu-um,1
ur-{d}[...],1
hu-ul-li-bar,1
nig₂-šu-ba-ba#,1
lu₂-{d}nanna#?,1
a-bi₂-a-ti#?,1
lu₂-a₂-a,1
[{d}en]-lil₂-la₂,1
ba-ak-ti,1
hal!-li₂-a,1
{d}nanše-GIR₂@g-gal,1
bu-bu,1
en#-nun-e-{d}amar#-[{d}suen]-ra-ki-ag₂,1
ne-[ni]-la,1
PI-bi₂-il,1
er₃#-re-šum,1
{d}]i#-bi₂#-{d#}[suen],1
{d}šu-{d}suen-ba-ni,1
nig₂-pa,1
ki-{d}utu-ga,1
ur#-e₂-dar-a,1
na-ab-[la-num₂],1
[lu₂]-dingir-ra,1
a-ma,1
ad#-da#-sa₆-ga,1
zu-la-la,1
az-bu,1
hu-un-ha-ab-ur,1
še-[el]-ha-ha,1
gur₈-gur₈-me-gal₂,1
[a]-a-kal-la,1
za-a-nu-um,1
[ur]-tilla₅,1
{d}šul-gi-ad-mu,1
ur-{d}ha-[ia₃,1
ur#-[{d}ba-ba₆?],1
{d}a-ma-ga,1
ur-{d}nusku,1
en-mah-gal-an-[na],1
i₃-lum-{d}suen,1
a-bu-bu,1
ur-{d}li₉-si₄-na,1
u₂-ga-ab-bi-ir,1
{d}nanna-igi-du#,1
x-du-du,1
ur-am₃-ma,1
ur#-{d}suen,1
SIG₇,1
ur-{d}[šul-gi]-ra,1
lugal-i₃-sa₆,1
na-he₂-zi,1
pe-ru-ru-ti,1
i-di₃-lum,1
{d}šul-gi-ra-ke₄,1
ur-{d}KA#,1
lugal-u₄-su₃-[še₃,1
a-wa-ar,1
du₁₁-ga#-[zi-da,1
ta₂-hi-iš-a-tal#,1
ši-dam-qa₂-at,1
ur-uš-gid₂]-da,1
ur-ku₃-[nun-na,1
lu₂-{d}iškur,1
{d}i]-bi₂#-{d}suen,1
in-ta-e₃#-a#-ta#,1
<ARAD₂>-u₃!,1
un-da,1
{[d]}suen#-a#-bu#-[šu],1
e-pi-ri,1
[{d}]šul#-gi-[ke₄,1
ur-{d}lugal-banda₃#[{da}],1
bi₂-za-ti,1
[i₃-li₂-{d}da-gan],1
lu₂-{d}da#-mu,1
a₂-bi₂-la-tum#,1
{d}]be-la-at-<suh₆>-ner,1
ša₃-gu₄],1
li#-ša#-nu-um,1
er₃-ra-ur-sag-[ga₂],1
lugal-nesag-e#,1
igi-sa₆-sa₆-ge,1
sa₃-si₂-ka,1
ra-ba-il,1
ur-ga₂-gi₄-a,1
ku-e-la-ak,1
er₃-tum-il-šu,1
a-ad-[da],1
nu-[ur₂-{d}suen,1
{d}en#-[ki],1
šu-ma-mi-tum,1
ur-šuš₃-{d}ba-ba₆,1
{d}šul-gi-na-gir-ti,1
ur-{d}gilgames₃,1
bur-na-zu,1
ur-{d}hendur#-sag,1
mi-da-a,1
na-na#-u₃#,1
{d}šul-gi-zi-mu,1
lu₂-{d}[nanše],1
li-pa₂-an-aš-ku₈-pi₂,1
mar-da-ba-nu-um,1
ur-{d}lugal-edin-ka,1
li-ba-nu-ug-[ša]-ba-aš,1
ar-za-nu-um,1
šeš!-da-da,1
šeš-šeš,1
{d}i-bi₂-[{d}suen],1
a-pi-la-ša,1
u₂-la-li₂-iš,1
[{d}]nanna-igi-du,1
ur-ki-ku₃-ga,1
u₂-u₂-kal-la,1
inim-{d}x,1
i₃#-li₂-tab-ba,1
lugal-inim-gi#-na#,1
a!-bi₂-du₁₀,1
