name,number of transactions
ka₅-a-mu,6
ib-ni-dingir,6
lu₂-{d}en-ki,6
aq-ba-ni,5
šu-da-da,5
na-du-be-li₂,5
i-ku-mi-šar,5
a-ri-du-bu-uk,5
[...]-a,5
lu₂-gi-na,5
ša-at-{d}suen,5
ša₃-ta-ku₃-zu,5
ur-{d}ištaran,5
šu-{d}utu,5
i-di₃-a,5
za-an-nu-um,5
ur-nigar,5
{d}nanna-i₃-gi,5
ki-ri-ib-ul-me,5
{d}šul-gi-ba-ni,5
e₂-a-ba-ni,5
{d}šul-gi-{d}lamma-mu,5
a-hu-šu-ni,5
bu-du-ur₂,5
pu₃-um-wa-qar,5
SI-A-a,5
nigar{gar}-ki-du₁₀,5
šu-ab-ba,5
{d}šul-gi-ra,5
lu₂-[...],5
nu-ur₂-eš₁₈-dar,5
dingir-a-zu,5
tah-ša-tal,5
a₂-bi₂-lum,5
na-ra-am-i₃-li₂,5
la-gi-pu-um,5
bi₂-zu-a,5
al-la,5
{d}utu-du₁₀,5
lugal-mu,5
lu₂-{d}utu,5
ur-{d}šar-ru-gin₇,5
geme₂-{d}en-lil₂-la₂,5
nam-zi-tar-ra,5
na-ha-pa₂-tal,5
a-lu-a,5
ba-a-a,5
{d}suen-ba-ni,5
i-ri-ib,5
ur-{d}nin-geš-zi-da,5
ur-{d}nin-mug,5
en-dingir-mu,5
ad-da-gi-na,5
an-nu-ni-tum,5
be-li₂-i₃-li₂,5
be₆-bu-ru,5
ur-{d}šu-{d}suen,5
i-bi₂-{d}suen,5
ur-uš-gid₂-da,4
dingir-ra-bi₂,4
zu-hu-tum,4
ur-dam,4
ri-mi-dingir,4
hu-na-zi,4
di-ku₅-i₃-li₂,4
sipa-si-in,4
a-hu-du₁₀,4
hu-un-{d}šul-gi,4
a-da-a,4
{d}nanše-kam,4
ur-{d}nanna,4
te-u₃,4
nin-ha-ma-ti,4
ha-la-a,4
gu-ra-a,4
lu₂-{d}nanna#,4
lugal-nam₂-mah,4
zu-u₂-zu,4
šu-ru-uš-ki-in,4
[{d}]suen#-a-bu-šu,4
{d}lamma-igi-du,4
ur-{d}nin-sun₂,4
nig₂-{d}ba-ba₆,4
nam-ha-ni-bi,4
i-di₃-er₃-ra,4
i-din-{d}suen,4
na-ah-ba-tum,4
im-lik-e₂-a,4
ba-na-na,4
lu₂-giri₁₇-zal,4
{d}nisaba-an-dul₃,4
hal-hal-la,4
dingir-sukkal,4
a-ab-ba-a,4
lugal-ni-mah,4
i-zu-sa-bar,4
li-ba-nu-ug-ša-ba-aš,4
in-za-mu,4
a-ab-ba-ni,4
e₂-a-i₃-li₂,4
lugal-engar-du₁₀,4
{d}šul-gi-{d}nanše-ki-ag₂,4
e₂-gu₄,4
{d}šul-gi-al-mah,4
be-li₂-ba-ni,4
ur-{d}ha-ia₃,4
tab-ba-i₃-li₂,4
{d}nanna-ma-[ba],4
qu₂-ra-ad-i₃-li₂,4
ur-x,4
ur-ki-gu-la,4
la-la-a,4
{d}x]-{d}suen,4
da-a-a-ni,4
ki-tuš-lu₂,4
u-bar-tum,4
i-bi₂-zu,4
ur-{d}utu,4
nu-ur₂-ma,4
ri-ib-hu-ti,4
lu₂-kar-zi-da,4
iš-me-{d}da-gan,4
{d#}nanna#-ma-ba,4
hu-un-nu-um,4
ab-ba-gi-na,4
a-a-mu,4
{d}nin-ti₂-ug₅-ga,4
{d}iškur-illat,4
ur-[...],4
i-tu-a,4
ab#-ba-sa₆-ga,4
nu-ur₂-zu,4
bu-ku-šum,4
lugal-ša₃-la₂,4
ba-ba-lum,4
ama-zi-mu,4
e₂-a-ra-bi₂,4
ad-da-sa₆-ga,4
ab-ba-sa₆#-ga,3
a₂-ge₆-ba-a,3
inim-{d}inanna,3
[igi-kar₂],3
ba-a-ga,3
lugal-pa-e₃,3
{d}šu-{d}suen-i-pa₂-la-ah-{d}en-lil₂,3
ur-{d}da-mu,3
geme₂-bara₂-si-ga,3
mi-da-nu-um,3
a-mur-e₂-a,3
bi₂-bi₂-a,3
lugal-nir-gal₂,3
ta₂-hi-še-en,3
ba-sa₆,3
zi-im-zi-la-ah,3
šu-na-mu-gi₄,3
{d}be-la-at-suh-ner,3
u-bar-um,3
a-bu-ni,3
ur#-{d}ba-ba₆,3
er₃-ra-ur-sag,3
{d}šul-gi-pa-li₂-il,3
ba-ba-ti,3
er₃-re-eb,3
šu-ku₈-bu-um,3
an-na-hi-li,3
ur-{d}dumu-zi,3
er₃-ra-na-da,3
ku-un-ši-ma-tum,3
ki-ri₂-ib-ul-me,3
{d}šu-{d}suen-na-ra-am-{d}en-lil₂,3
a-mur-{d}suen,3
u₂-la-i₃-li₂-iš,3
ni-im-zi,3
a-bi₂-a-bi-ih,3
[ARAD₂]-{d}nanna,3
i-di₃-{d}suen,3
igi-{d}en-lil₂-še₃,3
um-me,3
li-bur-{d}šul-gi,3
ta₂-hi-iš-a-tal,3
ur-du₆,3
{d}nanna-[ma]-ba,3
ab-ba-sa₆-ga-ka,3
ur#-mes,3
i-ša-we-er,3
da-sal-ib-ri,3
kur-ti-lum,3
ha-da-ti,3
{d}šu-{d}suen-ha-ma-ti,3
a-bi₂-a,3
da-da-ni,3
ha-li₂-li₂,3
{d}šu-{d}suen-si-sa₂-še₃,3
i₃-da-ga,3
ba-ba-an-še-en₆,3
ur-{d}en-ki,3
u₂-gu-la,3
ru-ba-tum,3
ur-{d}x,3
ku₅-da-mu,3
sal-mah,3
gu₃#-de₂-a,3
a₂-na-na,3
bu₃-ša-am,3
li-ša-num₂,3
ša-lim-be-li₂,3
en-mah-gal-[an]-na,3
a-a-dingir-mu,3
hi-li-a,3
du-šu-mu-um,3
ma-ar-hu-ni,3
{d}utu-bar-ra,3
a-hu-um-ba-ni,3
šu-{d}en-lil₂-la₂,3
ba-ba-an-še-en,3
ku-ba-tum,3
ab-ba-sa₆-[ga],3
a-kal-la,3
NE-NE,3
wa-wa-ti,3
šar-ru-ba-ni,3
u₄-nu₂-a-ka-na,3
{d}šu-{d}suen-i₃-pa₂-la-ah-{d}en-lil₂,3
nu-x,3
amar-ma-ma,3
ur-{d}nun-gal,3
im-ti-dam,3
a-mu-a,3
it-hi-pa₂-tal,3
ku-da-num₂,3
ib-ni-{d}suen,3
amar-{d}da-mu,3
er₃-ra-nu-id,3
ba-mu,3
a₂-bi₂-la-ša,3
a-ha-an-si-bu,3
lu₂-[{d}nin-gir₂-su,3
