Word, Frequency, List of Sumerian Words
cord, 9, ['gu']
cvne, 9, ['ugu', 'na', 'HI', 'en']
go around, 9, ['dub']
laborer, 9, ['saŋdub']
lard, 9, ['išah']
sit, 9, ['tuš']
white, 9, ['babbar']
apple, 8, ['hašhur']
bag, 8, ['duggan']
bed, 8, ['ŋešnud']
bitumen, 8, ['esir']
condiment, 8, ['gazi']
find, 8, ['pad']
grass, 8, ['u']
implement, 8, ['umbin']
night, 8, ['ŋi']
pour, 8, ['de']
red, 8, ['su', 'dara']
sickle, 8, ['kin']
skull, 8, ['ugu']
speckled, 8, ['gunu']
strap, 8, ['saŋkešed']
thick, 8, ['gur', 'peš']
tool, 8, ['ba']
work, 8, ['kiŋ']
bale, 7, ['guniŋin']
barber, 7, ['šuʾi']
bran, 7, ['duh']
brother, 7, ['šeš']
clear, 7, ['sig']
coriander, 7, ['šelu']
disappear, 7, ['zah']
fill, 7, ['si']
general, 7, ['šakkanak']
hang, 7, ['la']
impose, 7, ['ri']
leave, 7, ['e']
locus, 7, ['kiʾanaŋ', 'sur', 'kiʾana', 'ŋešanaŋ', 'kisur', 'kiʾutu', 'dukug']
lustration, 7, ['atua']
plant, 7, ['maš', 'adar', 'gugutum', 'hab']
ram, 7, ['udunita']
sailor, 7, ['malah']
smaller, 7, ['didila']
son, 7, ['dumunita']
clay, 6, ['im']
double, 6, ['tab']
dry, 6, ['ah', 'šarag']
fibers, 6, ['mangaga']
fig, 6, ['peš']
flesh, 6, ['su', 'uzu']
fodder, 6, ['murgu']
gift, 6, ['niŋba', 'kadra', 'sarig', 'niŋmussa']
give, 6, ['šum']
kill, 6, ['gaz']
know, 6, ['zu']
lady, 6, ['nin']
lentil?, 6, ['gutur']
malt, 6, ['munu']
messenger, 6, ['kiŋgia']
musician, 6, ['nar']
poplar, 6, ['asal']
reeds, 6, ['ninni']
rejoice, 6, ['hul']
shield, 6, ['duksium']
skin, 6, ['kuš']
thing, 6, ['niŋ']
tiller, 6, ['apinla']
unmng, 6, ['ŋešgid', 'luga', 'darag', 'era', 'zagaba', 'gur', 'barakara', 'igigi', 'niŋdaga']
way, 6, ['kaskal']
weir, 6, ['kunzida']
winnow?, 6, ['sal']
~silver, 6, ['NE']
abandon, 5, ['taka']
beam, 5, ['ŋušur']
beloved, 5, ['kiʾaŋa']
booty, 5, ['namraʾak']
bull, 5, ['am']
cake, 5, ['gug']
egg, 5, ['nunuz']
flax, 5, ['gada']
grow, 5, ['mu']
herdsman, 5, ['udul', 'nagada']
leatherworker, 5, ['ašgab']
merchant, 5, ['damgar']
miller, 5, ['kinkin']
pole, 5, ['nindan', 'gabatab', 'gimuš']
prince, 5, ['nun']
right, 5, ['zid']
space, 5, ['dalbana']
storehouse, 5, ['ŋanun', 'šutum']
vine, 5, ['ŋeštin']
attendant, 4, ['ŋirsiga']
back, 4, ['eden', 'egir']
bowl, 4, ['burzi']
carpenter, 4, ['nagar']
city, 4, ['iri']
doorkeeper?, 4, ['atu']
foreigner, 4, ['ubar']
goose, 4, ['kurgi', 'u', 'šuʾura']
granary, 4, ['idub']
herd, 4, ['KUr', 'niŋki']
inspection, 4, ['gurum']
mouth, 4, ['kag']
nail, 4, ['gag']
