name,role,profession,p id,year,processed year
i-ri-ib,['intermediary'],None,100329,Amar-Suen.08.06.00,74.0600
e-la-ak-nu-id,['intermediary'],None,100329,Amar-Suen.08.06.00,74.0600
ab-ba-sa₆-ga,['source'],None,100329,Amar-Suen.08.06.00,74.0600
nu-ur₂-{d}suen,['recipient'],None,100329,Amar-Suen.08.06.00,74.0600
ab-ba-sa₆-ga,['source'],PN,100330,Amar-Suen.04.01.00,70.0100
ab-ba-sa₆-ga,['recipient'],None,100331,Amar-Suen.03.06.20,69.0620
er₃-re-šum,['intermediary'],šarrabdu[administrator],100332,Shu-Suen.08.05.00,83.0500
na-lu₅,['source'],None,100335,Shulgi.47.01.00 (us2 year),65.0100
ur-nigar{gar},['recipient'],None,100335,Shulgi.47.01.00 (us2 year),65.0100
lu₂-dingir-ra,['source'],None,100336,Shulgi.46.08.00,64.0800
na-sa₆,['recipient'],None,100336,Shulgi.46.08.00,64.0800
ur-nigar{gar},['recipient'],None,100337,Shulgi.47.01.22 (us2 year),65.0122
ur-nigar{gar},['recipient'],None,100338,Amar-Suen.02.08.00,68.0800
ur-nigar[{gar}],['recipient'],None,100339,Amar-Suen.03.02.00,69.0200
ur-mes,['intermediary'],None,100342,00.00.00.00,
na-ra-am-i₃-li₂,['source'],None,100346,Shulgi.38.04.00 (us2 year),56.0400
lu₂-sa₆-i₃-zu,['recipient'],None,100564,Shulgi.44.00.00,62.0000
nigar{gar}-ki-du₁₀,['intermediary'],None,100591,Shulgi.35.00.00 (us2 year),53.0000
la-ni-mu,['recipient'],None,100608,Shulgi.45.00.00,63.0000
ARAD₂-e₂-ninnu,['recipient'],None,100616,00.00.00.00,
lu₂-{d}er₃-ra,['source'],None,100617,00.00.00.00,
ha-lu₅-lu₅,['recipient'],None,100617,00.00.00.00,
ur-{d}suen,['source'],None,100618,--.--.--.--,
gu-du-du,['source'],None,100625,Shu-Suen.03.00.00,78.0000
lugal-mas-su,['intermediary'],None,100628,--.--.--.--,
ur-ba-gara₂,['recipient'],None,100643,Shulgi.35.00.00 (us2 year),53.0000
ARAD₂,['source'],None,100644,Shulgi.37.00.00,55.0000
lugal-e-ba-<an>-sa₆,['recipient'],None,100644,Shulgi.37.00.00,55.0000
bu₃-u₂-du,['source'],None,100645,Shulgi.42.00.00,60.0000
lugal-e-ba-an-sa₆,['recipient'],None,100645,Shulgi.42.00.00,60.0000
nin₉-tur-tur-ra,['source'],None,100656,00.00.00.00,
si-NE-e,['source'],None,100656,00.00.00.00,
[...]-la,['source'],None,100658,--.--.--.--,
{d}šara₂-a-zi,['source'],None,100661,Shulgi.44.00.00,62.0000
ARAD₂,['source'],None,100673,Shulgi.45.00.00,63.0000
lu₂-sa₆-i₃-zu,['recipient'],None,100673,Shulgi.45.00.00,63.0000
lu₂-bulug₃-ga₂,['recipient'],None,100678,Shulgi.39.00.00,57.0000
ba-sa₆,['recipient'],None,100681,Shulgi.33.00.00 (us2 year),51.0000
ur-e₁₁-e,['source'],None,100681,Shulgi.33.00.00 (us2 year),51.0000
ba-sa₆,['recipient'],None,100681,Shulgi.33.00.00 (us2 year),51.0000
ur-{d}šara₂,['recipient'],dumu[child],100691,Shulgi.46.00.00,64.0000
{d}šara₂-i₃-sa₆,['recipient'],None,100691,Shulgi.46.00.00,64.0000
ur-ru,['source'],None,100699,Shulgi.37.00.00,55.0000
a-kal-la,['recipient'],None,100699,Shulgi.37.00.00,55.0000
ab-ba-gi-na,['intermediary'],unud[cowherd],100739,Shulgi.48.00.00,66.0000
sagi-ne,['intermediary'],None,100746,Amar-Suen.02.00.00,68.0000
giri₃-ni-i₃-sa₆,['source'],None,100751,Amar-Suen.02.00.00,68.0000
da-umma{ki},['recipient'],None,100752,Amar-Suen.03.00.00,69.0000
da-da-ga,['source'],None,100768,--.--.--.--,
ur-{d}dumu-zi-da,['recipient'],None,100768,--.--.--.--,
lugal-{geš}kiri₆,['source'],None,100769,Shulgi.33.00.00 (us2 year),51.0000
a-kal-la,['recipient'],None,100769,Shulgi.33.00.00 (us2 year),51.0000
{d}šara₂-za-me,['source'],None,100771,Shulgi.44.00.00,62.0000
da-da-ga,['recipient'],None,100776,Shulgi.44.00.00,62.0000
ki-lu₅-la,['source'],None,100782,Shulgi.37.00.00,55.0000
ma-an-ba,['source'],None,100782,Shulgi.37.00.00,55.0000
nigar{gar}-ki-du₁₀,['source'],None,100782,Shulgi.37.00.00,55.0000
a-kal-la,['source'],None,100782,Shulgi.37.00.00,55.0000
ur-{geš}gigir,['source'],None,100783,Shulgi.46.00.00,64.0000
da-da-ga,['recipient'],None,100783,Shulgi.46.00.00,64.0000
na-silim,['source'],None,100784,Shulgi.46.00.00,64.0000
da-da-ga,['recipient'],None,100784,Shulgi.46.00.00,64.0000
lugal-ušurₓ(|LAL₂.TUG₂|),['source'],None,100792,Shu-Suen.09.00.00,84.0000
gu-du-du,['recipient'],None,100792,Shu-Suen.09.00.00,84.0000
uš-mu,['source'],None,100794,Shu-Suen.09.00.00,84.0000
gu-du-du,['recipient'],None,100795,Ibbi-Suen.01.00.00,85.0000
uš-mu,['source'],None,100795,Ibbi-Suen.01.00.00,85.0000
gu-du-du,['recipient'],None,100795,Ibbi-Suen.01.00.00,85.0000
gu-du-du,['recipient'],None,100797,Ibbi-Suen.01.00.00,85.0000
šeš-kal-la,['intermediary'],None,100797,Ibbi-Suen.01.00.00,85.0000
šeš-kal-la,['intermediary'],dumu[child],100798,--.--.--.--,
[lugal]-ezem,['recipient'],None,100799,Shulgi.43.00.00,61.0000
da-da-ga,['recipient'],None,100810,Shulgi.46.00.00,64.0000
ur-e₁₁-e,['source'],None,100811,"Shulgi.34.00.00, Shulgi.35.00.00 (us2 year)",52.0000
ur-ama-na,['source'],None,100819,Shulgi.36.06.00,54.0600
ur-{d}iškur,['recipient'],None,100819,Shulgi.36.06.00,54.0600
gu-du-du,['recipient'],None,100837,Shu-Suen.07.00.00,82.0000
ad-da-sa₆-ga,['intermediary'],agaʾus[soldier],100967,Amar-Suen.07.01.04 (us2 year),73.0104
ARAD₂-mu,['representative'],None,100967,Amar-Suen.07.01.04 (us2 year),73.0104
šu-ma-ma,['source'],None,100967,Amar-Suen.07.01.04 (us2 year),73.0104
ur-nigar{gar},['recipient'],None,100974,Shulgi.46.10.17,64.1017
ARAD₂-mu,['representative'],None,100975,Shulgi.47.04.20 (us2 year),65.0420
na-sa₆,['source'],PN,100975,Shulgi.47.04.20 (us2 year),65.0420
na-sa₆,['source'],None,100976,Shulgi.47.05.00 (us2 year),65.0500
šu-{d}idim,['recipient'],None,100976,Shulgi.47.05.00 (us2 year),65.0500
la-muš,['intermediary'],lu[person],100977,Shulgi.48.07.19,66.0719
na-sa₆,['recipient'],None,100977,Shulgi.48.07.19,66.0719
ur#-nigar#{gar},['new owner'],None,100978,Shulgi.47.08.11 (us2 year),65.0811
za-a-an-nu-um,['new owner'],sipad[shepherd],100978,Shulgi.47.08.11 (us2 year),65.0811
ku-na-ma#-tum,['new owner'],MAR.TU[westerner],100978,Shulgi.47.08.11 (us2 year),65.0811
a-a-kal-la,['representative'],None,100978,Shulgi.47.08.11 (us2 year),65.0811
ur-nigar{gar},['recipient'],None,100978,Shulgi.47.08.11 (us2 year),65.0811
na-sa₆#,['source'],None,100978,Shulgi.47.08.11 (us2 year),65.0811
na-lu₅,['source'],None,100980,Shulgi.48.06.13 (us2-us2 year),66.0613
na-sa₆,['recipient'],None,100980,Shulgi.48.06.13 (us2-us2 year),66.0613
ab-ba-sa₆-ga,['recipient'],None,100982,Amar-Suen.05.07.06,71.0706
ab-ba-sa₆-ga,['recipient'],None,100983,"Amar-Suen.05.12.01, Amar-Suen.05.12.02, Amar-Suen.05.12.03, Amar-Suen.05.12.04, Amar-Suen.05.12.07, Amar-Suen.05.12.08, Amar-Suen.05.12.09, Amar-Suen.05.12.10, Amar-Suen.05.12.11, Amar-Suen.05.12.12, Amar-Suen.05.12.13, Amar-Suen.05.12.14, Amar-Suen.05.12",71.1201
šu-ab-ba,['intermediary'],sukkal[secretary],100984,Amar-Suen.08.08.29,74.0829
ARAD₂-mu,['representative'],None,100984,Amar-Suen.08.08.29,74.0829
zu-ba-ga,['source'],None,100984,Amar-Suen.08.08.29,74.0829
ARAD₂-mu,['representative'],None,100985,Shu-Suen.04.09.02,79.0902
ur-ku₃-nun-na,['source'],None,100985,Shu-Suen.04.09.02,79.0902
nu-ur₂-{d}iškur,['intermediary'],dubsar[scribe],100985,Shu-Suen.04.09.02,79.0902
{d}nanna-igi-du,['representative'],šagia[cup-bearer],100986,Shu-Suen.06.09.14,81.0914
ur-sukkal,['intermediary'],sukkal[secretary],100986,Shu-Suen.06.09.14,81.0914
ARAD₂-mu,['representative'],None,100986,Shu-Suen.06.09.14,81.0914
tu-ra-am-{d}da-gan,['representative'],None,100986,Shu-Suen.06.09.14,81.0914
a]-ba-{d}en-lil₂-gin₇,['source'],None,100986,Shu-Suen.06.09.14,81.0914
lu₂-{d}nin-šubur,['intermediary'],dubsar[scribe],100986,Shu-Suen.06.09.14,81.0914
lu₂-{d}en-lil₂,['intermediary'],None,100987,Shu-Suen.06.00.20,81.0020
lugal-ma₂-gur₈-re,['representative'],None,100990,Ibbi-Suen.02.01.00,86.0100
a₂-bi₂-li₂-a,['recipient'],None,100992,Shulgi.38.06.00 (us2 year),56.0600
a₂-bi₂-li₂-a,['source'],None,100993,"Shulgi.40.01.20 (us2 year), Shulgi.40.01.22 (us2 year)",58.0120
ab-ba-sa₆-ga,['source'],None,100994,Amar-Suen.06.02.08,72.0208
a-hu-we-er,['recipient'],None,100994,Amar-Suen.06.02.08,72.0208
ab-ba-sa₆-ga,['source'],None,100995,Amar-Suen.06.08.00,72.0800
be-li₂-a-ri-ik,['recipient'],None,100996,"Shulgi.43.03.10, Shulgi.43.03.14",61.0310
na-sa₆,['source'],None,100997,Shulgi.44.04.00,62.0400
a-hu-ni,['source'],None,100998,Shulgi.44.04m.21 (intercalated) =? Shulgi.45.04.21 (intercalated?) ,62.0421
ur-nigar{gar},['recipient'],None,100998,Shulgi.44.04m.21 (intercalated) =? Shulgi.45.04.21 (intercalated?) ,62.0421
en-dingir-mu,['source'],None,101000,Shulgi.47.02.01 (us2 year),65.0201
ur-nigar{gar},['recipient'],None,101000,Shulgi.47.02.01 (us2 year),65.0201
lugal-inim-gi-na,['intermediary'],None,101001,Amar-Suen.01.03.00,67.0300
na-sa₆,['source'],None,101001,Amar-Suen.01.03.00,67.0300
{d}en-lil₂-la₂,['recipient'],None,101001,Amar-Suen.01.03.00,67.0300
na-lu₅,['source'],None,101002,Amar-Suen.03.06.30,69.0630
{d}šul-gi-iri-mu,['recipient'],None,101002,Amar-Suen.03.06.30,69.0630
ab-ba-sa₆-ga,['source'],None,101003,Amar-Suen.04.08.00,70.0800
{d}nanna-zi-ša₃-gal₂,['recipient'],None,101003,Amar-Suen.04.08.00,70.0800
ab-ba-sa₆-ga,['source'],None,101004,Amar-Suen.04.08.17,70.0817
{d}šul-gi-a-a-mu,['recipient'],None,101004,Amar-Suen.04.08.17,70.0817
ab-ba-sa₆-ga,['source'],None,101005,Amar-Suen.07.08.13,73.0813
na-lu₅,['recipient'],None,101005,Amar-Suen.07.08.13,73.0813
ab-ba-sa₆-ga,['source'],None,101006,Amar-Suen.07.08.30,73.0830
in-ta-e₃-a,['recipient'],None,101006,Amar-Suen.07.08.30,73.0830
ab-ba-sa₆-ga,['source'],None,101007,Amar-Suen.07.12.00,73.1200
ab-ba-sa₆-ga,['source'],None,101008,Amar-Suen.07.09.25,73.0925
in-ta-e₃-a,['recipient'],None,101008,Amar-Suen.07.09.25,73.0925
ab-ba-sa₆-ga,['source'],None,101009,Amar-Suen.07.09.28,73.0928
in-ta-e₃-a,['recipient'],None,101009,Amar-Suen.07.09.28,73.0928
ab-ba-sa₆-ga,['source'],None,101010,Amar-Suen.07.09.28,73.0928
in-ta-e₃-a,['recipient'],None,101010,Amar-Suen.07.09.28,73.0928
{d}nanna-ma-ba,['source'],None,101011,Ibbi-Suen.02.07.00,86.0700
ab-ba-sa₆-ga,['source'],PN,101013,Amar-Suen.09.01.28,75.0128
lu₂-sa₆-ga,['intermediary'],dubsar[scribe],101013,Amar-Suen.09.01.28,75.0128
al-lu,['source'],None,101014,Shu-Suen.01.04.00,76.0400
