Id,Label,text,fn,gf,clan,role,date,p_num
267,Dumqi-Anu,BiMes 24 25,Anu-belšunu,,Luštammar-Adad,father,HE.SE.155.07.06 ,P342231
268,Anu-ittannu,BiMes 24 25,Anu-ušallim,,Luštammar-Adad,father,HE.SE.155.07.06 ,P342231
269,Anu-ušallim,BiMes 24 25,,,Luštammar-Adad,grandfather,HE.SE.155.07.06 ,P342231
270,Luštammar-Adad,BiMes 24 25,,,,clan,HE.SE.155.07.06 ,P342231
271,Labaši,BiMes 24 25,Lišir,,Gimil-Anu,father,HE.SE.155.07.06 ,P342231
272,Gimil-Anu,BiMes 24 25,,,,clan,HE.SE.155.07.06 ,P342231
273,Anu-belšunu,BiMes 24 25,,,Luštammar-Adad,grandfather,HE.SE.155.07.06 ,P342231
274,Luštammar-Adad,BiMes 24 25,,,,clan,HE.SE.155.07.06 ,P342231
275,Lišir,BiMes 24 25,Anu-ahhe-iddin,,Gimil-Anu,father,HE.SE.155.07.06 ,P342231
276,Anu-ahhe-iddin,BiMes 24 25,,,Gimil-Anu,grandfather,HE.SE.155.07.06 ,P342231
277,Gimil-Anu,BiMes 24 25,,,,clan,HE.SE.155.07.06 ,P342231
278,Anu-ahhe-iddin],BiMes 24 25,Nikarchos] ,,Ah'utu,father,HE.SE.155.07.06 ,P342231
279,Nikarchos] ,BiMes 24 25,,,Ah'utu,grandfather,HE.SE.155.07.06 ,P342231
280,Ah'utu,BiMes 24 25,,,,clan,HE.SE.155.07.06 ,P342231
281,Lišir,BiMes 24 25,,,Gimil-Anu,grandfather,HE.SE.155.07.06 ,P342231
282,Ah'utu,BiMes 24 25,,,,clan,HE.SE.155.07.06 ,P342231
283,Nikarchos,BiMes 24 25,,,Ah'utu,grandfather,HE.SE.155.07.06 ,P342231
