,Name,id_word,CDLI No,role,profession,Original date,Converted Date
0,ur-{d}dam-gal-nun-na[]PN,P142785.4.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
1,ur-{d}šul-pa-e₃[]PN,P142785.6.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
2,{d}šul-gi-i₃-li₂[]PN,P142785.16.1,P142785,recipient,,IS01 - 07 - 00,85.07
3,lu₂-giri₁₇-zal[]PN,P142785.17.2,P142785,intermediary,,IS01 - 07 - 00,85.07
4,{d}i-bi₂-{d}suen[]PN,P142785.19.2,P142785,,lugal[king]N,IS01 - 07 - 00,85.07
5,ur-{d}dam-gal-nun-na[]PN,P142785.23.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
6,ur-{d}šul-pa-e₃[]PN,P142785.25.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
7,{d}šul-gi-i₃-li₂[]PN,P142785.35.1,P142785,new owner,,IS01 - 07 - 00,85.07
8,lu₂-giri₁₇-zal[]PN,P142785.36.2,P142785,intermediary,,IS01 - 07 - 00,85.07
9,{d}i-bi₂-{d}suen[]PN,P142785.39.2,P142785,,lugal[king]N,IS01 - 07 - 00,85.07
10,{d}i-bi₂-{d}suen[]PN,P142785.42.1,P142785,,lugal[king]N,IS01 - 07 - 00,85.07
11,{d}šul-gi-i₃-li₂[]PN,P142785.47.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
12,šu-{d}šul-gi[]PN,P142787.3.3,P142787,,nubanda[overseer]N,SS05 - 06 - 12,80.0612
13,šu-i₃-li₂[]PN,P142787.4.3,P142787,,nubanda[overseer]N,SS05 - 06 - 12,80.0612
14,ur-{d}nin-kur-ra[]PN,P142787.9.1,P142787,,ensik[ruler]N,SS05 - 06 - 12,80.0612
15,lugal-a₂-zi-da[]PN,P142787.12.1,P142787,,šabra[administrator]N,SS05 - 06 - 12,80.0612
16,in-ta-e₃-a[]PN,P142787.19.1,P142787,recipient,,SS05 - 06 - 12,80.0612
17,nu-ur₂-{d}suen[]PN,P142787.20.2,P142787,intermediary,dubsar[scribe]N,SS05 - 06 - 12,80.0612
18,ba-na-nu-um[]PN,P142788.6.1,P142788,,nubanda[overseer]N,SH48 - 12 - 20,66.122
19,nir-i₃-da-gal₂[]PN,P142788.8.1,P142788,,,SH48 - 12 - 20,66.122
20,a-da-tum[]PN,P142788.10.3,P142788,,,SH48 - 12 - 20,66.122
21,ba-a-a[]PN,P142788.16.3,P142788,,nubanda[overseer]N,SH48 - 12 - 20,66.122
22,šu-eš₁₈-dar[]PN,P142788.17.3,P142788,,nubanda[overseer]N,SH48 - 12 - 20,66.122
23,ur-nigar{gar}[]PN,P142788.20.3,P142788,,,SH48 - 12 - 20,66.122
24,ARAD₂-mu[]PN,P142788.24.3,P142788,,,SH48 - 12 - 20,66.122
25,na-sa₆[]PN,P142788.26.2,P142788,new owner,,SH48 - 12 - 20,66.122
26,gu₃-de₂-a[]PN,P142789.6.3,P142789,,ensik[ruler]N,SS04 - XX - 15,79.0015
27,nir-i₃-da-gal₂[]PN,P142789.8.1,P142789,,,SS04 - XX - 15,79.0015
28,i-ti[]PN,P142789.10.3,P142789,,,SS04 - XX - 15,79.0015
29,in-ta-e₃-a[]PN,P142789.13.1,P142789,recipient,,SS04 - XX - 15,79.0015
30,nu-ur₂-{d}suen[]PN,P142789.15.2,P142789,intermediary,dubsar[scribe]N,SS04 - XX - 15,79.0015
31,ur-nigar{gar}[]PN,P142790.4.3,P142790,,,XXXX - 01 - 01,0.0101
32,ur-{d}lugal-banda₃{da}[]PN,P142790.8.1,P142790,,,XXXX - 01 - 01,0.0101
33,lu₂-{d}asar-lu₂-hi[]PN,P142790.9.3,P142790,,,XXXX - 01 - 01,0.0101
34,lu₂-dingir-ra[]PN,P142790.11.3,P142790,,,XXXX - 01 - 01,0.0101
35,bi₂-i₃-bi₂-a[]PN,P142790.12.3,P142790,,,XXXX - 01 - 01,0.0101
36,gu₃-de₂-a[]PN,P142790.13.3,P142790,,,XXXX - 01 - 01,0.0101
37,za-ni-a[]PN,P142790.14.3,P142790,,,XXXX - 01 - 01,0.0101
38,ur-{d}en-lil₂-la₂[]PN,P142790.15.3,P142790,,,XXXX - 01 - 01,0.0101
39,ur-{d}nin-a-zu[]PN,P142790.16.3,P142790,,,XXXX - 01 - 01,0.0101
40,šeš-kal-la[]PN,P142790.17.4,P142790,,,XXXX - 01 - 01,0.0101
41,ab-ba-sa₆-ga[]PN,P142790.20.1,P142790,new owner,,XXXX - 01 - 01,0.0101
42,ba-ba-an-še-en[]PN,P142791.5.1,P142791,representative,,AS06 - 11 - 19,72.1119
43,ARAD₂-mu[]PN,P142791.17.1,P142791,representative,,AS06 - 11 - 19,72.1119
44,na-lu₅-ta[]PN,P142791.19.2,P142791,source,,AS06 - 11 - 19,72.1119
45,ur-{d}šul-gi-ra[]PN,P142794.5.1,P142794,representative,,SH44 - 12 - 28,62.1228
46,a-hu-ni[]PN,P142799.17.1,P142799,recipient,,SH45 - 11 - 00,63.11
47,en-um-i₃-li₂[]PN,P142799.18.2,P142799,intermediary,,SH45 - 11 - 00,63.11
48,tu-ra-am-i₃-li₂[]PN,P142803.9.1,P142803,,,SS06 - 11d - 29,81.1129
49,na-bi₂-{d}suen[]PN,P142803.9.3,P142803,,,SS06 - 11d - 29,81.1129
50,me-{d}ištaran-e[]PN,P142803.12.2,P142803,,,SS06 - 11d - 29,81.1129
51,ARAD₂-mu[]PN,P142803.14.1,P142803,representative,,SS06 - 11d - 29,81.1129
52,ur-ku₃-nun-na-ta[]PN,P142803.16.2,P142803,source,,SS06 - 11d - 29,81.1129
53,{d}nanna-ma-ba[]PN,P142803.17.2,P142803,intermediary,dubsar[scribe]N,SS06 - 11d - 29,81.1129
54,ur-{d}nin-a-zu[]PN,P142805.18.1,P142805,,,XXXX - XX - 23,0.0023
55,u₂-na-ba-tal[]PN,P142805.28.2,P142805,,ensik[ruler]N,XXXX - XX - 23,0.0023
56,{d}en-lil₂-zi-ša₃-gal₂[]PN,P142805.57.1,P142805,recipient,,XXXX - XX - 23,0.0023
57,a-hu-we-er[]PN,P142805.61.1,P142805,recipient,,XXXX - XX - 23,0.0023
58,du-u₂-du[]PN,P142805.64.1,P142805,recipient,,XXXX - XX - 23,0.0023
59,ur-ku₃-nun-na[]PN,P142805.70.1,P142805,recipient,,XXXX - XX - 23,0.0023
60,uri₅{ki}-ki-du₁₀[]PN,P142805.72.2,P142805,,muhaldim[cook]N,XXXX - XX - 23,0.0023
61,me-{d}ištaran[]PN,P142807.10.1,P142807,,,SS07 - 02 - 00,82.02
62,in-ta-e₃-a-ta[]PN,P142807.14.2,P142807,source,,SS07 - 02 - 00,82.02
63,nu-ur₂-{d}suen[]PN,P142807.16.2,P142807,intermediary,dubsar[scribe]N,SS07 - 02 - 00,82.02
64,ur-šu-ga-lam-ma-ta[]PN,P142810.4.2,P142810,source,,SS03 - 00 - 00,78.0
65,na-ap-la-num₂[]PN,P142811.5.1,P142811,,,SS01 - 05 - 03+,76.0503
66,na-lu₅-ta[]PN,P142811.9.2,P142811,source,,SS01 - 05 - 03+,76.0503
67,lu₂-kar-zi-da[]PN,P142811.12.2,P142811,intermediary,dubsar[scribe]N,SS01 - 05 - 03+,76.0503
68,{d}šul-gi-mi-šar[]PN,P142812.5.2,P142812,intermediary,,AS03 - 08 - 00,69.08
69,nu-ur₂-{d}suen[]PN,P142812.10.1,P142812,recipient,,AS03 - 08 - 00,69.08
70,{d}en-lil₂-la₂[]PN,P142812.13.3,P142812,,,AS03 - 08 - 00,69.08
71,ab-ba-sa₆-ga-ta[]PN,P142813.5.2,P142813,source,,AS03 - 11d - 28,69.1128
72,in-ta-e₃-a[]PN,P142813.6.1,P142813,recipient,,AS03 - 11d - 28,69.1128
73,{d}en-lil₂-la₂[]PN,P142813.9.3,P142813,,,AS03 - 11d - 28,69.1128
74,a-hu-ni[]PN,P142855.8.2,P142855,,,AS01 - 06 - 25,67.0625
75,{d}amar-{d}suen[]PN,P142855.10.2,P142855,,lugal[king]N,AS01 - 06 - 25,67.0625
76,ab-ba-sa₆-ga-ta[]PN,P142857.5.2,P142857,source,,SH42 - 09 - 16,60.09160000000001
77,in-ta-e₃-a[]PN,P142857.6.1,P142857,recipient,,SH42 - 09 - 16,60.09160000000001
78,{d}šul-gi-na-da[]PN,P142858.4.3,P142858,,,SS07 - 11 - 03,82.1103
79,a-hu-ni[]PN,P142858.6.1,P142858,,,SS07 - 11 - 03,82.1103
80,in-ta-e₃-a[]PN,P142858.8.1,P142858,recipient,,SS07 - 11 - 03,82.1103
81,nu-ur₂-{d}suen[]PN,P142858.11.2,P142858,intermediary,dubsar[scribe]N,SS07 - 11 - 03,82.1103
82,{d}amar-{d}suen[]PN,P142868.39.2,P142868,,lugal[king]N,AS02 - 05 - 00,68.05
83,{d}nisaba-an-dul₃-ta[]PN,P142868.58.2,P142868,source,,AS02 - 05 - 00,68.05
84,šu-da-da-ta[]PN,P142868.61.2,P142868,source,,AS02 - 05 - 00,68.05
85,šu-i₃-li₂-ta[]PN,P142868.64.2,P142868,source,,AS02 - 05 - 00,68.05
86,i-din-e₂-a-ta[]PN,P142868.67.2,P142868,source,,AS02 - 05 - 00,68.05
87,ur-{d}suen[]PN,P142868.73.2,P142868,,,AS02 - 05 - 00,68.05
88,ur-sa₆-ga-ta[]PN,P142868.86.2,P142868,source,,AS02 - 05 - 00,68.05
89,{d}amar-{d}suen[]PN,P142868.92.2,P142868,,lugal[king]N,AS02 - 05 - 00,68.05
90,i-din-e₂-a-ta[]PN,P142868.95.2,P142868,source,,AS02 - 05 - 00,68.05
91,ur-sa₆-ga[]PN,P142868.113.4,P142868,,,AS02 - 05 - 00,68.05
92,a₂-na-na[]PN,P142868.117.2,P142868,,,AS02 - 05 - 00,68.05
93,lu₂-{d}x[]PN,P142868.128.5,P142868,,,AS02 - 05 - 00,68.05
94,{d}amar-{d}suen[]PN,P142868.136.2,P142868,,lugal[king]N,AS02 - 05 - 00,68.05
95,uš-mu[]PN,P142868.141.2,P142868,,,AS02 - 05 - 00,68.05
96,lu₂-{d}nanna[]PN,P142868.143.4,P142868,,,AS02 - 05 - 00,68.05
97,inim-{d}šara₂[]PN,P142868.143.6,P142868,,,AS02 - 05 - 00,68.05
98,ši-ha-lum[]PN,P142868.145.2,P142868,,nubanda[overseer]N,AS02 - 05 - 00,68.05
99,nin-a₂-zi-da[]PN,P142868.147.2,P142868,,,AS02 - 05 - 00,68.05
100,be-li₂-du₁₀[]PN,P142868.149.2,P142868,,,AS02 - 05 - 00,68.05
101,ka₅-a-mu[]PN,P142868.151.2,P142868,,,AS02 - 05 - 00,68.05
102,ur-nigar[]PN,P142868.152.7,P142868,,,AS02 - 05 - 00,68.05
103,ka₅-a-mu[]PN,P142868.157.2,P142868,,,AS02 - 05 - 00,68.05
104,{d}amar-{d}suen[]PN,P142868.161.2,P142868,,lugal[king]N,AS02 - 05 - 00,68.05
105,{d}en-lil₂-la₂[]PN,P142868.174.1,P142868,,,AS02 - 05 - 00,68.05
106,ur-ku₃-nun-na[]PN,P142868.176.2,P142868,intermediary,,AS02 - 05 - 00,68.05
107,{d}amar-{d}suen[]PN,P142868.180.2,P142868,,lugal[king]N,AS02 - 05 - 00,68.05
108,ur-{d}ištaran[]PN,P248580.7.3,P248580,,,AS01 - 00 - 00,67.0
109,an-nu-ni-tum[]PN,P248580.9.3,P248580,,,AS01 - 00 - 00,67.0
110,ur-{d}ba-ba₆[]PN,P248580.31.1,P248580,,unud[cowherd]N,AS01 - 00 - 00,67.0
111,ur-{d}ba-ba₆[]PN,P248580.37.2,P248580,,,AS01 - 00 - 00,67.0
112,{d}amar-{d}suen[]PN,P248580.38.2,P248580,,lugal[king]N,AS01 - 00 - 00,67.0
113,lu₂-{d}nanna[]PN,P248618.6.1,P248618,,,SH47 - 06 - 17,65.0617
114,lugal-inim-gi-na[]PN,P248618.9.1,P248618,,,SH47 - 06 - 17,65.0617
115,lugal-za₃-e₃[]PN,P248618.10.3,P248618,,,SH47 - 06 - 17,65.0617
116,lugal-ezem[]PN,P248623.5.2,P248623,,,SS09 - 04 - 00,84.04
117,šu-šu-mu-dar-še₃[]PN,P248623.6.2,P248623,,,SS09 - 04 - 00,84.04
118,tu-ra-am-i₃-li₂[]PN,P248623.8.2,P248623,,,SS09 - 04 - 00,84.04
119,tu-ra-am-i₃-li₂[]PN,P248623.13.1,P248623,,arad[slave]N,SS09 - 04 - 00,84.04
120,ur-{d}ba-ba₆[]PN,P248626.4.1,P248626,,,SH47 - 09 - 23,65.09230000000001
121,ur-mu[]PN,P248626.8.1,P248626,,,SH47 - 09 - 23,65.09230000000001
122,na-sa₆[]PN,P248626.14.1,P248626,new owner,,SH47 - 09 - 23,65.09230000000001
123,ur-{d}lugal-edin-ka[]PN,P248629.10.1,P248629,,,SH46 - 03 - 06,64.0306
124,a₂-bi₂-li₂-a[]PN,P248636.15.1,P248636,,,SH40 - 05 - 19,58.0519
125,a₂-na-na-ta[]PN,P248637.12.2,P248637,source,,SH48 - 00 - 00,66.0
126,ba-mu[]PN,P248651.8.1,P248651,recipient,,SH44 - 09 - 00,62.09
127,na-lu₅[]PN,P248651.11.2,P248651,,,SH44 - 09 - 00,62.09
128,a-hu-ni-ta[]PN,P248659.15.2,P248659,source,,SH46 - 02 - 03,64.02029999999999
129,na-sa₆[]PN,P248659.16.1,P248659,recipient,,SH46 - 02 - 03,64.02029999999999
130,ur-nigar{gar}[]PN,P248672.6.1,P248672,,kuš[official]N,AS05 - 06 - 00,71.06
131,lu₂-{d}inanna[]PN,P248672.9.2,P248672,,sukkal[secretary]N,AS05 - 06 - 00,71.06
132,ab-ba-sa₆-ga[]PN,P248672.11.1,P248672,new owner,,AS05 - 06 - 00,71.06
133,ur-e₂-dar-a[]PN,P248711.14.1,P248711,,šagia[cup-bearer]N,AS07 - 11 - 27,73.1127
134,ur-šu-ga-lam-ma[]PN,P248711.21.2,P248711,,dubsar[scribe]N,AS07 - 11 - 27,73.1127
135,lu₂-sa₆-ga-ta[]PN,P248711.22.2,P248711,source,,AS07 - 11 - 27,73.1127
136,ku-da-šum[]PN,P248714.14.1,P248714,,ugula[overseer]N,0000 - 00 - 00,0.0
137,a₂-bi₂-li₂[]PN,P248717.9.1,P248717,representative,,0000 - 08 - 00,0.08
138,šu-gu-bu-um[]PN,P248717.11.2,P248717,,,0000 - 08 - 00,0.08
139,na-sa₆-ta[]PN,P248718.21.2,P248718,source,,SH46 - 01 - 00,64.01
140,na-lu₅[]PN,P248718.22.1,P248718,recipient,,SH46 - 01 - 00,64.01
141,ba-ni[]PN,P248675.11.4,P248675,,,SH46 - 12 - 03,64.1203
142,lu₂-dingir-ra[]PN,P248675.12.3,P248675,,,SH46 - 12 - 03,64.1203
143,na-sa₆[]PN,P248675.13.1,P248675,recipient,,SH46 - 12 - 03,64.1203
144,ur-nigar{gar}[]PN,P248676.8.1,P248676,representative,,SH47 - 09 - 06,65.09060000000001
145,en-i₃-li₂[]PN,P248676.12.1,P248676,,,SH47 - 09 - 06,65.09060000000001
146,lugal-inim-gi-na[]PN,P248676.19.2,P248676,intermediary,sukkal[secretary]N,SH47 - 09 - 06,65.09060000000001
147,i-šar-i₃-li₂[]PN,P248676.20.3,P248676,,,SH47 - 09 - 06,65.09060000000001
148,šar-ru-um-i₃-li₂[]PN,P248676.21.2,P248676,intermediary,sukkal[secretary]N,SH47 - 09 - 06,65.09060000000001
149,ARAD₂-mu[]PN,P248676.23.1,P248676,representative,,SH47 - 09 - 06,65.09060000000001
150,a-hu-ni[]PN,P248676.25.3,P248676,,,SH47 - 09 - 06,65.09060000000001
151,ku₃-{d}nanna[]PN,P248683.4.2,P248683,,,SS08 - 05 - 00,83.05
152,ba-ni[]PN,P248683.6.2,P248683,,,SS08 - 05 - 00,83.05
153,ur-šu-ga-lam-ma-ta[]PN,P248683.9.2,P248683,source,,SS08 - 05 - 00,83.05
154,lu₂-{d}nin-gir₂-su[]PN,P248683.10.1,P248683,recipient,,SS08 - 05 - 00,83.05
155,lu₂-{d}nin-gir₂-su[]PN,P248683.15.1,P248683,,dubsar[scribe]N,SS08 - 05 - 00,83.05
156,ur-sa₆-ga[]PN,P248683.17.2,P248683,,sipad[shepherd]N,SS08 - 05 - 00,83.05
157,šu-e₂-a[]PN,P248730.6.1,P248730,,sukkal[secretary]N,SS07 - 10 - 07,82.10069999999997
158,ba-la-la[]PN,P248730.7.4,P248730,,nar[musician]N,SS07 - 10 - 07,82.10069999999997
159,šu-ma-ma[]PN,P248730.8.1,P248730,,,SS07 - 10 - 07,82.10069999999997
160,ur-ku₃-nun-na-ta[]PN,P248730.12.2,P248730,source,,SS07 - 10 - 07,82.10069999999997
161,lu₂-ša-lim[]PN,P248730.14.2,P248730,intermediary,dubsar[scribe]N,SS07 - 10 - 07,82.10069999999997
162,ab-ba-sa₆-ga-ta[]PN,P248731.5.2,P248731,source,,AS07 - 03 - 09,73.0309
163,in-ta-e₃-a[]PN,P248731.6.1,P248731,recipient,,AS07 - 03 - 09,73.0309
164,nu-ur₂-{d}utu[]PN,P248732.7.2,P248732,,,IS02 - 09 - 16,86.0916
165,ARAD₂-mu[]PN,P248732.8.1,P248732,representative,,IS02 - 09 - 16,86.0916
166,ur-ku₃-nun-na-ta[]PN,P248732.11.2,P248732,source,,IS02 - 09 - 16,86.0916
167,nu-ur₂-{d}suen[]PN,P248732.13.2,P248732,intermediary,,IS02 - 09 - 16,86.0916
168,nu-ur₂-{d}suen[]PN,P248732.26.1,P248732,,dubsar[scribe]N,IS02 - 09 - 16,86.0916
169,i-di₃-er₃-ra[]PN,P248732.28.2,P248732,,arad[slave]N,IS02 - 09 - 16,86.0916
170,ur-{d}suen[]PN,P248734.28.4,P248734,,,SH46 - 05 - 00,64.05
171,dingir-ba-ni[]PN,P248734.44.7,P248734,,,SH46 - 05 - 00,64.05
172,ur-ku₃-nun-na[]PN,P248734.50.3,P248734,,,SH46 - 05 - 00,64.05
173,ša₃-ga-na-kum[]PN,P248735.16.2,P248735,,,AS07 - 06 - 10,73.061
174,lu₂-bala-sa₆-ga[]PN,P248735.17.2,P248735,intermediary,nubanda[overseer]N,AS07 - 06 - 10,73.061
175,ab-ba-sa₆-ga[]PN,P248735.33.1,P248735,new owner,,AS07 - 06 - 10,73.061
176,šu-ru-uš-ki-in[]PN,P248736.5.1,P248736,,,SH47 - 10 - 13,65.1013
177,šu-ru-uš-ki-in[]PN,P248736.8.2,P248736,,,SH47 - 10 - 13,65.1013
178,za-ri₂-iq[]PN,P248736.11.1,P248736,,lu[person]N,SH47 - 10 - 13,65.1013
179,{d}šul-gi-i₃-li₂[]PN,P248736.17.1,P248736,,,SH47 - 10 - 13,65.1013
180,en-i₃-li₂[]PN,P248736.21.1,P248736,,,SH47 - 10 - 13,65.1013
181,ARAD₂-mu[]PN,P248736.31.1,P248736,representative,,SH47 - 10 - 13,65.1013
182,lu₂-dingir-ra[]PN,P248736.34.3,P248736,,,SH47 - 10 - 13,65.1013
183,dingir-dan[]PN,P248737.6.2,P248737,,,AS05 - 03 - 00,71.03
184,ur-{d}ig-alim-ta[]PN,P248737.8.2,P248737,source,,AS05 - 03 - 00,71.03
185,nu-ur₂-{d}iškur[]PN,P248737.10.1,P248737,recipient,,AS05 - 03 - 00,71.03
186,{d}šul-gi-iri-mu[]PN,P248738.10.1,P248738,recipient,,SS03 - 10 - 18,78.1018
187,{d}šul-gi-ra[]PN,P248739.9.2,P248739,new owner,,AS01 - 05 - 07,67.05069999999999
188,a-hu-ni[]PN,P248739.10.1,P248739,recipient,,AS01 - 05 - 07,67.05069999999999
189,a-bu-bu[]PN,P248739.11.2,P248739,intermediary,,AS01 - 05 - 07,67.05069999999999
190,{d}amar-{d}suen[]PN,P248739.13.2,P248739,,lugal[king]N,AS01 - 05 - 07,67.05069999999999
191,en-lil₂[]PN,P248740.3.3,P248740,,,SH44 - 02 - 01,62.020100000000006
192,{d}šul-gi-a-a-mu[]PN,P248741.10.1,P248741,recipient,,AS04 - 09 - 17,70.0917
193,{d}šul-gi-a-a-mu[]PN,P248742.9.1,P248742,recipient,,AS04 - 12 - 23,70.12230000000001
194,ab-ba-sa₆-ga-ta[]PN,P248743.11.2,P248743,source,,AS06 - 07 - 24,72.07239999999999
195,na-lu₅[]PN,P248743.12.1,P248743,recipient,,AS06 - 07 - 24,72.07239999999999
196,{d}en-ki[]PN,P248744.5.4,P248744,,,AS06 - 11 - 00,72.11
197,{d}šul-gi-ra[]PN,P248744.14.2,P248744,,,AS06 - 11 - 00,72.11
198,{d}amar-{d}suen[]PN,P248744.20.2,P248744,,lugal[king]N,AS06 - 11 - 00,72.11
199,ARAD₂-mu[]PN,P248745.7.1,P248745,representative,,AS08 - 11 - 28,74.1128
200,da-a-a-ti[]PN,P248745.13.2,P248745,intermediary,dubsar[scribe]N,AS08 - 11 - 28,74.1128
201,u₂-ta₂-mi-šar-ra-am-ta[]PN,P248746.6.2,P248746,source,,AS07 - 10 - 09,73.1009
202,{d}šul-gi-iri-mu[]PN,P248746.8.1,P248746,recipient,,AS07 - 10 - 09,73.1009
203,a₂-bi₂-la-ti[]PN,P248792.9.1,P248792,,,SH41 - 12 - 00,59.12
204,ab-ba-sa₆-ga-ta[]PN,P248798.12.2,P248798,source,,AS04 - 08 - 00,70.08
205,ur-{d}nin-kur-ra[]PN,P248798.13.1,P248798,,ensik[ruler]N,AS04 - 08 - 00,70.08
206,{d}šul-gi-si-sa₂-ta[]PN,P248804.6.2,P248804,source,,0000 - 00 - 00,0.0
207,lugal-bad₃[]PN,P248805.6.3,P248805,,,0000 - 07 - 00,0.07
208,a-da-lal₃[]PN,P248805.7.2,P248805,,,0000 - 07 - 00,0.07
209,im-ti-dam[]PN,P248805.7.4,P248805,,,0000 - 07 - 00,0.07
210,in-ta-e₃-a-ta[]PN,P248830.4.2,P248830,source,,SS06 - 12 - 00,81.12
211,šu-{d}šul-gi[]PN,P248830.5.1,P248830,,šuʾi[barber]N,SS06 - 12 - 00,81.12
212,šu-{d}šul-gi[]PN,P248830.17.1,P248830,,šuʾi[barber]N,SS06 - 12 - 00,81.12
213,e₂-a-ni-ša[]PN,P128014.11.2,P128014,,,SH44 - 03m - 00,62.03
214,na-lu₅[]PN,P128014.13.3,P128014,,,SH44 - 03m - 00,62.03
215,e₂-a-ni-ša[]PN,P128014.26.1,P128014,,lukur[priestess]N,SH44 - 03m - 00,62.03
216,ur-{d}suen[]PN,P248864.5.2,P248864,,,SH48 - 07 - 18,66.0718
217,lugal-nir-gal₂[]PN,P248864.6.4,P248864,,,SH48 - 07 - 18,66.0718
218,za-la-a[]PN,P248864.9.1,P248864,,,SH48 - 07 - 18,66.0718
219,ur-{d}suen[]PN,P248864.16.1,P248864,,,SH48 - 07 - 18,66.0718
220,i-di₃-e₂-a[]PN,P248864.19.1,P248864,,,SH48 - 07 - 18,66.0718
221,e₂-a-ni-ša[]PN,P248864.19.3,P248864,,,SH48 - 07 - 18,66.0718
222,šar-ru-um-i₃-li₂[]PN,P248864.21.3,P248864,,sukkal[secretary]N,SH48 - 07 - 18,66.0718
223,na-sa₆[]PN,P248864.24.2,P248864,new owner,,SH48 - 07 - 18,66.0718
224,ur-ku₃-nun-na-ta[]PN,P248867.15.2,P248867,source,,SS05 - 02 - 02,80.0202
225,nu-ur₂-{d}iškur[]PN,P248867.16.1,P248867,recipient,,SS05 - 02 - 02,80.0202
226,na-ab-la-num₂[]PN,P248876.14.4,P248876,,,SH46 - 03 - 07,64.0307
227,lugal-inim-gi-na[]PN,P248876.15.2,P248876,intermediary,sukkal[secretary]N,SH46 - 03 - 07,64.0307
228,ARAD₂-mu[]PN,P248876.16.1,P248876,representative,,SH46 - 03 - 07,64.0307
229,lu₂-dingir-ra[]PN,P248876.19.3,P248876,,,SH46 - 03 - 07,64.0307
230,hu-ba-a[]PN,P248901.3.3,P248901,,,SH47 - 03 - 16,65.0316
231,a-mur-e₂-a[]PN,P248901.4.3,P248901,,,SH47 - 03 - 16,65.0316
232,šu-ru-uš-ki-in[]PN,P248901.5.3,P248901,,,SH47 - 03 - 16,65.0316
233,za-ak-i₃-li₂[]PN,P248901.6.3,P248901,,,SH47 - 03 - 16,65.0316
234,lu₂-sun₂-zi-da[]PN,P248901.7.3,P248901,,,SH47 - 03 - 16,65.0316
235,na-ra-am-e₂-a[]PN,P248901.9.1,P248901,,,SH47 - 03 - 16,65.0316
236,ze₂-lu-uš-{d}da-gan[]PN,P248901.10.3,P248901,,,SH47 - 03 - 16,65.0316
237,im-lik-e₂-a[]PN,P248901.14.1,P248901,,,SH47 - 03 - 16,65.0316
238,bi₂-bi₂[]PN,P248901.18.1,P248901,,,SH47 - 03 - 16,65.0316
239,na-sa₆[]PN,P248901.23.1,P248901,new owner,,SH47 - 03 - 16,65.0316
240,šu-ma-ma[]PN,P248907.21.3,P248907,,ensik[ruler]N,AS05 - 03 - 25,71.0325
241,ur-mes[]PN,P248907.22.3,P248907,,ensik[ruler]N,AS05 - 03 - 25,71.0325
242,da-la-a[]PN,P248907.23.5,P248907,,,AS05 - 03 - 25,71.0325
243,i-di₃-zu[]PN,P248907.24.5,P248907,,lu[person]N,AS05 - 03 - 25,71.0325
244,inim-{d}nanna[]PN,P248907.30.2,P248907,,,AS05 - 03 - 25,71.0325
245,ka₅-a-mu[]PN,P248907.31.2,P248907,intermediary,,AS05 - 03 - 25,71.0325
246,ab-ba-sa₆-ga[]PN,P248907.33.2,P248907,new owner,,AS05 - 03 - 25,71.0325
247,en-unu₆-gal-{d}inanna[]PN,P248907.35.2,P248907,,,AS05 - 03 - 25,71.0325
248,a-a-kal-la-ta[]PN,P248974.9.2,P248974,source,,IS02 - 02 - 00,86.02
249,lu₂-{d}nanna-ke₄[]PN,P248974.10.1,P248974,recipient,,IS02 - 02 - 00,86.02
250,lu₂-{d}nanna[]PN,P248974.15.1,P248974,,dubsar[scribe]N,IS02 - 02 - 00,86.02
251,ku₃-ta[]PN,P248989.4.3,P248989,,,SS03 - 06 - 00,78.06
252,ur-{d}ba-ba₆[]PN,P248989.16.1,P248989,,engar[farmer]N,SS03 - 06 - 00,78.06
253,a-ba-al-la[]PN,P248989.18.2,P248989,,,SS03 - 06 - 00,78.06
254,{d}en-ki[]PN,P248989.21.4,P248989,,,SS03 - 06 - 00,78.06
255,ur-{d}ba-ba₆[]PN,P248989.23.1,P248989,,,SS03 - 06 - 00,78.06
256,lu₂-dingir-ra[]PN,P249006.10.1,P249006,,,SH47 - 09 - 00,65.09
257,inim-{d}šara₂[]PN,P249006.10.3,P249006,,,SH47 - 09 - 00,65.09
258,na-sa₆[]PN,P249006.12.1,P249006,new owner,,SH47 - 09 - 00,65.09
259,ab-ba-sa₆-ga[]PN,P249006.18.1,P249006,,dubsar[scribe]N,SH47 - 09 - 00,65.09
260,na-sa₆[]PN,P249006.20.2,P249006,,,SH47 - 09 - 00,65.09
261,ab-ba-sa₆-ga-ta[]PN,P249013.8.2,P249013,source,,SH42 - 01 - 23 // AS06 - 01 - 23,60.0123
262,in-ta-e₃-a[]PN,P249013.10.1,P249013,recipient,,SH42 - 01 - 23 // AS06 - 01 - 23,60.0123
263,a-al-la-mu[]PN,P249018.3.4,P249018,intermediary,,SS01 - 12 - 00,76.12
264,igi-sa₆-sa₆[]PN,P249018.4.4,P249018,intermediary,,SS01 - 12 - 00,76.12
265,a-da-lal₃[]PN,P249018.5.4,P249018,intermediary,,SS01 - 12 - 00,76.12
266,in-ta-e₃-a-ta[]PN,P249018.6.2,P249018,source,,SS01 - 12 - 00,76.12
