,Name,id_word,CDLI No,role,profession,Original date,Converted Date
42535,ur-nigar{gar}[]PN,P133938.11.1,P133938,recipient,,SH46 - 11 - 23,64.1123
42536,lu₂-dingir-ra-ta[]PN,P133939.12.2,P133939,source,,SH46 - 12 - 23,64.12230000000001
42537,ur-nigar{gar}[]PN,P133939.13.1,P133939,recipient,,SH46 - 12 - 23,64.12230000000001
42538,lu₂-dingir-ra[]PN,P133940.5.2,P133940,,šabra[administrator]N,SH47 - 05 - 19,65.0519
42539,ur-nigar{gar}[]PN,P133940.6.1,P133940,recipient,,SH47 - 05 - 19,65.0519
42540,lu₂-dingir-ra-ta[]PN,P133941.12.2,P133941,source,,SH47 - 06 - 06,65.06060000000001
42541,ur-nigar{gar}[]PN,P133941.13.1,P133941,recipient,,SH47 - 06 - 06,65.06060000000001
42542,lu₂-dingir-ra-ta[]PN,P133942.16.2,P133942,source,,SH47 - 07 - 19,65.0719
42543,ur-nigar{gar}[]PN,P133942.17.1,P133942,recipient,,SH47 - 07 - 19,65.0719
42544,lu₂-dingir-ra-ta[]PN,P133943.11.2,P133943,source,,SH47 - 08 - 14,65.0814
42545,ur-nigar{gar}[]PN,P133943.12.1,P133943,recipient,,SH47 - 08 - 14,65.0814
42546,lu₂-dingir-ra-ta[]PN,P133944.15.2,P133944,source,,SH47 - 10 - 04,65.1004
42547,ur-nigar{gar}[]PN,P133944.16.1,P133944,recipient,,SH47 - 10 - 04,65.1004
42548,a-hu-ni-ta[]PN,P133945.15.2,P133945,source,,SH48 - 01 - 14,66.01140000000001
42549,ur-nigar{gar}[]PN,P133945.16.1,P133945,recipient,,SH48 - 01 - 14,66.01140000000001
42550,lu₂-dingir-ra-ta[]PN,P133946.14.2,P133946,source,,SH46 - 07 - 22,64.0722
42551,ur-nigar{gar}[]PN,P133946.15.1,P133946,recipient,,SH46 - 07 - 22,64.0722
42552,na-lu₅-ta[]PN,P133947.9.2,P133947,source,,AS01 - 04 - 28,67.0428
42553,ur-nigar{gar}[]PN,P133947.10.1,P133947,recipient,,AS01 - 04 - 28,67.0428
42554,{d}amar-{d}suen[]PN,P133947.13.2,P133947,,lugal[king]N,AS01 - 04 - 28,67.0428
42555,a-hu-ni-ta[]PN,P133948.11.2,P133948,source,,AS01 - 07 - 12,67.07119999999999
42556,ur-nigar{gar}[]PN,P133948.12.1,P133948,recipient,,AS01 - 07 - 12,67.07119999999999
42557,{d}amar-{d}suen[]PN,P133948.15.2,P133948,,lugal[king]N,AS01 - 07 - 12,67.07119999999999
42558,a-hu-ni-ta[]PN,P133949.11.2,P133949,source,,AS01 - 09 - 30,67.093
42559,ur-nigar{gar}[]PN,P133949.12.1,P133949,recipient,,AS01 - 09 - 30,67.093
42560,{d}amar-{d}suen[]PN,P133949.15.2,P133949,,lugal[king]N,AS01 - 09 - 30,67.093
42561,{d}šul-gi-a-a-mu[]PN,P133950.11.2,P133950,,,AS02 - 02 - 08,68.0208
42562,ur-nigar{gar}[]PN,P133950.12.1,P133950,recipient,,AS02 - 02 - 08,68.0208
42563,{d}amar-{d}suen-ke₄[]PN,P133950.15.2,P133950,,,AS02 - 02 - 08,68.0208
42564,{d}šul-gi-a-a-mu-ta[]PN,P133951.9.2,P133951,source,,AS02 - 04 - 21,68.0421
42565,ur-nigar{gar}[]PN,P133951.10.1,P133951,recipient,,AS02 - 04 - 21,68.0421
42566,{d}amar-{d}suen[]PN,P133951.13.2,P133951,,lugal[king]N,AS02 - 04 - 21,68.0421
42567,{d}šul-gi-a-a-mu-ta[]PN,P133952.10.2,P133952,source,,AS02 - 04 - 25,68.0425
42568,ur-nigar{gar}[]PN,P133952.11.1,P133952,recipient,,AS02 - 04 - 25,68.0425
42569,{d}amar-{d}suen[]PN,P133952.14.2,P133952,,lugal[king]N,AS02 - 04 - 25,68.0425
42570,{d}šul-gi-a-a-mu-ta[]PN,P133953.6.2,P133953,source,,AS02 - 07 - 12,68.07119999999999
42571,ur-nigar{gar}[]PN,P133953.8.1,P133953,recipient,,AS02 - 07 - 12,68.07119999999999
42572,{d}amar-{d}suen[]PN,P133953.11.2,P133953,,lugal[king]N,AS02 - 07 - 12,68.07119999999999
42573,{d}šul-gi-a-a-mu-ta[]PN,P133954.10.2,P133954,source,,AS02 - 09 - 21,68.0921
42574,ur-nigar{gar}[]PN,P133954.11.1,P133954,recipient,,AS02 - 09 - 21,68.0921
42575,{d}amar-{d}suen[]PN,P133954.14.2,P133954,,lugal[king]N,AS02 - 09 - 21,68.0921
42576,{d}šul-gi-a-a-mu-ta[]PN,P133955.17.2,P133955,source,,AS02 - 10 - 26,68.1026
42577,ur-nigar{gar}[]PN,P133955.18.1,P133955,recipient,,AS02 - 10 - 26,68.1026
42578,{d}amar-{d}suen[]PN,P133955.20.2,P133955,,lugal[king]N,AS02 - 10 - 26,68.1026
42579,lu₂-dingir-ra[]PN,P133956.15.1,P133956,,,AS02 - 11 - 27,68.1127
42580,ur-nigar{gar}[]PN,P133956.16.1,P133956,recipient,,AS02 - 11 - 27,68.1127
42581,{d}amar-{d}suen[]PN,P133956.18.2,P133956,,lugal[king]N,AS02 - 11 - 27,68.1127
42582,en-dingir-mu-ta[]PN,P133957.7.2,P133957,source,,AS03 - 01 - 09,69.0109
42583,{d}šul-gi-iri-mu[]PN,P133957.9.1,P133957,recipient,,AS03 - 01 - 09,69.0109
42584,{d}šul-gi-a-a-mu-ta[]PN,P133958.6.2,P133958,source,,AS04 - 10 - 27,70.1027
42585,{d}šul-gi-iri-mu[]PN,P133958.8.1,P133958,recipient,,AS04 - 10 - 27,70.1027
42586,lu₂-dingir-ra-ta[]PN,P133959.5.2,P133959,source,,AS04 - 11 - 12,70.1112
42587,{d}šul-gi-iri-mu[]PN,P133959.6.1,P133959,recipient,,AS04 - 11 - 12,70.1112
42588,a-hu-we-er-ta[]PN,P133960.7.2,P133960,source,,AS05 - 05 - 14,71.0514
42589,{d}šul-gi-iri-mu[]PN,P133960.9.1,P133960,recipient,,AS05 - 05 - 14,71.0514
42590,nig₂-mu-mu-kal-le[]PN,P133961.11.2,P133961,intermediary,,AS05 - 12 - 19,71.12190000000002
42591,tu-ra-am-{d}da-gan-ta[]PN,P133961.12.2,P133961,source,,AS05 - 12 - 19,71.12190000000002
42592,{d}šul-gi-iri-mu[]PN,P133961.13.1,P133961,recipient,,AS05 - 12 - 19,71.12190000000002
42593,u₂-ta₂-mi-šar-ra-am-ta[]PN,P133962.5.2,P133962,source,,AS06 - 02 - 17,72.0217
42594,{d}šul-gi-iri-mu[]PN,P133962.6.1,P133962,recipient,,AS06 - 02 - 17,72.0217
42595,na-lu₅-ta[]PN,P133963.9.2,P133963,source,,AS06 - 03 - 12,72.0312
42596,{d}šul-gi-iri-mu[]PN,P133963.10.1,P133963,recipient,,AS06 - 03 - 12,72.0312
42597,u₂-ta₂-mi-šar-ra-am-ta[]PN,P133964.6.2,P133964,source,,AS06 - 11 - 12,72.1112
42598,{d}šul-gi-iri-mu[]PN,P133964.8.1,P133964,recipient,,AS06 - 11 - 12,72.1112
42599,šu-ma-ma-ta[]PN,P133965.7.2,P133965,source,,AS06 - 12 - 08,72.1208
42600,{d}šul-gi-iri-mu[]PN,P133965.9.1,P133965,recipient,,AS06 - 12 - 08,72.1208
42601,na-lu₅-ta[]PN,P133966.9.2,P133966,source,,AS07 - 03 - 02,73.03020000000002
42602,{d}šul-gi-iri-mu[]PN,P133966.10.1,P133966,recipient,,AS07 - 03 - 02,73.03020000000002
42603,šu-ma-ma-ta[]PN,P133967.11.2,P133967,source,,AS07 - 04 - 19,73.04190000000001
42604,{d}šul-gi-iri-mu[]PN,P133967.12.1,P133967,recipient,,AS07 - 04 - 19,73.04190000000001
42605,šu-ma-ma-ta[]PN,P133968.8.2,P133968,source,,AS07 - 04 - 23,73.04230000000003
42606,{d}šul-gi-iri-mu[]PN,P133968.9.1,P133968,recipient,,AS07 - 04 - 23,73.04230000000003
42607,lu₂-dingir-ra-ta[]PN,P133969.6.2,P133969,source,,AS08 - 06 - 30,74.063
42608,{d}šul-gi-iri-mu[]PN,P133969.8.1,P133969,recipient,,AS08 - 06 - 30,74.063
