000001	P142048	Ĝirsu
000003	P109173	Ĝirsu
000004	P109174	Ĝirsu
000005	P109175	Ĝirsu
000006	P109176	Ĝirsu
000007	P109177	Ĝirsu
000008	P109178	Ĝirsu
000009	P109179	Ĝirsu
000012	P127275	Ĝirsu
000019	P128357	Ĝirsu
000020	P128358	Ĝirsu
000023	P100194	Ĝirsu
000024	P100195	Ĝirsu
000025	P100196	Ĝirsu
000026	P100197	Ĝirsu
000027	P100198	Ĝirsu
000028	P100199	Ĝirsu
000029	P100200	Ĝirsu
000030	P100201	Ĝirsu
000031	P100202	Ĝirsu
000032	P100203	Ĝirsu
000033	P100204	Ĝirsu
000034	P100205	Ĝirsu
000035	P100206	Ĝirsu
000036	P100207	Ĝirsu
000037	P100208	Ĝirsu
000038	P105553	Ĝirsu
000039	P105554	Ĝirsu
000040	P108392	Ĝirsu
000041	P108393	Ĝirsu
000042	P108394	Ĝirsu
000043	P108395	Ĝirsu
000044	P108396	Ĝirsu
000045	P108397	Ĝirsu
000046	P108398	Ĝirsu
000047	P108399	Ĝirsu
000048	P108400	Ĝirsu
000049	P108401	Ĝirsu
000050	P108402	Ĝirsu
000051	P108403	Ĝirsu
000052	P108404	Ĝirsu
000053	P108405	Ĝirsu
000054	P108406	Ĝirsu
000055	P108407	Ĝirsu
000056	P108408	Ĝirsu
000057	P108409	Ĝirsu
000058	P108410	Ĝirsu
000059	P108411	Ĝirsu
000060	P108412	Ĝirsu
000061	P108413	Ĝirsu
000062	P108414	Ĝirsu
000063	P108415	Ĝirsu
000064	P108416	Ĝirsu
000065	P108417	Ĝirsu
000066	P108418	Ĝirsu
000067	P108419	Ĝirsu
000068	P108420	Ĝirsu
000069	P108421	Ĝirsu
000071	P108423	Ĝirsu
000072	P108424	Ĝirsu
000073	P108425	Ĝirsu
000075	P128362	Ĝirsu
000076	P128363	Ĝirsu
000081	P128368	Ĝirsu
000082	P128369	Ĝirsu
000084	P128371	Ĝirsu
000085	P128372	Ĝirsu
000086	P128373	Ĝirsu
000087	P128374	Ĝirsu
000088	P128375	Ĝirsu
000090	P128377	Ĝirsu
000091	P128378	Ĝirsu
000092	P128379	Ĝirsu
000093	P123183	Ĝirsu
000094	P123184	Ĝirsu
000096	P128381	Ĝirsu
000097	P128382	Ĝirsu
000098	P128383	Ĝirsu
000099	P128384	Ĝirsu
000101	P142520	Ĝirsu
000102	P142521	Ĝirsu
000103	P142522	Ĝirsu
000104	P142523	Ĝirsu
000105	P142524	Nippur
000106	P142525	Ĝirsu
000107	P142526	Ĝirsu
000108	P142527	Ĝirsu
000109	P108430	Ĝirsu
000110	P108431	Ĝirsu
000111	P108432	Ĝirsu
000112	P108433	Ĝirsu
000113	P108434	Ĝirsu
000114	P108435	Ĝirsu
000115	P108436	Ĝirsu
000116	P108437	Ĝirsu
000117	P108438	Ĝirsu
000118	P108439	Ĝirsu
000119	P108440	Ĝirsu
000120	P108441	Ĝirsu
000121	P108442	Ĝirsu
000122	P108443	Ĝirsu
000123	P108465	Ĝirsu
000124	P108444	Ĝirsu
000125	P108445	Ĝirsu
000126	P108446	Ĝirsu
000127	P108447	Ĝirsu
000128	P108448	Ĝirsu
000129	P108449	Ĝirsu
000130	P108450	Ĝirsu
000131	P108451	Ĝirsu
000132	P108452	Ĝirsu
000133	P108453	Ĝirsu
000134	P108454	Ĝirsu
000135	P108455	Ĝirsu
000136	P108456	Ĝirsu
000137	P108457	Ĝirsu
000138	P108458	Ĝirsu
000139	P108459	Ĝirsu
000140	P108460	Ĝirsu
000141	P108461	Ĝirsu
000142	P108462	Ĝirsu
000143	P108463	Ĝirsu
000144	P108464	Ĝirsu
000145	P108468	Ĝirsu
000146	P108469	Ĝirsu
000147	P108470	Ĝirsu
000148	P108471	Ĝirsu
000149	P108472	Ĝirsu
000150	P108473	Ĝirsu
000151	P108474	Ĝirsu
000152	P108475	Ĝirsu
000153	P108466	Ĝirsu
000154	P108467	Ĝirsu
000155	P108476	Ĝirsu
000156	P108477	Ĝirsu
000157	P108478	Ĝirsu
000158	P108479	Ĝirsu
000160	P108481	Ĝirsu
000161	P108482	Ĝirsu
000162	P108483	Ĝirsu
000163	P108484	Ĝirsu
000164	P108485	Ĝirsu
000165	P108486	Ĝirsu
000166	P108487	Ĝirsu
000167	P108488	Ĝirsu
000168	P108489	Ĝirsu
000169	P108490	Ĝirsu
000170	P108491	Ĝirsu
000171	P108492	Ĝirsu
000172	P108493	Ĝirsu
000173	P108494	Ĝirsu
000174	P108495	Ĝirsu
000175	P108496	Ĝirsu
000176	P108497	Ĝirsu
000177	P108498	Ĝirsu
000178	P108499	Ĝirsu
000179	P108500	Ĝirsu
000180	P108501	Ĝirsu
000181	P108502	Ĝirsu
000182	P108503	Ĝirsu
000183	P108504	Ĝirsu
000184	P108505	Ĝirsu
000185	P108506	Ĝirsu
000186	P108507	Ĝirsu
000187	P108508	Ĝirsu
000188	P108509	Ĝirsu
000189	P108510	Ĝirsu
000190	P108511	Ĝirsu
000191	P108512	Ĝirsu
000192	P108513	Ĝirsu
000193	P108514	Ĝirsu
000194	P108515	Ĝirsu
000195	P108516	Ĝirsu
000196	P108517	Ĝirsu
000197	P108518	Ĝirsu
000198	P108519	Ĝirsu
000199	P108520	Ĝirsu
000200	P108521	Ĝirsu
000201	P108522	Ĝirsu
