id,source,target,p_index,year,type,source's role,target's role
3354,203,808,131720,{Amar-Suen.02.09.24},Undirected,{'source'},{'recipient'}
3355,505,808,131720,{Amar-Suen.02.09.24},Undirected,{'recipient'},{'recipient'}
3356,203,1100,407093,{Amar-Suen.02.09.25 ?},Undirected,{'source'},{'recipient'}
3357,203,2212,407131,{Amar-Suen.02.10.00},Undirected,{'source'},{'recipient'}
3358,203,1311,407125,{Amar-Suen.02.10.01},Undirected,{'source'},{'recipient'}
3359,203,808,103472,{Amar-Suen.02.10.07},Undirected,{'source'},{'recipient'}
3360,203,1311,103472,{Amar-Suen.02.10.07},Undirected,{'source'},{'recipient'}
3361,808,1311,103472,{Amar-Suen.02.10.07},Undirected,{'recipient'},{'recipient'}
3362,203,1311,128032,{Amar-Suen.02.10.08},Undirected,{'source'},{'recipient'}
3363,203,1788,109595,{Amar-Suen.02.10.10},Undirected,{'source'},{'recipient'}
3364,203,1757,128025,{Amar-Suen.02.10.13},Undirected,{'source'},
3365,203,2092,128025,{Amar-Suen.02.10.13},Undirected,{'source'},{'recipient'}
3366,1757,2092,128025,{Amar-Suen.02.10.13},Undirected,,{'recipient'}
3367,203,2092,131731,{Amar-Suen.02.10.15},Undirected,{'source'},{'recipient'}
3368,203,981,210446,{Amar-Suen.02.10.22},Undirected,,{'representative'}
3369,203,1877,210446,{Amar-Suen.02.10.22},Undirected,,
3370,981,1877,210446,{Amar-Suen.02.10.22},Undirected,{'representative'},
3371,203,2092,320878,{Amar-Suen.02.10.24},Undirected,{'source'},{'recipient'}
3372,203,1311,321081,{Amar-Suen.02.10.24},Undirected,{'source'},{'recipient'}
3373,203,2136,321081,{Amar-Suen.02.10.24},Undirected,{'source'},
3374,1311,2136,321081,{Amar-Suen.02.10.24},Undirected,{'recipient'},
3375,203,1100,131060,{Amar-Suen.02.10.25},Undirected,{'source'},{'recipient'}
3376,203,203,131718,{Amar-Suen.02.10.26},Undirected,{'source'},{'source'}
3377,203,1311,131718,{Amar-Suen.02.10.26},Undirected,{'source'},{'recipient'}
3378,203,1311,131718,{Amar-Suen.02.10.26},Undirected,{'source'},{'recipient'}
3379,203,1826,103652,{Amar-Suen.02.10.27},Undirected,{'source'},{'recipient'}
3380,203,2092,103652,{Amar-Suen.02.10.27},Undirected,{'source'},
3381,1826,2092,103652,{Amar-Suen.02.10.27},Undirected,{'recipient'},
3382,203,983,407053,{Amar-Suen.02.11.00},Undirected,{'source'},{'recipient'}
3383,203,1584,407053,{Amar-Suen.02.11.00},Undirected,{'source'},
3384,983,1584,407053,{Amar-Suen.02.11.00},Undirected,{'recipient'},
3385,203,1540,105850,"{Amar-Suen.02.11.01, Amar-Suen.02.11.30}",Undirected,{'source'},{'recipient'}
3386,203,1585,105850,"{Amar-Suen.02.11.01, Amar-Suen.02.11.30}",Undirected,{'source'},{'source'}
3387,1540,1585,105850,"{Amar-Suen.02.11.01, Amar-Suen.02.11.30}",Undirected,{'recipient'},{'source'}
3388,203,1100,115431,{Amar-Suen.02.11.03},Undirected,{'source'},{'recipient'}
3389,203,2092,109601,{Amar-Suen.02.11.15},Undirected,{'source'},{'recipient'}
3390,203,1573,303497,{Amar-Suen.02.11.18},Undirected,{'source'},{'recipient'}
3391,203,2092,303497,{Amar-Suen.02.11.18},Undirected,{'source'},{'recipient'}
3392,1573,2092,303497,{Amar-Suen.02.11.18},Undirected,{'recipient'},{'recipient'}
3393,203,1100,103653,{Amar-Suen.02.11.30},Undirected,{'source'},{'recipient'}
3394,203,2092,123861,{Amar-Suen.02.11.30},Undirected,{'source'},{'recipient'}
3395,203,1328,210364,{Amar-Suen.02.11.30},Undirected,{'source'},{'source'}
3396,203,2092,210364,{Amar-Suen.02.11.30},Undirected,{'source'},{'recipient'}
3397,1328,2092,210364,{Amar-Suen.02.11.30},Undirected,{'source'},{'recipient'}
3398,203,2212,124910,{Amar-Suen.02.12.00},Undirected,{'source'},{'recipient'}
3399,203,1311,103871,{Amar-Suen.02.12.01},Undirected,{'source'},{'recipient'}
3400,203,1100,104000,{Amar-Suen.02.12.04},Undirected,{'source'},{'recipient'}
3401,203,1100,210382,{Amar-Suen.02.12.09},Undirected,{'source'},{'recipient'}
3402,203,2246,210382,{Amar-Suen.02.12.09},Undirected,{'source'},{'recipient'}
3403,1100,2246,210382,{Amar-Suen.02.12.09},Undirected,{'recipient'},{'recipient'}
3404,203,2092,109604,{Amar-Suen.02.12.12},Undirected,{'source'},{'recipient'}
3405,203,1195,136290,{Amar-Suen.02.12.13},Undirected,{'source'},{'representative'}
3406,203,1573,136290,{Amar-Suen.02.12.13},Undirected,{'source'},
3407,1195,1573,136290,{Amar-Suen.02.12.13},Undirected,{'representative'},
3408,203,1100,136287,{Amar-Suen.02.12.17},Undirected,{'source'},{'recipient'}
3409,203,1311,136287,{Amar-Suen.02.12.17},Undirected,{'source'},{'recipient'}
3410,1100,1311,136287,{Amar-Suen.02.12.17},Undirected,{'recipient'},{'recipient'}
3411,203,1485,218252,{Amar-Suen.02.12.17},Undirected,{'source'},
3412,203,2092,218252,{Amar-Suen.02.12.17},Undirected,{'source'},{'recipient'}
3413,1485,2092,218252,{Amar-Suen.02.12.17},Undirected,,{'recipient'}
3414,203,2092,330684,{Amar-Suen.02.12.17},Undirected,{'source'},{'recipient'}
3415,203,2181,125608,{Amar-Suen.02.12.24},Undirected,{'source'},
3416,203,1100,210413,{Amar-Suen.02.12.28},Undirected,{'source'},{'recipient'}
3417,203,1311,210413,{Amar-Suen.02.12.28},Undirected,{'source'},{'recipient'}
3418,1100,1311,210413,{Amar-Suen.02.12.28},Undirected,{'recipient'},{'recipient'}
3419,203,360,143958,{Amar-Suen.03.00.00},Undirected,{'source'},{'recipient'}
3420,203,808,123878,{Amar-Suen.03.00.26},Undirected,{'source'},
