name,id,role,profession,processed year,family,p_index,Archive,% domesticated animal,% dead animal,% leather object,% precious object,% queen,% seal,% unknown,% wild animal,% wool,date name,maxYear,minYear,Max Gap Start Year,Max Gap End Year,% source,% intermediary,% recipient,% representative
a-ba-{d}en-lil₂-gin₇-ta,76,"[""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source', 'recipient'}"", ""{'source', 'recipient'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", '', ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", '', ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", '', ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source', 'intermediary'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source', 'recipient'}"", ""{'source', 'intermediary'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", '', ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source', 'recipient'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source', 'recipient'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}"", ""{'source'}""]",,"['68.0600', '70.0104', '74.0219', '81.0000', '81.0200', '81.0400', '81.0400', '81.0424', '81.0427', '81.0428', '81.0629', '81.0900', '81.0914', '81.1200', '81.1207', '82.0100', '82.0105', '82.0404', '82.0416', '82.0417', '82.0517', '82.0622', '82.0800', '83.0000', '83.0000', '83.0115', '83.0121', '83.0129', '83.0400', '83.0400', '83.0709', '83.0714', '83.1006', '83.1020', '84.0100', '84.0107', '84.0200', '84.0418', '84.0600', '84.0700', '84.0700', '84.0900', '84.0900', '84.0900', '84.1000', '84.1000', '84.1000', '84.1000', '84.1000', '84.1010', '84.1013', '84.1021', '84.1024', '84.1100', '84.1100', '84.1103', '84.1200', '85.0129', '85.0200', '85.0500', '85.0500', '85.0527', '85.0600', '85.0600', '85.0622', '85.0625', '85.0700', '85.0721', '85.1000', '85.1000', '85.1014', '85.1028', '85.1120', '85.1200', '86.1011', '86.1103', '86.1201', '86.1206', '86.1208', '86.1212', '86.1215', '86.1225']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[104619, 101016, 101761, 100986, 210636, 390740, 115597, 104303, 390783, 135122, 125931, 129518, 106869, 115594, 106409, 104680, 125780, 103694, 106283, 416479, 129485, 104141, 129390, 135017, 416415, 135121, 110479, 103005, 131607, 133935, 303602, 134073, 126570, 107954, 145047, 145840, 212265, 125884, 106782, 126033, 116871, 116871, 210529, 107960, 126322, 211858, 291352, 112451, 103686, 201168, 134953, 201037, 109209, 134906, 201156, 101340, 104287, 125725, 126125, 201090, 125979, 330639, 104288, 106271, 112970, 102341, 104298, 125590, 101019, 390858, 103595, 104248, 407244, 114351, 117181, 145119, 106405, 142041, 145118, 124576, 117317, 126274, 106410, 114352, 106415]","['domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'dead animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'queen', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'wool', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal']",0.8941176470588236,0.08235294117647059,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.011764705882352941,"['', '', '', '{Amar-Suen.02.06.00}', '{Amar-Suen.04.01.04 (us2 year)}', '{Amar-Suen.08.02.19}', '{Shu-Suen.06.00.00}', '{Shu-Suen.06.02.00}', '{Shu-Suen.06.04.00, Shu-Suen.06.05.00, Shu-Suen.06.06.00, Shu-Suen.06.07.00, Shu-Suen.06.08.00, Shu-Suen.06.09.00, Shu-Suen.06.10.00}', '{Shu-Suen.06.04.00}', '{Shu-Suen.06.04.24}', '{Shu-Suen.06.04.27, Shu-Suen.06.04.30}', '{Shu-Suen.06.04.28, Shu-Suen.06.11.00 ?}', '{Shu-Suen.06.06.29, Shu-Suen.06.11.30}', '{Shu-Suen.06.09.00}', '{Shu-Suen.06.09.14}', '{Shu-Suen.06.12d.00 (intercalated)}', '{Shu-Suen.06.12d.07 (intercalated)}', '{Shu-Suen.07.01.00, Shu-Suen.07.03.00, Shu-Suen.07.04.00, Shu-Suen.07.07.00, Shu-Suen.07.09.00, Shu-Suen.07.10.00, Shu-Suen.07.11.00, Shu-Suen.07.12.00}', '{Shu-Suen.07.01.05}', '{Shu-Suen.07.04.04}', '{Shu-Suen.07.04.16}', '{Shu-Suen.07.04.17}', '{Shu-Suen.07.05.17, Shu-Suen.07.05.20}', '{Shu-Suen.07.06.22}', '{Shu-Suen.07.08.00}', '{Shu-Suen.08.00.00}', '{Shu-Suen.08.00.00}', '{Shu-Suen.08.01.15}', '{Shu-Suen.08.01.21}', '{Shu-Suen.08.01.29}', '{Shu-Suen.08.04.00}', '{Shu-Suen.08.04.00}', '{Shu-Suen.08.07.09}', '{Shu-Suen.08.07.14}', '{Shu-Suen.08.10.06}', '{Shu-Suen.08.10.20}', '{Shu-Suen.09.01.00}', '{Shu-Suen.09.01.07}', '{Shu-Suen.09.02.00}', '{Shu-Suen.09.04.18}', '{Shu-Suen.09.06.00}', '{Shu-Suen.09.07.00}', '{Shu-Suen.09.07.00}', '{Shu-Suen.09.09.00}', '{Shu-Suen.09.09.00}', '{Shu-Suen.09.09.00}', '{Shu-Suen.09.10.00}', '{Shu-Suen.09.10.00}', '{Shu-Suen.09.10.00}', '{Shu-Suen.09.10.00}', '{Shu-Suen.09.10.00}', '{Shu-Suen.09.10.10}', '{Shu-Suen.09.10.13}', '{Shu-Suen.09.10.21}', '{Shu-Suen.09.10.24}', '{Shu-Suen.09.11.00}', '{Shu-Suen.09.11.00}', '{Shu-Suen.09.11.03}', '{Shu-Suen.09.12.00}', '{Ibbi-Suen.01.01.29}', '{Ibbi-Suen.01.02.00}', '{Ibbi-Suen.01.05.00}', '{Ibbi-Suen.01.05.00}', '{Ibbi-Suen.01.05.27}', '{Ibbi-Suen.01.06.00}', '{Ibbi-Suen.01.06.00}', '{Ibbi-Suen.01.06.22}', '{Ibbi-Suen.01.06.25}', '{Ibbi-Suen.01.07.00}', '{Ibbi-Suen.01.07.21}', '{Ibbi-Suen.01.10.00}', '{Ibbi-Suen.01.10.00}', '{Ibbi-Suen.01.10.14, Ibbi-Suen.01.10.18}', '{Ibbi-Suen.01.10.28, Ibbi-Suen.01.10.29}', '{Ibbi-Suen.01.11d.20 (intercalated)}', '{Ibbi-Suen.01.12d.00 (intercalated)}', '{Ibbi-Suen.02.10.11}', '{Ibbi-Suen.02.11.03}', '{Ibbi-Suen.02.12.01}', '{Ibbi-Suen.02.12.06}', '{Ibbi-Suen.02.12.08, Ibbi-Suen.02.12.10}', '{Ibbi-Suen.02.12.12}', '{Ibbi-Suen.02.12.15, Ibbi-Suen.02.12.17}', '{Ibbi-Suen.02.12.25}']",86.1225,68.06,81.0,74.0219,0.8804347826086957,0.021739130434782608,0.05434782608695652,0.0
a-bi-a-bi-ih,77,"['', ""{'intermediary'}""]",,"['60.0600', '72.1010']","['', '']","[129473, 392635]","['domesticated animal', 'domesticated animal']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Shulgi.42.06.00}', '{Amar-Suen.06.10.10}']",72.101,60.06,72.101,60.06,0.0,0.5,0.0,0.0
a-bi₂-a,78,"['', '', '', '', '', '', '', '', '']",,"['59.0300', '68.1113', '74.0300', '77.0100', '77.0605', '84.0100']","['', '', '', '', '', '', '', '', '']","[115598, 303361, 291352, 430107, 430438, 125887, 126396, 291188, 112838]","['domesticated animal', 'domesticated animal', 'domesticated animal', 'unknown', 'seal', 'unknown', 'dead animal', 'domesticated animal', 'domesticated animal']",0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,"['', '', '', '{Shulgi.41.03.00 (us2-us2 year)}', '{Amar-Suen.02.11.13}', '{Amar-Suen.08.03.00}', '{Shu-Suen.02.01.00, Shu-Suen.02.02.00}', '{Shu-Suen.02.06.05}', '{Shu-Suen.09.01.00}']",84.01,59.03,68.1113,59.03,0.0,0.0,0.0,0.0
a-bi₂-a-bi-ih,79,"['', '', '', ""{'representative'}"", ""{'representative'}"", ""{'intermediary'}"", ""{'intermediary'}""]",,"['70.0919', '70.0920', '71.0818', '72.1201', '76.0923', '77.0110', '78.0302']","['', '', '', '', '', '', '']","[136231, 102016, 212040, 107844, 103052, 127833, 131641]","['domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'queen', 'domesticated animal']",0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,"['{Amar-Suen.04.09.19}', '{Amar-Suen.04.09.20}', '{Amar-Suen.05.08.18}', '{Amar-Suen.06.12.01}', '{Shu-Suen.01.09.23}', '{Shu-Suen.02.01.10}', '{Shu-Suen.03.03.02 (us2 year)}']",78.0302,70.0919,76.0923,72.1201,0.0,0.2857142857142857,0.0,0.2857142857142857
a-bi₂-a-bi₂-ih,80,"['', '']",,['77.0215'],"['', '']","[430107, 103906]","['unknown', 'domesticated animal']",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"['', '{Shu-Suen.02.02.15}']",77.0215,77.0215,77.0215,77.0215,0.0,0.0,0.0,0.0
a-bi₂-a-ti,81,"[""{'source'}"", '']",,['62.0808'],"['', '']","[332370, 134065]","['unknown', 'domesticated animal']",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"['', '{Shulgi.44.08.08}']",62.0808,62.0808,62.0808,62.0808,0.5,0.0,0.0,0.0
a-bi₂-du₁₀,82,"[""{'recipient'}"", ""{'intermediary'}"", '', ""{'intermediary'}"", '', ""{'representative'}""]",,"['60.1230', '62.0500', '63.1230', '64.0400', '83.1126', '85.1204']","['', '', '', '', '', '']","[116223, 123350, 131588, 118481, 121696, 108678]","['domesticated animal', 'dead animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'queen']",0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,"['{Shulgi.42.12.30}', '{Shulgi.44.05m.00 (intercalated) =? Shulgi.45.05.00 (intercalated?) }', '{Shulgi.45.12.30}', '{Shulgi.46.04.00}', '{Shu-Suen.08.11.26}', '{Ibbi-Suen.01.12d.04 (intercalated)}']",85.1204,60.123000000000005,83.1126,64.04,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666
a-bi₂-du₁₀-ta,83,"[""{'source'}"", ""{'source'}"", ""{'source'}""]",,"['61.0300', '63.1100', '77.0124']","['', '', '']","[104053, 104121, 104338]","['domesticated animal', 'domesticated animal', 'domesticated animal']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Shulgi.43.03.00}', '{Shulgi.45.11.00}', '{Shu-Suen.02.01.24}']",77.0124,61.03,77.0124,63.11,1.0,0.0,0.0,0.0
a-bi₂-e₂,84,"[""{'intermediary'}"", ""{'intermediary'}"", ""{'intermediary'}""]",,"['74.0600', '74.0821', '74.0821']","['', '', '']","[100329, 107420, 107420]","['domesticated animal', 'domesticated animal', 'domesticated animal']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Amar-Suen.08.06.00}', '{Amar-Suen.08.08.21, Amar-Suen.08.09.07, Amar-Suen.08.10.17}', '{Amar-Suen.08.08.21, Amar-Suen.08.09.07, Amar-Suen.08.10.17}']",74.0821,74.06,74.0821,74.06,0.0,1.0,0.0,0.0
a-bi₂-ki-in,85,"['', '']",,[],"['', '']","[332038, 106320]","['domesticated animal', 'queen']",0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"['', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-bi₂-si-im-ti,86,"['', ""{'intermediary'}""]",,"['77.0500', '84.0615']","['', '']","[144477, 145071]","['precious object', 'domesticated animal']",0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"['{Shu-Suen.02.05.00}', '{Shu-Suen.09.06.15}']",84.0615,77.05,84.0615,77.05,0.0,0.5,0.0,0.0
a-bi₂-si₂-im-ti,87,"['', ""{'intermediary'}"", '', '', ""{'intermediary'}"", ""{'representative'}"", '', '', '', ""{'intermediary'}"", '', '', '', '', ""{'intermediary'}"", '', '', '', '', '', '', '', '', '', '', ""{'representative'}"", '', '', '', '', '', '', '', ""{'representative'}"", ""{'source', 'recipient'}"", '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ""{'intermediary'}"", '', '', '', '', '', '', '', '', ""{'intermediary'}"", '', '', '', '', ""{'source', 'intermediary'}"", '', ""{'representative', 'intermediary'}"", ""{'source'}"", '', '', '', ""{'intermediary'}"", '', ""{'intermediary'}"", ""{'representative', 'intermediary'}"", ""{'intermediary'}"", '', '', ""{'intermediary'}"", '', '', '', '', '', '', '', '', ""{'intermediary'}"", '', ""{'intermediary'}"", ""{'representative'}"", '', '', '', '', ""{'intermediary'}"", ""{'intermediary'}"", '']",,"['60.1219', '67.0101', '67.1102', '68.0101', '68.0500', '68.1100', '69.0200', '69.0900', '69.1125', '69.1126', '70.0200', '70.0302', '70.0326', '70.0900', '70.0926', '70.1026', '70.1101', '71.0100', '71.0125', '71.0126', '71.0200', '71.0725', '71.0816', '71.0902', '71.0911', '71.0923', '71.0926', '71.1100', '71.1125', '72.0216', '72.0325', '72.0426', '72.0526', '72.0824', '72.0913', '72.1000', '72.1025', '72.1124', '72.1225', '72.1225', '73.0326', '73.0526', '73.1219', '74.0000', '74.0226', '74.0226', '74.0426', '74.0525', '74.0525', '74.0627', '74.0627', '74.0726', '74.0727', '74.0818', '74.0900', '74.0909', '74.0918', '74.0926', '75.0000', '75.0000', '75.0226', '75.0315', '75.0526', '75.0900', '76.0210', '76.0224', '76.0429', '76.0805', '76.1212', '77.0000', '77.0327', '77.0923', '77.1000', '77.1002', '77.1124', '78.0306', '78.0400', '78.1210', '79.0300', '79.0506', '79.0700', '79.0700', '79.0925', '79.1227', '80.1000', '81.0914', '81.1100', '82.0501', '82.0608', '82.0614', '82.0700', '82.0718', '82.0909', '82.1006', '83.0226', '83.0900', '84.0325', '84.0503', '84.1001', '84.1217']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[200532, 102164, 103244, 332346, 102956, 143893, 103917, 131097, 124001, 124461, 122669, 116159, 126532, 144114, 135079, 332368, 106210, 145557, 125995, 126376, 134689, 106366, 104839, 200528, 128623, 433568, 100986, 102021, 101403, 134715, 292620, 126617, 406809, 124655, 108736, 144289, 200381, 106365, 101758, 107257, 117323, 144312, 235336, 248681, 303686, 429952, 103970, 130512, 123742, 143959, 142569, 407496, 212162, 126770, 123778, 133933, 134700, 109650, 117621, 142964, 421773, 124013, 416441, 321024, 212047, 131883, 210495, 407062, 112529, 407073, 123757, 124488, 118478, 105971, 126480, 102197, 332106, 136263, 122782, 122171, 124286, 130516, 134890, 136229, 122895, 145829, 105196, 125886, 106021, 131070, 142645, 115912, 332417, 125685, 129705, 332035, 332035, 102878, 105202, 107256, 136089, 106148, 103324, 200513, 107955, 125847, 142414, 101225, 103988, 116870, 102022]","['domesticated animal', 'domesticated animal', 'wild animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'unknown', 'queen', 'domesticated animal', 'unknown', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'seal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'precious object', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'queen', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'unknown', 'domesticated animal', 'dead animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'precious object', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'wild animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'dead animal', 'domesticated animal', 'domesticated animal']",0.8288288288288288,0.08108108108108109,0.0,0.018018018018018014,0.018018018018018014,0.009009009009009007,0.027027027027027032,0.018018018018018014,0.0,"['', '', '', '', '', '', '', '', '', '', '', '{Shulgi.42.12.19}', '{Amar-Suen.01.01.01 (us2 year)}', '{Amar-Suen.01.11.02}', '{Amar-Suen.02.01.01 (us2 year)}', '{Amar-Suen.02.05.00}', '{Amar-Suen.02.11.00}', '{Amar-Suen.03.02.00}', '{Amar-Suen.03.09.00}', '{Amar-Suen.03.11d.25 (intercalated)}', '{Amar-Suen.03.11d.26 (intercalated)}', '{Amar-Suen.04.02.00 (us2 year)}', '{Amar-Suen.04.03.02}', '{Amar-Suen.04.03.26}', '{Amar-Suen.04.09m.00 (intercalated)}', '{Amar-Suen.04.09.26}', '{Amar-Suen.04.10.26}', '{Amar-Suen.04.11.01}', '{Amar-Suen.05.01.00}', '{Amar-Suen.05.01.25}', '{Amar-Suen.05.01.26}', '{Amar-Suen.05.02.00}', '{Amar-Suen.05.07.25}', '{Amar-Suen.05.08.16}', '{Amar-Suen.05.09.02}', '{Amar-Suen.05.09.11}', '{Amar-Suen.05.09.23}', '{Amar-Suen.05.09.26}', '{Amar-Suen.05.11.00}', '{Amar-Suen.05.11.25}', '{Amar-Suen.06.02.16}', '{Amar-Suen.06.03.25}', '{Amar-Suen.06.04.26}', '{Amar-Suen.06.05.26}', '{Amar-Suen.06.08.24}', '{Amar-Suen.06.09.13}', '{Amar-Suen.06.10.00}', '{Amar-Suen.06.10.25}', '{Amar-Suen.06.11.24}', '{Amar-Suen.06.12.25}', '{Amar-Suen.06.12.25}', '{Amar-Suen.07.03.26}', '{Amar-Suen.07.05.26}', '{Amar-Suen.07.12.19}', '{Amar-Suen.08.00.00, Amar-Suen.09.00.00, Shu-Suen.01.05.00 }', '{Amar-Suen.08.02.26}', '{Amar-Suen.08.02.26}', '{Amar-Suen.08.04.26}', '{Amar-Suen.08.05.25}', '{Amar-Suen.08.05.25}', '{Amar-Suen.08.06.27}', '{Amar-Suen.08.06.27}', '{Amar-Suen.08.07.26}', '{Amar-Suen.08.07.27}', '{Amar-Suen.08.08.18}', '{Amar-Suen.08.09.00}', '{Amar-Suen.08.09.09}', '{Amar-Suen.08.09.18}', '{Amar-Suen.08.09.26}', '{Shu-Suen.--.00.00}', '{Shu-Suen.--.--.--}', '{Amar-Suen.09.02.26}', '{Amar-Suen.09.03.15}', '{Amar-Suen.09.05.26}', '{Amar-Suen.09.09.00}', '{Shu-Suen.01.02.10}', '{Shu-Suen.01.02.24}', '{Shu-Suen.01.04.29}', '{Shu-Suen.01.08.05}', '{Shu-Suen.01.12.12}', '{Shu-Suen.02.00.00}', '{Shu-Suen.02.03.27}', '{Shu-Suen.02.09.23}', '{Shu-Suen.02.10.00}', '{Shu-Suen.02.10.02, Shu-Suen.02.10.25}', '{Shu-Suen.02.11.24}', '{Shu-Suen.03.03.06}', '{Shu-Suen.03.04.00 (us2 year)}', '{Shu-Suen.03.12.10}', '{Shu-Suen.04.03.00 (us2 year)}', '{Shu-Suen.04.05.06 (us2 year)}', '{Shu-Suen.04.07.00 (us2 year)}', '{Shu-Suen.04.07.00 (us2 year)}', '{Shu-Suen.04.09.25}', '{Shu-Suen.04.12.27}', '{Shu-Suen.05.10.00 (us2 year)}', '{Shu-Suen.06.09.14}', '{Shu-Suen.06.11.00}', '{Shu-Suen.07.05.01}', '{Shu-Suen.07.06.08}', '{Shu-Suen.07.06.14}', '{Shu-Suen.07.07.00}', '{Shu-Suen.07.07.18}', '{Shu-Suen.07.09.09}', '{Shu-Suen.07.10.06}', '{Shu-Suen.08.02.26}', '{Shu-Suen.08.09.00}', '{Shu-Suen.09.03.25}', '{Shu-Suen.09.05.03}', '{Shu-Suen.09.10.01, Shu-Suen.09.10.30}', '{Shu-Suen.09.12.17}']",84.1217,60.1219,67.0101,60.1219,0.02608695652173913,0.14782608695652175,0.008695652173913044,0.05217391304347826
a-bu-bu,88,"[""{'intermediary'}"", ""{'intermediary'}"", ""{'intermediary'}"", ""{'intermediary'}"", '', ""{'intermediary'}""]",,"['67.0425', '67.0500', '68.0524', '70.0100', '70.0502', '70.0919']","['', '', '', '', '', '']","[127615, 131047, 107741, 248739, 124959, 126584]","['domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Amar-Suen.01.04.25, Amar-Suen.01.04.30}', '{Amar-Suen.01.05.00}', '{Amar-Suen.02.05.24, Amar-Suen.02.05.30}', '{Amar-Suen.04.01.00, Amar-Suen.04.02.00, Amar-Suen.04.04.00, Amar-Suen.04.08.00, Amar-Suen.04.09.00, Amar-Suen.04.09m.00 (intercalated), Amar-Suen.04.12.00}', '{Amar-Suen.04.05.02}', '{Amar-Suen.04.09m.19 (intercalated)}']",70.0919,67.0425,70.01,68.0524,0.0,0.8333333333333334,0.0,0.0
a-bu-du₁₀,89,"['', '', '', '', '', '', '', ""{'intermediary'}"", '', '', '', '', '', ""{'recipient'}"", '', '', '', '', '', '', '', '', '', '', ""{'intermediary'}"", ""{'intermediary'}""]",,"['63.0717', '67.0101', '69.0000', '70.1122', '73.0521', '75.0000', '75.0500', '76.0317', '76.0401', '76.0418', '76.0621', '78.0306', '80.1100', '81.0000', '81.0020', '81.0914', '83.0713', '84.1000', '85.1200']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[134698, 134698, 200526, 134691, 104507, 125983, 105197, 200528, 100986, 104135, 103970, 127740, 131586, 332286, 416202, 134759, 115394, 432663, 129516, 104520, 104787, 128649, 100987, 126004, 118550, 127840]","['domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'unknown', 'unknown', 'unknown', 'dead animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'unknown', 'unknown', 'domesticated animal', 'domesticated animal', 'domesticated animal']",0.7307692307692307,0.07692307692307693,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,"['', '', '', '', '', '', '', '{Shulgi.45.07.17 (us2-us2 year)}', '{Amar-Suen.01.01.01 (us2 year)}', '{Amar-Suen.03.00.00}', '{Amar-Suen.04.11.22}', '{Amar-Suen.07.05.21}', '{Amar-Suen.09.00.00}', '{Amar-Suen.09.05.00}', '{Shu-Suen.01.03.17}', '{Shu-Suen.01.04.01}', '{Shu-Suen.01.04.18}', '{Shu-Suen.01.06.21}', '{Shu-Suen.03.03.06}', '{Shu-Suen.05.11.00 (us2 year)}', '{Shu-Suen.06.00.00 ?}', '{Shu-Suen.06.00.20}', '{Shu-Suen.06.09.14}', '{Shu-Suen.08.07.13}', '{Shu-Suen.09.10.00}', '{Ibbi-Suen.01.12d.00 (intercalated)}']",85.12,63.0717,67.0101,63.0717,0.0,0.11538461538461539,0.038461538461538464,0.0
