name,id,role,profession,processed year,family,p_index,Archive,% domesticated animal,% dead animal,% leather object,% precious object,% queen,% seal,% unknown,% wild animal,% wool,date name,maxYear,minYear,Max Gap Start Year,Max Gap End Year,% source,% intermediary,% recipient,% representative
...-i₃-li₂,11,"['', '', '']",,['86.0000'],"['', '', '']","[116194, 201505, 118459]","['domesticated animal', 'domesticated animal', 'dead animal']",0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['', '', '{Ibbi-Suen.02.00.00}']",86.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0
...-ka,12,"['', '', '', '']",,['62.0000'],"['', '', '', '']","[101450, 102017, 320496, 100661]","['unknown', 'unknown', 'dead animal', 'unknown']",0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,"['', '', '', '{Shulgi.44.00.00}']",62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0
...-ke₄-ne,13,"['', '']",,"['70.0100', '77.0100']","['', '']","[125973, 129478]","['dead animal', 'domesticated animal']",0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Amar-Suen.04.01.00, Amar-Suen.04.12.00}', '{Shu-Suen.02.01.00, Shu-Suen.02.02.00, Shu-Suen.02.03.00, Shu-Suen.02.06.00, Shu-Suen.02.07.00, Shu-Suen.02.09.00, Shu-Suen.02.10.00, Shu-Suen.02.12.00}']",77.01,70.01,77.01,70.01,0.0,0.0,0.0,0.0
...-lil₂-la₂,14,"['', '']",,"['66.0612', '84.0418']","['', '']","[123700, 104619]","['dead animal', 'domesticated animal']",0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Shulgi.48.06.12 (us2-us2 year)}', '{Shu-Suen.09.04.18}']",84.0418,66.0612,84.0418,66.0612,0.0,0.0,0.0,0.0
AN,15,"['', '', '', '', '', ""{'source'}"", '', '', ""{'intermediary'}"", '', '', '', '', '', '', ""{'representative'}"", '', ""{'source'}"", ""{'source'}"", '', '', '', '', '', '', '', '', '', '', '']",,"['49.0800', '55.0600', '62.1211', '63.1000', '64.0600', '66.0912', '66.1125', '68.1119', '69.0100', '70.0929', '72.0405', '72.0514', '74.1106', '75.0000', '75.1027', '75.1200', '77.0609', '81.1207', '85.0527', '86.0313']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[134698, 102456, 106307, 106862, 109268, 115591, 129522, 131625, 134789, 235563, 126672, 101357, 115392, 107485, 128400, 115503, 131620, 123769, 131089, 123810, 117408, 130550, 104184, 200532, 112427, 107359, 102020, 101016, 103590, 106414]","['domesticated animal', 'domesticated animal', 'dead animal', 'unknown', 'unknown', 'domesticated animal', 'queen', 'dead animal', 'domesticated animal', 'dead animal', 'queen', 'queen', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'queen', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal']",0.6,0.2,0.0,0.0,0.13333333333333333,0.0,0.06666666666666668,0.0,0.0,"['', '', '', '', '', '', '', '', '', '', '{Shulgi.31.08.00}', '{Shulgi.37.06.00}', '{Shulgi.44.12d.11 (intercalated)}', '{Shulgi.45.10.00}', '{Shulgi.46.06.00}', '{Shulgi.48.09.12}', '{Shulgi.48.11.25}', '{Amar-Suen.02.11.19}', '{Amar-Suen.03.01.00}', '{Amar-Suen.04.09.29}', '{Amar-Suen.06.04.05}', '{Amar-Suen.06.05.14}', '{Amar-Suen.08.11.06}', '{Shu-Suen.--.--.--}', '{Amar-Suen.09.10.27}', '{Shu-Suen.--.12.00}', '{Shu-Suen.02.06.09}', '{Shu-Suen.06.12d.07 (intercalated)}', '{Ibbi-Suen.01.05.27}', '{Ibbi-Suen.02.03.13}']",86.0313,49.08,62.1211,55.06,0.1,0.03333333333333333,0.0,0.03333333333333333
AN-...,16,"['', '', '', '', '']",,"['62.0300', '74.1002', '78.0811', '85.1000']","['', '', '', '', '']","[108667, 430243, 104217, 201025, 102999]","['domesticated animal', 'unknown', 'domesticated animal', 'domesticated animal', 'domesticated animal']",0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"['', '{Shulgi.44.03.--, Shulgi.44.03.24}', '{Amar-Suen.08.10.02}', '{Shu-Suen.03.08.11, Shu-Suen.03.08.14}', '{Ibbi-Suen.01.10.00 ?, Ibbi-Suen.02.04.29}']",85.1,62.03,74.1002,62.03,0.0,0.0,0.0,0.0
AN-AN,17,"['', '']",,[],"['', '']","[129505, 129505]","['domesticated animal', 'domesticated animal']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AN-x-x,18,"['', '']",,['66.1021'],"['', '']","[115817, 102351]","['unknown', 'domesticated animal']",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"['', '{Amar-Suen.--.10.21}']",66.1021,66.1021,66.1021,66.1021,0.0,0.0,0.0,0.0
ARAD₂-...,19,"['', '', '', ""{'source'}"", '', '']",,"['75.1200', '79.0415', '83.0000']","['', '', '', '', '', '']","[129508, 430339, 430421, 103327, 117296, 103395]","['domesticated animal', 'unknown', 'unknown', 'domesticated animal', 'domesticated animal', 'unknown']",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"['', '', '', '{Amar-Suen.09.12.00}', '{Shu-Suen.04.04.15 (us2 year)}', '{Shu-Suen.08.00.00}']",83.0,75.12,83.0,79.0415,0.16666666666666666,0.0,0.0,0.0
ARAD₂-hul₃-la,20,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', ""{'intermediary'}"", ""{'representative'}"", '']",,"['65.0603', '68.0900', '68.0917', '70.0100', '71.0200', '71.0602', '71.0812', '71.0822', '76.0410', '76.0416', '84.0100']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[118462, 122207, 126797, 390769, 391036, 430285, 115909, 201164, 201433, 127615, 235015, 109629, 124864, 123826, 201452, 290411, 128878]","['queen', 'domesticated animal', 'domesticated animal', 'wild animal', 'domesticated animal', 'unknown', 'domesticated animal', 'wild animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal']",0.6470588235294118,0.1176470588235294,0.0,0.0,0.05882352941176471,0.0,0.05882352941176471,0.1176470588235294,0.0,"['', '', '', '', '', '', '{Shulgi.47.06.03 (us2 year)}', '{Amar-Suen.02.09.00, Amar-Suen.02.12.00, Amar-Suen.03.01.00, Amar-Suen.03.12.00, Amar-Suen.04.01.00, Amar-Suen.04.12.00}', '{Amar-Suen.02.09.17}', '{Amar-Suen.04.01.00, Amar-Suen.04.02.00, Amar-Suen.04.04.00, Amar-Suen.04.08.00, Amar-Suen.04.09.00, Amar-Suen.04.09m.00 (intercalated), Amar-Suen.04.12.00}', '{Amar-Suen.05.02.00}', '{Amar-Suen.05.06.02}', '{Amar-Suen.05.08.12}', '{Amar-Suen.05.08.22}', '{Shu-Suen.01.04.10}', '{Shu-Suen.01.04.16 ?}', '{Shu-Suen.09.01.00}']",84.01,65.0603,84.01,76.0416,0.0,0.058823529411764705,0.0,0.058823529411764705
ARAD₂-me,21,"['', '']",,[],"['', '']","[323430, 480801]","['unknown', 'precious object']",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,"['', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
