,BDTNS No,CDLI ID,Original date,Converted Date
851,44712,P102704,AS01 - 06 - 21,67.0621
852,44713,P102705,AS02 - 09 - 00,68.09
853,44714,P102706,AS03 - 06 - 06,69.06060000000001
854,44715,P102707,AS03 - 06 - 20,69.062
855,44716,P102708,AS04 - 01 - 27,70.01270000000001
856,44717,P102709,AS04 - 07 - 00,70.07
857,44718,P102710,AS06 - 04 - 16,72.0416
858,44719,P102711,AS07 - 09 - 18,73.0918
859,44720,P102712,AS08 - 03 - 14,74.0314
860,44721,P102713,AS09 - 07 - 00,75.07
861,44722,P102714,AS09 - 11 - 01,75.1101
862,44723,P102715,SS01 - 12 - 00,76.12
863,44724,P102716,SS02 - 02 - 29,77.02289999999999
864,44725,P102717,SS03 - 03 - 20,78.032
865,44726,P102718,SS04 - 09 - 10,79.09100000000001
866,44727,P102719,SS04 - 11 - 26,79.1126
867,44728,P102720,SS05 - 06 - 15,80.0615
868,44729,P102721,SS07 - 02 - 30,82.023
869,44730,P102722,SS09 - 09 - 00,84.09
870,44731,P102723,IS02 - 05 - 08,86.0508
871,14660,P102815,SH36 - 02 - 00,54.02
872,14661,P102816,SH45 - 10 - 13,63.1013
873,14662,P102817,SH46 - 02 - 23,64.0223
874,14663,P102818,SH47 - 04 - 15,65.0415
875,14664,P102819,AS01 - 08 - 20,67.082
876,14665,P102820,AS02 - 03 - 27,68.0327
877,14666,P102821,AS02 - 10 - 04,68.1004
878,14667,P102822,AS02 - 12 - 13,68.1213
879,14668,P102823,AS06 - 11 - 23,72.1123
880,14669,P102824,SS03 - 11 - 15,78.11149999999999
881,14670,P102825,SS05 - 05 - 24,80.05239999999999
882,14671,P102826,AS02 - 09? - 00,68.09
883,14672,P102827,SH39 - 00 - 00,57.0
884,26444,P102847,SH45 - 00 - 30 // SH46 - 00 - 30,63.003
885,26445,P102848,IS01 - 12 - 25,85.1225
886,26446,P102849,XXXX - 00 - 26,0.0026
887,26447,P102850,SH39 - 10 - 02,57.1002
888,26448,P102851,AS07 - 08 - 28,73.08279999999999
889,26449,P102852,AS08 - 02 - 05,74.0205
890,26450,P102853,SH45 - 04 - 17,63.0417
891,26451,P102854,AS07 - 09 - 23,73.09230000000001
892,26452,P102855,AS03 - 11 - 00,69.11
893,26453,P102856,AS08 - 08 - 24,74.08239999999999
894,26454,P102857,AS06 - 12 - 18,72.12180000000001
895,26455,P102858,AS03 - 10 - 03,69.10029999999999
896,26456,P102859,AS04 - 02 - 10,70.021
897,26457,P102860,AS01 - 10 - 01,67.1001
898,26458,P102861,AS02 - 09 - 02,68.09020000000001
899,26459,P102862,AS05 - 09 - 22,71.0922
900,26460,P102863,AS04 - 04 - 14,70.04140000000001
901,26461,P102864,AS03 - 01 - 25,69.0125
902,26462,P102865,AS06 - 08 - 03,72.0803
903,26463,P102866,AS08 - 11 - 11,74.1111
904,26464,P102867,AS04 - 02 - 29,70.02289999999999
905,26465,P102868,AS08 - 03 - 06,74.0306
906,26466,P102869,AS03 - 09 - 08,69.0908
907,26467,P102870,AS04 - 12 - 23,70.12230000000001
908,26468,P102871,AS01 - 10 - 30,67.103
909,26470,P102873,AS08 - 02 - 09,74.0209
910,26471,P102874,AS03 - 07 - 28,69.07279999999999
911,26472,P102875,AS07 - 09 - 21,73.0921
912,26473,P102876,AS04 - 11 - 27,70.1127
913,26474,P102877,AS07 - 09 - 20,73.092
914,26475,P102878,SS04 - 09 - 25,79.0925
915,26476,P102879,AS04 - 12 - 03,70.1203
916,26477,P102880,AS04 - 10 - 02,70.1002
917,26478,P102881,AS06 - 06 - 05,72.0605
918,26479,P102882,IS01 - 12 - 00,85.12
919,26481,P102884,AS04 - 03 - 10,70.031
920,26482,P102885,XXXX - 00 - 28,0.0028
921,26483,P102886,SS02 - 12 - 00,77.12
922,26484,P102887,AS07 - 07 - 00,73.07
923,26485,P102888,AS07 - 05 - 00,73.05
924,26487,P102890,SS03 - 09 - 08,78.0908
925,26488,P102891,SS03 - 06 - 04,78.0604
926,26490,P102893,SS03 - 09 - 07,78.0907
927,26491,P102894,AS07 - 10 - 00,73.1
928,26492,P102895,SS02 - 11 - 00,77.11
929,26493,P102896,SS02 - 10 - 00,77.1
930,26494,P102897,SS02 - 11 - 00,77.11
931,26495,P102898,AS07 - 05 - 29,73.0529
932,26496,P102899,IS01 - 02 - 07,85.02069999999999
933,26497,P102900,AS08 - 12 - 07,74.1207
